TikTok User Statistics
Username,alaughingwillow
Nickname,alaughingwillow
Country,
Follower Count,12100
Heart Count,169700
Video Count,266
Following Count,77
Likes Rate,5.84%
Comments Rate,0.07%
Shares Rate,0.36%
Total Engagement Rate,6.27%
Earnings Min,$9
Earnings Max,$14.14
Average Views,17783
Average Likes,1038
Average Comments,12
Average Shares,63
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/10/2025, 2:28:13 PM,34700,2285,18,321,"Che cos’è un romanzo ergodico? 🔎 @longanesi_editore *ad %23booktok %23thriller %23booktokitalia "
5/1/2024, 7:25:06 PM,96400,5022,65,369,"5 LIBRI ASSURDI basati su storie vere 📚 %23booktok %23booktokitalia %23bookrecs %23bookreview "
1/6/2024, 3:00:11 PM,52300,2785,49,66,"TOP 10 libri letti nel 2023 📚♥️ %23booktokitalia %23libridaleggere %23top10 %23booktok %23libri2023 "
11/12/2025, 3:19:39 PM,3657,372,1,14,"quando si parla di libri belli, sono sempre qui per parlarvene 📖🤍  @HarperCollins Italia  %23booktokitalia %23libribelli %23giappone "
10/29/2025, 2:22:58 PM,3344,301,6,8,"nuova carrellata di consigli tutta dedicata ai libri del @Il Saggiatore Casa Editrice 📚 %23ilsaggiatore %23booktokitalia %23libriconsigliati "
10/28/2025, 3:36:56 PM,6449,404,2,20,"Li conoscevi? 🖤 Tra thriller psicologici, trame labirintiche e misteri irrisolti, il mio Thriller Journal si conclude con il quarto ed ultimo titolo: Assassinio in Cornovaglia 🔪 Una chiusura perfetta per questa sezione dedicata ai thriller più recenti e affascinanti firmati @longanesi_editore 📖 Libri menzionati:  — Il silenzio delle rondini, Marco De Franchi — Piccoli inganni crudeli, Bak Sulmi — The Waterfall, Gareth Rubin — Assassinio in Cornovaglia, Elizabeth George  *ad %23longanesi %23bookstagramitalia %23libridaleggere %23thriller %23thrillerpsicologico "
10/21/2025, 8:34:47 PM,8516,551,7,13,"prego 🤍🤣  spero che questa mini-guida per aiutarvi nella scelta dei libri da recuperare con gli sconti @Fazi Editore vi torni utile 📖  avete tempo fino al 2 novembre 2025, sono coinvolti tutti i titoli del catalogo, eccetto le novità dell’ultimo semestre! *ad %23booktokitalia %23libriconsigliati  "
10/20/2025, 8:41:11 AM,8805,380,0,13,"A volte non sappiamo nemmeno dare un nome a quello che sentiamo — ma c'è sempre un libro che riesce a farlo per noi ❤️‍🩹 %23booktokitalia %23libriconsigliati %23"
10/15/2025, 7:19:04 PM,6167,356,2,19,"qual é tra queste la vostra preferita? 🖤 la mia é indubbiamente quella di Sottobosco di Sara Strömberg, che tra l’altro é l’ultimo thriller Darkside uscito pochi giorni fa 🪾  *ad @Fazi Editore %23classifica %23booktokitalia %23libri "
10/14/2025, 12:36:53 PM,3037,225,4,6,"5 libri incredibili che raccontano storie vere 📖  %23libriconsigliati %23booktokitalia %23libridaleggere "
10/4/2025, 11:56:16 AM,2540,227,7,2,"non vedo l’ora di rifarlo ✏️ vi piacerebbe partecipare? 🤍 %23readingjournal %23journal %23journaling %23booktok "
9/30/2025, 2:20:27 PM,3069,285,7,5,"Con Piccoli inganni crudeli il mio Thriller Journal si arricchisce di un titolo affascinante ed enigmatico, pronto a spingersi oltre i limiti e a mettere a dura prova la mente dei lettori 🖤 Divorato in poche ore, ho amato la penna chirurgica dell’autrice: tagliente, incisiva, capace di creare tensione pagina dopo pagina e di scavare nella psicologia dei personaggi senza mai lasciare nulla al caso. Finisce dritto dritto nella lista dei libri più belli letti nel 2025 ✨ Questo è il secondo libro della sezione dedicata ai thriller di Longanesi Editore, e il prossimo è già qui tra le mie mani… non vedo l’ora di condividerlo con voi 👀 *ad %23readingjournal %23journal %23journaling %23booktok "
9/10/2025, 6:41:44 PM,17700,1190,7,33,"Siamo arrivati a 100! 🎉 100 thriller della collana Darkside di @Fazi Editore 📖 ad inaugurare questo traguardo è L’ultimo ballo di Mark Billingham!  *ad %23fazieditore %23thriller %23booktokitalia %23libridaleggere %23bookrec "
9/8/2025, 7:05:24 PM,2291,156,2,3,"5 storie incredibili basate su fatti reali 📖 %23booktok %23booktokitalia %23libridaleggere %23bookrec "
,
Mentions
@Fazi,3
@longanesi_editore,2
@HarperCollins,1
@Il,1
,
Hashtags
booktokitalia,11
booktok,6
libridaleggere,5
libriconsigliati,4
thriller,3
journal,2
bookrec,2
journaling,2
readingjournal,2
bookrecs,1
fazieditore,1
thrillerpsicologico,1
top10,1
libribelli,1
libri,1
giappone,1
classifica,1
libri2023,1
bookstagramitalia,1
ilsaggiatore,1
longanesi,1
bookreview,1
