TikTok User Statistics
Username,alessandranofi
Nickname,Alessandra Nofi 🌷Books
Country,
Follower Count,22500
Heart Count,1700000
Video Count,2075
Following Count,136
Likes Rate,12.07%
Comments Rate,0.08%
Shares Rate,0.17%
Total Engagement Rate,12.32%
Earnings Min,$17.69
Earnings Max,$27.8
Average Views,47993
Average Likes,5791
Average Comments,36
Average Shares,81
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/12/2025, 12:22:13 PM,4087,230,10,3,"Aggiornamento necessario ♥️📚 %23libri %23libripreferiti %23consigliolobri %23classici %23vitadalettrice "
11/15/2021, 2:02:40 PM,193700,25700,229,147,"Rispondi a @f22nceska_ continuo? %23libri %23consigliolibri %23classici %23edizioni %23lacoscienzadizeno %23italosvevo %23letteraturaitaliana"
3/22/2023, 9:58:19 PM,511100,60000,258,1048,"💔 %23libri %23curiositàletterarie %23virginiawoolf %23cesarepavese %23sylviaplath %23ernesthemingway "
11/12/2025, 2:24:38 PM,2776,109,9,0,"Ovviamente IRONIA! %23libri %23classici %23virginiawoolf %23tothelighthouse %23alfaro "
11/11/2025, 2:20:24 PM,526,60,9,1,"Ora spero che TikTok non censuri me 🙏🏻✨😇 %23libri %23curiositàletterarie %23lamantediladychatterley %23davidherbertlawrence %23classici  "
11/10/2025, 9:02:57 PM,859,96,13,0,"Libri per tradire… la vostra TBR ✨📚 %23libri %23libridaleggere %23consigliolibri %23classici %23booktok "
11/9/2025, 11:27:14 AM,326,36,3,0,"Mokie vuole diventare famoso come Gigi 💕🐶 %23libri %23gigi %23colette %23classici %23leggoadaltavoce "
11/6/2025, 10:27:42 PM,455,68,2,1,"Memoria fotografica %23libri %23libridaleggere %23booktok %23libridacomprare "
11/5/2025, 2:24:02 PM,509,70,5,0,"Voi cosa ne pensate? %23libri %23bookhaul %23vitadalettrice %23booktok  "
11/4/2025, 2:12:50 PM,608,52,3,0,"%23franzkafka %23maxbrod %23ilprocesso %23libri %23curiositàletterarie "
11/3/2025, 7:30:58 PM,1068,118,2,5,"Librini nuovi 🛍️📚 %23libri %23bookhaul %23BookTok %23libridaleggere %23vitadalettrice @valuable.books @samuelbooks @𝕸𝖆𝖗𝖙𝖎𝖓𝖆 🪐 @L'orma editore @Mondadori @Marcos y Marcos "
11/2/2025, 8:01:56 PM,686,63,1,0,"Che faccio, rispondo? 😭🥹😱😨 %23libri %23vitadalettrice %23libriabbandonati %23classici "
11/2/2025, 2:39:55 PM,611,43,3,1,"Sono un pagliaccio 🤡  %23libri %23slewfoot %23fantasy %23darkfantasy @La Bottega dell’Invisibile "
10/31/2025, 2:16:28 PM,2054,184,1,7,"Spooky season 🍁🍂 %23libri %23consigliolibri %23libriautunnali %23libridaleggere %23librigotici "
10/29/2025, 9:08:13 PM,542,50,6,2,"🍪🍪🍪🫙🕯️ %23barattoliandco %23candela %23vitadalettrice %23barattolodibiscotti @Gaia Lorusso @barattoliandco "
,
Mentions
@Marcos,1
@L,1
@barattoliandco,1
@Mondadori,1
@𝕸𝖆𝖗𝖙𝖎𝖓𝖆,1
@La,1
@Gaia,1
@f22nceska_,1
@valuable,1
@samuelbooks,1
,
Hashtags
libri,14
classici,7
vitadalettrice,5
libridaleggere,4
consigliolibri,3
curiositàletterarie,3
booktok,3
virginiawoolf,2
bookhaul,2
tothelighthouse,1
BookTok,1
ilprocesso,1
darkfantasy,1
gigi,1
consigliolobri,1
fantasy,1
slewfoot,1
maxbrod,1
libriautunnali,1
barattolodibiscotti,1
davidherbertlawrence,1
colette,1
libripreferiti,1
candela,1
lacoscienzadizeno,1
alfaro,1
ernesthemingway,1
sylviaplath,1
franzkafka,1
letteraturaitaliana,1
barattoliandco,1
cesarepavese,1
libriabbandonati,1
leggoadaltavoce,1
edizioni,1
libridacomprare,1
italosvevo,1
lamantediladychatterley,1
librigotici,1
