TikTok User Statistics
Username,alessia_lettureinsalotto
Nickname,Alessia
Country,
Follower Count,17000
Heart Count,346400
Video Count,633
Following Count,599
Likes Rate,9.32%
Comments Rate,0.27%
Shares Rate,0.32%
Total Engagement Rate,9.91%
Earnings Min,$13.08
Earnings Max,$20.55
Average Views,3482
Average Likes,324
Average Comments,9
Average Shares,11
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/12/2025, 6:35:45 PM,805,106,1,3,"Come ogni libro Vivida Book, anche questo è organizzato in maniera chiara, intuitiva e anche interessante. Questo perché Le 60 piante all’interno sono divise in: solari, lunari, marziali, mercuriali, gioviali, venusiane e saturnine (5 pianeti principali). • Vi ricordo che con il codice SALOTTOWITCHY potete acquistare il libro sul sito di @vividabooks con il 20% di sconto 🫂 • ❓🧙 qual è la vostra pianta preferita? Vi ispira questo erbario magico?  • %23ADV %23piantemagiche %23witchy "
11/9/2025, 7:24:57 PM,1597,172,6,5,""
11/5/2025, 6:11:10 PM,1482,184,5,9,""
11/4/2025, 9:02:21 PM,2212,249,5,7,""
11/3/2025, 5:54:50 PM,2360,189,5,2,""
10/26/2025, 4:34:39 PM,4137,437,8,16,""
10/22/2025, 6:14:44 PM,4556,333,6,14,""
10/20/2025, 6:31:03 PM,3966,315,15,3,""
10/16/2025, 6:47:23 PM,4918,533,14,28,""
10/11/2025, 10:13:18 PM,2329,205,8,4,"Era da un po’ che non mi imbattevo in una lettura così perturbante, capace di incantare grazie ad una penna sensuale, evocativa e potente. • Love, s3x and Frankenstein ha il potere di risucchiare il lettore tra le sue pagine pregne di turbamento, ardore amore e dolore. Mary si materializzerà al vostro fianco e rimarrà con voi anche una volta letta l’ultima frase. Dopo questo romanzo, non la scorderete più e vi ritroverete a (ri)valutare i suoi scritti con occhi nuovi e più consapevoli. Perché Mary è il Mostro e il Mostro è Mary, entrambe creature incomprese, sottovalutate, denigrate e intrappolate in definizioni che gli appartengono.  • ⭐️⭐️⭐️⭐️⭐️ cinque stelline perché, anche se non esente da difetti, è una lettura che si sente, si vive.  E ció è così tanto raro (almeno nella mia esperienza) da meritare una standing ovation.  • ❓leggerete questo libro? Vi affascina la vita gotica di Mary Shelly e degli altri “poeti maledetti”? • %23adv %23lovesexandfrankenstein %23frankenstein %23gotico %23librogotico"
10/8/2025, 8:59:37 PM,9567,827,27,36,""
10/5/2025, 6:51:54 PM,3863,344,12,7,""
,
Mentions
@vividabooks,1
,
Hashtags
adv,1
lovesexandfrankenstein,1
librogotico,1
gotico,1
piantemagiche,1
ADV,1
witchy,1
frankenstein,1
