TikTok User Statistics
Username,angelicaolivari
Nickname,angelica | booktok
Country,
Follower Count,9590
Heart Count,63500
Video Count,532
Following Count,482
Likes Rate,3.32%
Comments Rate,1.75%
Shares Rate,0.05%
Total Engagement Rate,5.12%
Earnings Min,$7.06
Earnings Max,$11.09
Average Views,8199
Average Likes,272
Average Comments,143
Average Shares,3
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/3/2025, 3:59:40 PM,36900,1835,1910,15,"io ho iniziato con Cioran , al culmine della disperazione ✨| idea del video presa da @Camilla | Lababooks ☕️☁️🎧 tutti i crediti a lei 🤍  %23booktok %23booktokitalia %23booktokita %23literaryfiction %23primolibro %23primolibro2025 %23creatorsearchinsight %23book %23letture %23libri "
6/17/2024, 3:19:31 PM,12100,523,26,5,"siamo tornati 🌻 spero vi faccia divertire un po’ in questo lunedì 🫶🏻 |  crediti : @Gaia Lorusso  menzione : @Più Chiara di così | BookTok  %23booktok %23booktokitalia %23booktokita %23indovinaillibro %23challenge %23guessthebook %23guessthebookchallenge %23viral %23goviral %23perte "
5/28/2023, 2:28:10 PM,49800,607,13,2,"ecco il 4º ed ultimo giorno di SalTo 🖤 è stata un’esperienza magnifica .. GRAZIE A TUTTƏ ✨ | %23SalTo %23SalTo2023 %23SalonedelLibro %23booktok %23BookTok %23booktokitalia %23reader %23libridaleggere %23perte %23foryou %23foryoupage %23fyp %23bookish %23viral %23goviral %23bookworm %23booktokeritalia "
9/21/2025, 3:30:06 PM,710,48,12,4,"vi aggiorno un po’ dopo tanto tempo 🪐🖤 |  ce : @Giulio Einaudi editore %23sur @Mercurio  ringraziamento speciale a @Nicole love u ✨ %23booktok %23booktokitalia %23booktokita %23readingupdate "
8/5/2025, 7:17:14 PM,858,83,6,3,"ci son cascata di nuovo 🖤🥀 |  ce : @Adelphi Edizioni @Mercurio  menzioni : @niente libri del BookTok qui  %23booktok %23booktokita %23booktokitalia %23creatorsearchinsights %23literaryfiction %23bookhaul "
8/4/2025, 2:42:38 PM,827,102,8,4,"speriamo che agosto vada meglio 🤞🏻🥀 | ce : @sur @Mercurio @Nicole @Haccaedizioni @hopefulmonster @Pidgin Edizioni @Iperborea Casa Editrice  %23booktok %23booktokita %23creatorsearchinsights %23literaryfiction %23readingslump %23tbr %23augusttbr "
8/3/2025, 6:30:04 PM,747,68,10,4,"plsss aiutatemi con questo blocco 💋 | ce : %23sur  %23booktok %23booktokita %23creatorsearchinsights %23literaryfiction %23readingslump %23wrapup "
7/21/2025, 3:40:54 PM,7128,132,7,4,"sono in blocco stra blocco ma questa è una chicca pazzesca 🖤 |  ce : @Mercurio @Nicole  %23booktok %23booktokita %23booktokitalia %23creatorsearchinsights %23literaryfiction %23mercuriobooks %23readingslump "
7/8/2025, 5:53:20 PM,1152,129,4,3,"non ci crede nessuno 🤡 |  ce: %23sur @Sellerio editore @Fandango Libri %23latartaruga @FeltrinelliTok @Haccaedizioni %23hopefulmonster @Pidgin Edizioni @Iperborea Casa Editrice %23fazi @atmosphere libri  %23booktok %23booktokita %23booktokitalia %23creatorsearchinsights %23literaryfiction %23tbr %23julytbr "
6/17/2025, 10:03:21 PM,877,57,2,3,"aggiornamento un po’ buio 🌙 voi come va con la lettura ? | libri e ce :  •Nietzsche al piano @L'orma editore  •sotto la pelle @Voland_Edizioni  •mio padre è nato per i piedi @Neri Pozza editore  %23booktok %23booktokita %23booktokitalia %23creatorsearchinsights %23literaryfiction %23howmuchireadinaweek "
6/15/2025, 3:53:21 PM,1107,71,4,1,"grazie di cuore @Voland_Edizioni è stata una bellissima scoperta ♥️ |  %23booktok %23booktokita %23booktokitalia %23creatorsearchinsights %23consigli %23consiglidilettura %23literaryfiction %23litfic "
