TikTok User Statistics
Username,anima.antica
Nickname,Rebecca | libri e arte 🏛️📚
Country,
Follower Count,38900
Heart Count,2000000
Video Count,316
Following Count,765
Likes Rate,9.6%
Comments Rate,0.05%
Shares Rate,0.22%
Total Engagement Rate,9.87%
Earnings Min,$29.92
Earnings Max,$47.01
Average Views,37081
Average Likes,3560
Average Comments,17
Average Shares,82
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/9/2025, 2:47:10 PM,471700,46500,142,1079,"Prima novella del quarto giorno del Decameron di Boccaccio. Credo sia uno dei miei dipinti preferiti %23arte %23libri %23booktok %23cultura "
8/26/2024, 8:08:53 PM,18600,1527,32,33,"Vi prego, che per una volta, il booktok possa essere utile a diffondere un messaggio... Da leggere, assolutamente %23donne %23afganistan %23diritti %23libridaleggere %23femminismo %23booktok @Rizzoli "
11/6/2025, 10:25:42 PM,804,82,3,0,"Impazzisco %23libri %23booktok %23bookhaul "
11/4/2025, 8:31:38 PM,1556,94,0,2,"Come può essere così eterea e così doloroso allo stesso tempo? %23libri %23BookTok %23lettura @Adelphi Edizioni "
11/1/2025, 4:47:59 PM,2451,144,5,2,"O wrap up, ma non mi piace molto come concetto %23libri %23lettura %23booktok %23leggeresempre "
10/24/2025, 9:33:46 PM,917,73,2,1,"Io e @Morgana | Booktok siamo state alla mostra del libro antico e raro alla Villa Necchi Campiglio, vi consiglio di farvi un salto! Grazie @Libreria Antiquaria Gozzini e @Luca Cena per la vostra gentilezza e disponibilità. %23booktok %23libri %23libriantichi %23cultura %23fai "
10/23/2025, 6:26:43 PM,3298,286,9,6,"Non so se esistano dei libri da leggere PER FORZA almeno una volta nella vita. Sicuramente ci sono delle tematiche da affrontare 🫶🏻 %23booktok %23libri "
10/20/2025, 11:23:52 PM,728,41,0,0,"Ogni consiglio è ben accetto  %23booktok %23libri %23spookyseason "
10/16/2025, 9:07:30 PM,1324,96,3,0,"Nothomb colpisce ancora %23lettura %23booktok %23libridaleggere %23libri "
10/15/2025, 6:09:59 PM,786,74,8,0,"Io non smetterò mai di parlare di questo libro LEGGETELO 😭 %23lettura %23booktok %23libridaleggere %23darkacademia "
10/14/2025, 7:15:55 PM,876,89,4,2,"Non ci posso fare niente io amo i libri di 50 pagine %23lettura %23booktok %23libridaleggere %23libri "
10/13/2025, 1:12:03 PM,4744,194,21,10,"Serie A o Serie B? ✨Sì, esistono criteri (più o meno) oggettivi per valutare la qualità di un libro: coerenza narrativa, profondità dei personaggi, originalità stilistica, complessità tematica. Non sono dogmi assoluti, ma strumenti che aiutano a distinguere un’opera strutturata da una scritta di corsa per vendere. Ma attenzione: oggi il vero discrimine è la qualità della scrittura, non il genere. Serie A oggi significa: prosa curata, personaggi complessi, struttura solida. Punto. Che sia un thriller, un romance, un fantasy o letteratura “alta”. Esistono fantasy con world-building e profondità filosofica che surclassano molti romanzi “letterari” pretenziosamente vuoti. Serie B oggi significa: scrittura approssimativa, trame banali, personaggi stereotipati. E queste caratteristiche si trovano ovunque, persino nei libri che si spacciano per “vera letteratura”. (Detto questo, è innegabile che ci siano certi generi che si prestano di più ad essere “di consumo” e quindi commerciali). IL PUNTO CHIAVE: QUALITÀ ≠ GUSTO PERSONALE. Puoi adorare un romanzo rosa pieno di cliché e trovare noioso un classico acclamato. È legittimo. Il problema nasce quando confondiamo “mi piace” con “è un capolavoro” o, peggio, quando sminuiamo chi cerca letture di evasione definendole “spazzatura”. La lettura di evasione è fondamentale quanto quella di riflessione. Non sono in gerarchia, rispondono a bisogni diversi. 📚La maturità di un lettore? Sapere cosa stai leggendo e perché ti piace, senza doverti giustificare o sminuire gli altri.  %23lettura %23booktok %23libridaleggere %23libri "
10/12/2025, 7:16:26 PM,651,54,3,0,"A breve quella che avrà una crisi d’identità sarò io %23lettura %23lettura %23libridaleggere %23booktok "
10/10/2025, 6:40:37 PM,10700,592,14,22,"Un gruppo di ragazzini VUOLE * mi sono accorta dopo dell’errore. Amen. COMUNQUE il punto è un altro😶‍🌫️ %23libri %23lettura %23libridaleggere %23booktok "
,
Mentions
@Libreria,1
@Morgana,1
@Luca,1
@Rizzoli,1
@Adelphi,1
,
Hashtags
booktok,13
libri,11
lettura,9
libridaleggere,7
cultura,2
diritti,1
BookTok,1
darkacademia,1
donne,1
femminismo,1
libriantichi,1
arte,1
bookhaul,1
spookyseason,1
afganistan,1
leggeresempre,1
fai,1
