TikTok User Statistics
Username,anitasbooks
Nickname,Anita 🧚🏻‍♀️ | Bookblogger 📚
Country,
Follower Count,2349
Heart Count,68100
Video Count,426
Following Count,430
Likes Rate,7.8%
Comments Rate,0.72%
Shares Rate,0.24%
Total Engagement Rate,8.76%
Earnings Min,$1.79
Earnings Max,$2.81
Average Views,3851
Average Likes,300
Average Comments,27
Average Shares,9
,
Videos
Date,Plays,Likes,Comments,Shares,Description
2/28/2025, 11:03:15 AM,1253,116,25,1,"Come sono cambiate le mie letture nel tempo ❤️‍🩹 %23recensione %23booktok %23booktoker %23booktokitalia %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura %23trend "
8/25/2024, 9:13:27 AM,27000,2547,68,107,"Per sempre un pezzo di me e della persona che sono diventata ❤️‍🩹 %23booktokunderground %23booktok %23booktoker %23booktokitalia %23foreveryoung %23fairyoak %23booktrend %23leggere %23libri %23fyp %23viral "
11/13/2024, 1:41:19 PM,2383,203,30,1,"Il booktok non è politico soltanto se siete analfabeti funzionali, i’m really sorry ✨ Questi sono i tipi di discorsi che mi fanno tappare la vena: come fate a popolare la realtà che vi circonda rimanendo indifferenti e neutrali? Come fate a vivere la vostra esistenza convintə che le principali FORME D’ARTE - forme d’arte NATE con l’obiettivo di trasmettere messaggi - debbano rimanere al di fuori “della politica”? Cosa intendete, poi, con il termine “politica”? I diritti umani non sono politica, la civiltà e l’empatia non sono politica. Per me nel 2024 non regge neanche la scusa dell’ignoranza, perché nella società dei social e dell’informazione chi è ignorante, è perché DECIDE di rimanere ignorante. E, per me, vali veramente poco come persona, se sei totalmente indifferente a ció che ti succede intorno. Mi dispiace, ma per questo genere di discorsi non esistono scale di grigio; bianco o nero, dentro o fuori, per quanti mi riguarda. My two cents sulla polemica ✨ %23booktok %23booktoker %23libreria %23booktokitalia %23leggere %23libripolitici %23polemica %23libri %23viral %23fyp %23consigliolibri %23trend %23booktrend "
10/2/2025, 10:00:42 PM,911,127,25,2,"Wrap Up di agosto + settembre 🧚‍♀️ %23wrapup %23booktok %23booktokitalia %23libri %23fyp "
9/25/2025, 11:05:20 AM,1027,90,15,1,"Fisica della malinconia di Georgi Gospodinov rientra, a mani bassi, tra le letture più belle di sempre ❤️‍🩹 @Voland_Edizioni  %23booktok %23booktokitalia %23libri %23recensione %23fyp "
8/24/2025, 1:46:22 PM,12900,272,68,14,"Recensione Strani disegni 🥸 Voi lo avete letto? Che ne pensate?  %23booktok %23booktokitalia %23libri %23recensione %23fyp "
8/15/2025, 6:52:18 PM,1520,146,13,1,"Book haul degli ultimi mesi pt. 2 di non so quante 💸 C’è qualcosa che vi incuriosisce? 💗 %23booktoker %23bookhaul %23booktokitalia %23leggere %23booktok "
8/10/2025, 6:28:58 PM,527,74,13,1,"Le perfezioni!! Voi lo avete letto? 💕 %23booktoker %23bookhaul %23booktokitalia %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura %23recensione %23booktok "
8/4/2025, 6:11:03 PM,979,95,27,1,"Wrap Up del mese di luglio!! 💖  Voi che avete letto? 🧚‍♀️ %23booktoker %23booktoker %23bookhaul %23booktokitalia %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura %23recensione "
7/30/2025, 10:21:35 AM,689,103,4,1,"what an odd thing to say when my gallery looks like this 🧚‍♀️ %23booktok %23booktoker %23bookhaul %23booktokitalia %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura %23recensione %23booktrend "
7/26/2025, 4:21:24 PM,1230,149,13,2,"Super in ritardo, ma book haul del SalTo!!! 🧚‍♀️ Abbiamo qualche acquisto in comune? 👀 @Safarà Editore @Caravaggio 📚 BookTok Italia @ABEditore @Voland_Edizioni  %23salonedellibro %23salto %23booktok %23booktoker %23bookhaul %23booktokitalia %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura %23recensione "
7/23/2025, 4:54:39 PM,1254,146,11,1,"Super velocisissimo recap delle letture degli ultimi mesi 💚  C’è qualcosa che vi incuriosisce? 🥰 %23recensione %23booktok %23booktokitalia %23booktoker %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura %23aggiornamentodilettura "
7/17/2025, 8:53:36 PM,706,94,79,1,"Sono tornata su questi schermi e sono tornata con una super recensione!!! 🧚‍♀️  “Qui non c’è niente per te, ricordi?” edito La nuova frontiera!! So che non è una notiziona, ma è il passo avanti di cui avevo bisogno in questo momento ❤️‍🩹 Come state? %23recensione %23booktok %23booktokitalia %23booktoker %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura %23booktoktrend %23aggiornamentodilettura "
5/8/2025, 5:08:08 PM,3873,197,10,4,"Rude 👹 %23recensione %23booktok %23booktokitalia %23booktoker %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura %23booktrend %23trend "
5/4/2025, 7:33:26 PM,1517,149,14,1,"Wrap up di aprile super in ritardo!! 🥲 Voi come state? 💖 Che avete letto?  %23recensione %23booktok %23wrapup %23booktokitalia %23booktoker %23leggere %23libri %23fyp %23viral %23consigliolibri %23lettura "
,
Mentions
@Voland_Edizioni,2
@ABEditore,1
@Caravaggio,1
@Safarà,1
,
Hashtags
booktokitalia,15
libri,14
fyp,14
booktok,14
booktoker,13
leggere,12
viral,11
recensione,11
consigliolibri,10
lettura,9
bookhaul,5
booktrend,4
trend,3
wrapup,2
aggiornamentodilettura,2
foreveryoung,1
salonedellibro,1
libripolitici,1
polemica,1
libreria,1
booktoktrend,1
fairyoak,1
salto,1
booktokunderground,1
