TikTok User Statistics
Username,annamatita_
Nickname,Annamatita | Booktok
Country,
Follower Count,6482
Heart Count,73300
Video Count,163
Following Count,250
Likes Rate,3.94%
Comments Rate,0.17%
Shares Rate,0.06%
Total Engagement Rate,4.17%
Earnings Min,$4.73
Earnings Max,$7.43
Average Views,9773
Average Likes,385
Average Comments,16
Average Shares,5
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/10/2025, 8:41:02 PM,2122,154,11,21,"A Bologna sono arrivati i vampiri 🧛🏻 Per info e prenotazioni, date un’occhiata al sito e ai canali di AlterEgo Experience ✨ %23vampiri %23mostra %23bologna %23dracula %23suppliedby "
11/5/2025, 6:54:42 AM,6769,489,18,8,"Unboxing di compleanno 🎂📚 %23unboxing %23libri %23books %23booktok %23booktokitalia "
10/18/2025, 5:39:17 PM,979,54,3,1,"Di mostri e umani 👁️ In questo video vi parlo di Monstrumana, podcast e libro di Francesca Giro e Gaetano Pagano pubblicato in Italia da Effequ 📖 %23libri %23books %23recensione %23lettureconsigliate %23mostri "
10/11/2025, 8:48:17 PM,1256,74,1,0,"Wishlist di compleanno etica 📚 Se vi va, date un’occhiata alla wishlist qui sotto e se trovate un libricino che avreste piacere di regalarmi per il mio compleanno, scrivete/chiamate direttamente la libreria Baak di Bologna 💌 Avete tempo fino al 28 ottobre 🎂 Ecco la mia wishlist librosa: 📖 Altre menti, Peter Godfrey-Smith (22€) 📖 Cose preziose, Stephen King (12,90€) 📖 Casa di giorno, casa di notte, Olga Tokarczuk (19€) 📖 L’uomo che ride, Victor Hugo (13,50€) 📖 I figli della mezzanotte, Salman Rushdie (15,50€) 📖 La magia dei momenti no, Alison Espach (19€) 📖 Inventario di quel che resta dopo che la foresta brucia, Michele Ruol (16€) 📖 Sono il re del castello, Susan Hill (19,50€) 📖 Ragazza, donna, altro, Bernardine Evaristo (20€) 📖 E l’asina vide l’angelo (20€) 📖 Come si amano le piante, Joanne Anton (17€) 📖 Mostri, Claire Dederer (20€) %23wishlist %23libri %23books %23BookTok %23booktokitalia "
10/6/2025, 8:40:06 AM,1268,91,4,0,"TBR autunnale 🍂📚 Quali di questi libri avete già letto o prevedete di leggere anche voi nei prossimi mesi? ☕️ %23books %23libri %23tbr %23booktokitalia %23booktok "
9/23/2025, 7:54:49 AM,3100,548,13,11,"Siamo marea 🇵🇸❤️ %23freepalestine %23palestinalibera %23bologna %23sciopero %2322settembre "
9/5/2025, 9:59:30 PM,2369,173,2,2,"È l’ora dello sbusto 📦📚 @Ubagu Press @Marsilio ❤️ %23unboxingvideo %23unboxingbooks %23libri %23giftedby %23booktokitalia "
8/30/2025, 7:42:40 PM,85200,2333,78,21,"Indovina il libro 📖 %23fyp %23books %23libri %23letture %23film %23movies %23movietok %23booktok %23booktokitalia "
8/22/2025, 4:38:24 PM,4801,306,32,3,"Libri mattoni e come affrontarli 🧱 %23fyp %23libri %23books %23booktok %23booktokitalia %23lettura %23leggere "
8/12/2025, 11:34:04 AM,1142,32,0,0,"L’estate a Bologna è 🍿🎞️✨ %23fyp %23cinema %23movies %23estate %23estate2025 %23bologna %23suppliedby %23cinematok  "
8/5/2025, 8:16:36 PM,2635,173,9,0,"Non romance, ma.. 🫀 %23libri %23books %23libribelli %23letture %23lettureconsigliate %23booktok %23booktokitalia %23fyp "
8/3/2025, 9:06:58 AM,5642,197,30,0,"Non è ovvio? 👀 %23harrypotter %23hogwarts %23fyp %23magic %23books %23libri %23booktok %23booktokitalia "
,
Mentions
@Ubagu,1
@Marsilio,1
,
Hashtags
libri,9
booktokitalia,8
books,8
booktok,6
fyp,5
bologna,3
movies,2
lettureconsigliate,2
suppliedby,2
letture,2
BookTok,1
unboxingbooks,1
mostri,1
film,1
estate,1
palestinalibera,1
leggere,1
dracula,1
harrypotter,1
unboxingvideo,1
freepalestine,1
mostra,1
unboxing,1
lettura,1
22settembre,1
hogwarts,1
recensione,1
libribelli,1
giftedby,1
tbr,1
wishlist,1
cinematok,1
cinema,1
estate2025,1
vampiri,1
magic,1
sciopero,1
movietok,1
