TikTok User Statistics
Username,aubreymcfato
Nickname,Andrea Zanni
Country,
Follower Count,1223
Heart Count,4347
Video Count,48
Following Count,951
Likes Rate,7.02%
Comments Rate,0.77%
Shares Rate,0.2%
Total Engagement Rate,7.99%
Earnings Min,$0.92
Earnings Max,$1.45
Average Views,1368
Average Likes,96
Average Comments,10
Average Shares,2
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/5/2025, 5:58:15 PM,1055,129,18,5,"Viva Han Kang.  %23adelphi %23hankang "
10/7/2025, 1:45:34 PM,2157,157,7,3,"%23templegrandin %23adelphi "
6/6/2025, 11:14:48 AM,685,63,5,0,""
6/1/2025, 12:29:26 PM,965,81,9,0,"%23afragola %23maschi "
4/27/2025, 5:12:33 PM,784,49,5,0,"%23accadeoggi"
4/21/2025, 6:50:16 PM,829,55,11,3,"%23stitch con @Sara %23juggling %23giocoleria "
4/18/2025, 3:49:53 PM,860,68,3,0,"direi citazione perfetta per oggi."
4/4/2025, 9:28:29 AM,865,44,4,0,"Risposta a @beraless "
4/3/2025, 5:51:45 PM,885,43,3,0,"Risposta a @lettrice.eclettica "
4/3/2025, 1:25:59 PM,1239,89,9,2,"Risposta a @monialibri "
4/3/2025, 11:35:59 AM,1398,107,13,3,"%23stitch con @ilcicers 📚 "
3/28/2025, 11:50:26 AM,4702,268,40,17,"Sorry ma contiene un urlo alla fine. %23rachelingalls %23booktokitalia "
,
Mentions
@lettrice,1
@Sara,1
@ilcicers,1
@monialibri,1
@beraless,1
,
Hashtags
adelphi,2
stitch,2
rachelingalls,1
templegrandin,1
hankang,1
giocoleria,1
booktokitalia,1
maschi,1
afragola,1
juggling,1
accadeoggi,1
