TikTok User Statistics
Username,beraless
Nickname,Alessio
Country,
Follower Count,8470
Heart Count,276400
Video Count,216
Following Count,485
Likes Rate,5.66%
Comments Rate,0.05%
Shares Rate,0.22%
Total Engagement Rate,5.93%
Earnings Min,$6.28
Earnings Max,$9.87
Average Views,111289
Average Likes,6298
Average Comments,51
Average Shares,247
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/19/2024, 3:03:35 PM,186100,12000,62,198,"Un incontro emozionante con un piccolo nuovo amico @☀️Darlen 🌴 %23albino %23albinismo %23albinito"
7/26/2024, 7:55:51 PM,1400000,75900,622,3276,"L’isola degli albini in Tanzania. Una storia di orrore e di sangue %23albinismo %23albino %23africa %23tanzania %23albinism "
8/31/2024, 12:22:24 PM,72900,5573,21,207,"Un libro che costa ALMENO UN CENTESIMO? %23imparacontiktok %23booktok %23bianciardi %23longanesi %23vespa"
11/12/2025, 1:22:48 PM,1000,85,3,7,"Cosa è oggi l’Inferno? Cosa sappiamo e cosa sapevamo dell’Inferno? L’Inferno di Dante ora è stato “liberato” da @Blackie Edizioni in un’edizione ricchissima di illustrazioni, approfondimenti e attualizzazioni. Questa è davvero un’operazione editoriale pazzesca! Nei prossimi giorni vi racconterò nel dettaglio alcuni di questi aspetti! %23gifted "
11/8/2025, 4:50:35 PM,487,62,7,0,"La storia di una domestica che, dopo la sua morte, rivela un ritratto molto più complesso di quanto sembrasse. “La Mennulara” di Simonetta Agnello Hornby edito da @FeltrinelliTok "
11/6/2025, 6:00:34 PM,614,75,3,0,"“Giornale di uno straniero a Parigi” di Curzio Malaparte edito da @Adelphi Edizioni  Racconta la Francia da chi la vede come una seconda patria, ma indirettamente racconta molto anche dell’Italia dell’immediato secondo dopoguerra "
11/5/2025, 5:53:02 PM,559,75,3,2,"Un romanzo filosofico, ma anche un giallo e una critica sociale e politica. “Todo modo” di Sciascia @Adelphi Edizioni "
11/2/2025, 6:26:40 PM,677,88,5,0,"Sono trascorsi 50 anni dalla morte di Pasolini. Queste sono le opere con cui io l’ho conosciuto, la più recente che ho letto e la prossima che leggerò. Fatemi sapere qual è l’opera con cui voi avete conosciuto Pasolini e qual è quella a cui siete più affezionati "
10/31/2025, 3:12:24 PM,1145,98,4,5,"“Il macellaio” di Sandor Marai @Adelphi Edizioni "
10/29/2025, 4:52:25 PM,2071,172,10,4,"Non so descrivervi l’emozione, ma ieri ho incontrato Annie Ernaux! @L'orma editore "
10/24/2025, 7:07:46 PM,899,92,8,1,"Cosa leggeremo insieme a novembre? Vi faccio tre proposte sul tema della resistenza, tre romanzi ""fuori dal canone"" che offrono una prospettiva unica e specifica ""La rappresaglia"" di Laudamia Bonanni @cliquot_edizioni  ""Non avevo sei anni ed ero già in guerra"" di Tilde Giani Gallino @Giulio Einaudi editore  ""Tiro al piccione"" di Giose Rimanelli @rubbettinoeditore  Votate nel sondaggio qua sotto quello che preferireste leggere insieme"
10/22/2025, 4:46:02 PM,642,59,1,2,"Come si mescolano e come cambiano cultura, letteratura e tradizione letteraria russe e ucraine prima e dopo il crollo dell’Unione sovietica? Vi parlo di “Una storia russa” di Jevhenija Kononenko, edito da E/o"
10/18/2025, 5:53:46 PM,826,71,1,1,"Ho chiesto a Beatrice Salvioni, autrice de “La malnata” e “La malacarne” qualche consiglio di lettura. Quali romanzi ha letto o riletto nell’ultimo periodo? Libri menzionati: “Kala” di Colin Walsh @Fazi Editore  “Amarsi in una casa infestata” di Matteo Cardillo @Mercurio  “La lunga marcia” di Steven King “Anima” di Wajdi Mouawad edito da Fazi"
10/15/2025, 2:59:59 PM,741,75,6,2,"E se Gadda avesse tratto un film da “Quer pasticciaccio brutto de via Merulana? Ne scrisse effettivamente il soggetto, ora edito da @Adelphi Edizioni con il titolo “La casa dei ricchi”. Lo avete letto? %23letteraturaitaliana "
10/13/2025, 3:48:35 PM,678,50,9,1,"Al book pride di Genova ho parlato con Eleonora di Keller editore, che porta in Italia voci dalle letterature europee. Le ho chiesto quali nuove prospettive possono portare nel panorama italiano  Libro menzionato: “L’ESTATE IN CUI MIA MADRE EBBE GLI OCCHI VERDI” di TATIANA ȚÎBULEAC"
,
Mentions
@Adelphi,4
@FeltrinelliTok,1
@Giulio,1
@L,1
@Fazi,1
@rubbettinoeditore,1
@Mercurio,1
@Blackie,1
@cliquot_edizioni,1
,
Hashtags
albinismo,2
albino,2
tanzania,1
booktok,1
letteraturaitaliana,1
bianciardi,1
albinito,1
gifted,1
vespa,1
imparacontiktok,1
longanesi,1
africa,1
albinism,1
