TikTok User Statistics
Username,bookhemien
Nickname,Bookhemien
Country,
Follower Count,4539
Heart Count,33100
Video Count,80
Following Count,383
Likes Rate,3.53%
Comments Rate,0.03%
Shares Rate,0.31%
Total Engagement Rate,3.87%
Earnings Min,$3.3
Earnings Max,$5.19
Average Views,15623
Average Likes,551
Average Comments,4
Average Shares,48
,
Videos
Date,Plays,Likes,Comments,Shares,Description
9/8/2024, 10:16:14 AM,4182,211,11,3,"libri simili? %23traveling %23books %23booktok %23bookworm %23booktoker %23bookish %23romance %23libri %23booklover "
9/27/2024, 12:58:43 PM,1095,67,5,0,"Quanti così? adv  %23feltrinellitok %23books %23booktoker %23booktok %23libri %23readers "
10/15/2024, 1:37:32 PM,56000,5128,17,634,"Da vedere una volta nella vita 💚La biblioteca del Trinity College di Dublino è qualcosa di magico. È LA Biblioteca. Nonostante molti scaffali fossero vuoti per via del restauro resta comunque un luogo incredibile. E pensate che ci hanno anche girato una scena di Harry Potter. Indovinate quale 🤓 %23readers %23booktoker %23booktok %23libri %23books %23booktokitalia %23booklover %23library %23aesthetics %23bookish %23college %23dublin %23irish "
9/9/2025, 12:04:04 PM,1519,71,1,0,"Tu cosa faresti?  Survive the Night di Riley Sager %23booktok %23booktokitalia %23consigliolibri %23libridaleggere "
9/3/2025, 10:48:24 AM,589,61,3,1,"La vita da lettrice ❤️ @FeltrinelliTok  %23booktokitalia %23feltrinelli  %23feltrinellitok %23adv %23booktok "
8/28/2025, 2:49:38 PM,3041,196,0,4,"Che storia! %23booktokitalia %23booktok %23adelphi %23libridaleggere %23libriconsigliati "
8/24/2025, 7:07:36 PM,2338,171,2,0,"Forse, e dico forse, alcuni uomini non si sentirebbero attaccati dal femminismo (o da quello che credono sia) se la loro mascolinità non fosse basata sul controllo della donna.  Dopo i recenti fatti, ne sono sempre più convinta e leggendo certi commenti sono sempre più preoccupata della frustrazione e della mancanza di umanità che c è dietro.  Penso che prima di essere maschilisti o femministe, uomini o donne o altro, siamo esseri umani.  💚 Il libro è ""Il mostruoso femminile"" di Jude Doyle %23booktok %23donne %23femminismo %23attualità %23booktokitalia "
8/18/2025, 10:37:09 AM,1391,187,2,8,"Mandate curriculum alla Findus %23booktok %23summer %23love %23this %23booktokitalia "
7/18/2025, 5:38:26 PM,132700,271,1,11,"Ognuno di noi ha un amico che ci fa ridere, uno che ci fa pensare, uno che ci conosce da sempre.  Scopri tutte le forme e i colori dell'amicizia su libraccio.it %23adv %23libraccio %23amicizia %23booktok %23booktokitalia %23books "
7/16/2025, 10:31:14 AM,1367,95,1,0,"Toccante 🥲 %23booktokitalia %23booktok %23love %23booklover %23bookish %23libridaleggere %23libriconsigliati %23books %23espiazione %23ianmcewan "
7/10/2025, 1:29:57 PM,613,47,0,0,"love dilemmas  adv %23feltrinellitok %23booktok %23booktokitalia %23love %23adv "
7/4/2025, 4:06:05 PM,1788,111,2,0,"Mi ringrazierai 🫶🏻 %23booktok %23booktoker %23books %23selfcare %23selfimprovement %23love %23ansia %23mindfulness %23libriconsigliati %23libridaleggere %23bookish %23booklover %23crescitapersonale "
6/25/2025, 5:52:37 PM,6714,507,7,7,"My ladies %23lettureconsigliate %23booktok %23booklover %23bookworm %23booktokitalia %23libriconsigliati %23libridaleggere %23libri %23bookish %23booktoker "
6/22/2025, 6:01:22 PM,1418,85,2,0,"lontani, ma vicini.  la distanza tra le stelle 🌌 di Lily Brooks Dalton %23bookish %23libri %23libridaleggere %23libriconsigliati %23booktokitalia %23bookworm %23booklover %23booktok %23lettureconsigliate %23estate "
6/16/2025, 7:20:48 PM,19600,1065,10,57,"Che senso ha vivere a lungo ma senza amore?  Come fermare il tempo di Matt Haig  %23booktok %23booktoker %23lovers %23booklover %23bookworm %23booktokitalia %23libriconsigliati  %23libridaleggere %23romantasy %23libri %23bookish %23fantasy "
,
Mentions
@FeltrinelliTok,1
,
Hashtags
booktok,15
booktokitalia,12
bookish,7
booklover,7
libridaleggere,7
booktoker,6
libriconsigliati,6
libri,6
books,6
bookworm,4
love,4
adv,3
feltrinellitok,3
lettureconsigliate,2
readers,2
aesthetics,1
this,1
estate,1
fantasy,1
selfimprovement,1
libraccio,1
summer,1
attualità,1
femminismo,1
adelphi,1
espiazione,1
ianmcewan,1
crescitapersonale,1
consigliolibri,1
selfcare,1
mindfulness,1
ansia,1
library,1
donne,1
lovers,1
romance,1
traveling,1
amicizia,1
feltrinelli,1
dublin,1
irish,1
romantasy,1
college,1
