TikTok User Statistics
Username,booksavocado
Nickname,Federica R | Booksavocado
Country,
Follower Count,380
Heart Count,1150
Video Count,24
Following Count,690
Likes Rate,4.05%
Comments Rate,0.22%
Shares Rate,0.14%
Total Engagement Rate,4.41%
Earnings Min,$0.28
Earnings Max,$0.44
Average Views,1225
Average Likes,49
Average Comments,2
Average Shares,1
,
Videos
Date,Plays,Likes,Comments,Shares,Description
2/26/2025, 11:03:17 AM,2291,112,14,9,"📚 ""Sua altezza reale"" di Danielle Steel e uno dei primi libri cartacei che ho letto, nel corso del tempo crescendo le mie letture sono cambiate e probabilmente rillegedo alcune di loro non mi sentirei affine come un tempo. Ho iniziato a leggere tardi ma sto recuperando molto bene,📚🧸💕✨ 📖Quali sono i libri che vi hanno reso i lettori che siete oggi? Ne abbiamo qualcuno in comune? @Il Saggiatore Casa Editrice @Adelphi Edizioni @Giulio Einaudi editore @Maya Freiheit @Freindie_writer  @Sophie Simonitti @Audrey Carlan  %23booksthatmademe %23thisishowitstarts %23booktag %23bookstagramitalia %23bookstagram %23bookstagrammer %23librichepassione"
11/22/2024, 2:39:37 PM,2496,59,0,0,"Leone gatto lettore 📚❤️ @Adelphi Edizioni  %23catbook %23catlover %23catlife %23catlovers %23catholic %23catolicos %23catbook %23catbooks %23book %23books %23book %23books %23bookstagrammer %23bookstagram %23booktok %23bookworm %23booksavocado %23booklovers %23romance %23libro %23libri%23bookstagramitalia %23booksbooksbooks %23darkacademiafeed %23bookblogger %23booklover %23bibliophile %23bookaddict %23bookaholic %23bookaesthetic %23bookreel %23libridaleggere %23leggeresempre %23darkromance %23darklove "
1/30/2025, 6:51:21 PM,2093,26,1,4,"26💞✨🎂 %23mybirthdaytoday %23birthday %23birthdaycake %23birthdayparty %23birthdaygirl "
10/30/2025, 1:37:24 PM,865,34,2,1,"Ho iniziato e finito la settimana leggendo Follia di Patrick McGrath, che mi ha ovviamente tenuta incollata alle pagine. Vi farò sapere cosa ne penso nella recensione💌✨ - 183 pagine lette in totale, sono molto soddisfatta 💅🏻 cosa state leggendo?  %23booktokitalia %23libriconsigliati %23BookTok %23libridaleggere %23libritiktok  @Adelphi Edizioni "
10/18/2025, 11:04:07 AM,1438,54,3,1,"Il grande mare dei Sargassi di Jean Rhys Jean Rhys in questo romanzo racconta la storia personale, l'infanzia e il matrimonio con Mr. Rochester di un personaggio secondario Bertha la moglie matta chiusa in soffitta, di un grande classico della letteratura inglese Jane Eyre. Antoinette “Bertha” a seconda dai suoi comportamenti e dai vari avvenimenti oscillerà tra l'essere buone e cattiva, dovra affrontare un amore folle e squilibrato. Una lettura devastante, che ti tormenta e travolge portandoti nella sua oscurità. Il tutto si svolge nella Giamaica post coloniale, con un paesaggio caraibico fatto di fiori profumati, mare e sole che fanno da contorno, sfondo e specchio al dolore, ossessione, possesso, violenza e morte, da cui i protagonisti, ma un po' tutti i personaggi verranno attraversati da pensieri oscuri. La descrizione minuziosa e dettagliata dei sentimenti e i comportamenti dei personagi li rende estremamente reali. Con un finale di isolamento, lontano dalla società. Perché è diventa la moglie matta chiusa in soffitta? Be questo lo scoprirete soltanto leggendo questo romanzo quindi, leggiamolo e parliamone.  @Adelphi Edizioni  %23Booktokitalia %23BookTok %23consiglidilettura %23libridaleggere %23neiperte "
10/3/2025, 12:27:34 PM,991,47,3,0,"Il Grande Gatsby di Francis Scott Fitzgerald Ambientato negli scintillanti  anni venti, tra New York e Long Island, racconta di uno spaccato di vita lussuosa dal punto di vista di Nick Carraway, in particolare la storia del suo vicino di casa Gay Gatsby, tra feste sontuose, la sua salita alla ricchezza e del suo amore perduto. Non solo un'estate ma una vita passata a inseguire la sua amata Daisy, di cui è da sempre innamorato, una giovane donna ricca. Gatsby non è il ricco snob e spaccone che sembra, ma un tempo era un povero ragazzo che si è arricchito con i soldi del contrabbando. Tutto questo là fatto solo perché Daisy appartiene al mondo scintillante dell'oro e del lusso, e spera che un giorno lei possa varcare i grandi cancelli della sua immensa villa. Nick così diverso da Gatsby, nei modi di fare e nel modo di vivere la vita, ma sarà l'unico a rimanere fino alla fine. Questa lettura mi lascia con l'amaro in bocca per la sua breve durata e per la sua tragica storia, anche se romantica dal punto di vista di Gatsby, perché Daisy con le decisioni che prende finisce per essere egoista, le piaceva di più l'essere amata che amare Gatsby, indipendente da chi sia l'amato. Ho apprezzato molto l'amicizia che si è creata tra Nick e Gatsby. Lettura scorrevole e molto piacevole anche se ogni tanto andavo in confusione, ma molto apprezzata. Leggiamolo e parliamone. @Giulio Einaudi editore  %23Booktokitalia %23books %23einaudi %23perte %23immortale"
8/25/2025, 10:07:10 AM,388,13,0,1,"What's in my bag Whitney? Books✨📚 @Giulio Einaudi editore  @Michael Kors  %23Booktok %23whatsinmybag  %23perte %23book %23outfit "
8/12/2025, 1:32:00 PM,871,41,7,4,"🐚54321 book challenge🐬 Commenta con i tuoi libri📚 @Giulio Einaudi editore @Adelphi Edizioni @Il Saggiatore Casa Editrice @Victoria S. Byleth @Freindie_writer@Sophie Simonitti @Fazi Editore  %23Booktokitalia %23BookTok %23neiperte  %2354321challenge %23libridaleggere "
8/5/2025, 11:52:06 AM,1123,50,0,0,"My reading✨ @Giulio Einaudi editore  %23BookTok %23whatiamreading %23books %23gatsby %23immortale %23tiktok %23fyp  %23neipertee %23viraltiktok %23bookstagram %23bookstagrammer  %23bookstagramitalia %23einaudi %23letteratura %23stoleggendo %23libriconsigliati "
7/29/2025, 9:09:06 AM,1144,119,0,0,"L'amore di Jane Eyre e Mr Rochester  @Giulio Einaudi editore  %23janeyre %23BookTok %23letteratura %23books %23classici %23letteraturainglese %23rochester %23classicinglesi %23libri %23fyp %23tiktok %23neipertee %23viraltiktok  %23bookstagram %23immortale  %23bookstagramitalia %23einaudi "
