TikTok User Statistics
Username,booksbyalis
Nickname,Ali’s books📚🌥
Country,
Follower Count,1679
Heart Count,25200
Video Count,457
Following Count,145
Likes Rate,5.7%
Comments Rate,0.25%
Shares Rate,0.12%
Total Engagement Rate,6.07%
Earnings Min,$1.25
Earnings Max,$1.96
Average Views,2616
Average Likes,149
Average Comments,6
Average Shares,3
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/7/2024, 4:27:06 PM,16200,849,4,7,"Libri random sotto le 300 pagine che vi consiglio💐 %23BookTok %23booktokitalia %23libribrevi %23lenottibianche %23libriclassici %23stephenking %23primolevi %23ilgrandegatsby "
9/20/2023, 2:05:53 PM,10100,410,1,4,"Libri brevissimi ma non per questo meno belli o intensi🧚🏻‍♀️ %23booktok %23booktokitalia %23libriclassici %23libribelli %23libribrevi %23letteraturaitaliana %23libriitaliani %23ticonsigliounlibro %23nottibianche %23dostoevsky %23fedordostoevsky %23lalunaeifalo %23pavese %23cesarepavese %23italocalvino %23calvino %23ilcavaliereinesistente %23inostriantenati %23metafisicadeitubi %23amelienothomb %23lostranocasodeldottorjekyllemrhyde %23robertlouisstevenson %23stevenson "
4/9/2025, 4:50:09 PM,4606,390,26,16,"Grazie @alex☕️ | booktok e @VersoItaca per il tag🫶🏻🫶🏻 Taggo a mia volta (se ancora non l’hanno fatto) @Mattia| lettore e scrittore📚 @gio <3 | booktok📚🍉 @Glenda | Booktok 📖 @isa🌷|booktok @Anita 🧚🏻‍♀️ | Bookblogger 📚 @Fabi (booktok’s version)|📚💚 @Anna 📚 @Frida 📚 @Sì, un’altra Martina 📚 @elisabetta lamonica 💜📚🧸🐾🐶 @lu’s books  %23booktokitalia %23booktok "
11/7/2025, 3:18:51 PM,274,53,4,3,"La vita normale di Yasmina Reza @Adelphi Edizioni %23lettura %23booktok %23booktokitalia %23adelphiedizioni %23yasminareza "
11/5/2025, 5:50:25 PM,367,41,0,1,"Read 1 hour with me💗 %23readwithme %23lettura %23readingtime %23booktok %23booktokitalia "
11/1/2025, 6:30:31 PM,637,31,1,1,"Ultimi aggiornamenti di lettura🫶🏻 %23booktok %23booktokitalia %23wrapupottobre %23tbrnovembre %23aggiornamentodilettura "
10/31/2025, 4:12:41 PM,4181,212,33,6,"La mia personale TOP 5 dei romanzi di Stephen King🎈🤡 %23booktok %23booktokitalia %23stephenking %23shining %23it "
10/23/2025, 6:31:15 PM,225,20,0,3,"Sconti @Il Saggiatore Casa Editrice ❤️ %23booktok %23booktokitalia %23sconti %23ilsaggiatore %23saggi "
10/22/2025, 5:39:49 PM,248,22,0,1,"Libri che vorrei leggere ad ottobre👻 %23booktok %23booktokitalia %23tbrottobre %23librihalloween %23lestateneituoiocchi "
10/21/2025, 4:13:55 PM,652,30,4,1,"Sono tornata!!! Spero di recuperare un po’ di video nei prossimi giorni🫶🏻 %23booktok %23booktokitalia %23wrapupsettembre %23lestateneituoiocchi %23luissepúlveda "
9/23/2025, 5:42:43 PM,431,26,17,1,"Consigliami quale libro di Stephen King tra questi dovrei recuperare assolutamente ad Ottobre👻 %23booktok %23booktokitalia %23tbrottobre %23stephenking %23lenottidisalem %23stagionidiverse "
9/22/2025, 6:46:54 PM,335,31,3,1,"Sono tornata!🫶🏻🧜🏻‍♀️ %23booktok %23booktokitalia %23aggiornamentodilettura %23barbero %23luissepulveda "
9/9/2025, 6:59:10 PM,421,46,6,1,"Future letture🍂 %23booktok %23booktokitalia %23lettureautunnali %23spookyseason %23libribrevi "
9/8/2025, 6:55:21 PM,307,48,0,1,"Letture estive riassunte🫶🏻☀️ %23booktok %23booktokitalia %23aggiornamentodilettura %23lettureestive "
9/3/2025, 6:33:18 PM,268,27,0,1,"Primo aggiornamento di lettura di settembre📚 %23booktok %23booktokitalia %23booklover %23aggiornamentodilettura %23yasminareza %23cocomellors %23barbero "
,
Mentions
@alex,1
@Sì,1
@Frida,1
@elisabetta,1
@lu,1
@Anna,1
@gio,1
@Fabi,1
@Anita,1
@isa,1
@VersoItaca,1
@Il,1
@Mattia,1
@Glenda,1
@Adelphi,1
,
Hashtags
booktokitalia,15
booktok,14
aggiornamentodilettura,4
stephenking,3
libribrevi,3
tbrottobre,2
lettura,2
yasminareza,2
lestateneituoiocchi,2
barbero,2
libriclassici,2
luissepulveda,1
lenottidisalem,1
BookTok,1
cocomellors,1
lostranocasodeldottorjekyllemrhyde,1
luissepúlveda,1
booklover,1
adelphiedizioni,1
shining,1
dostoevsky,1
nottibianche,1
it,1
readwithme,1
libribelli,1
metafisicadeitubi,1
spookyseason,1
wrapupottobre,1
lenottibianche,1
tbrnovembre,1
ticonsigliounlibro,1
lettureautunnali,1
sconti,1
robertlouisstevenson,1
librihalloween,1
amelienothomb,1
ilcavaliereinesistente,1
libriitaliani,1
inostriantenati,1
lettureestive,1
calvino,1
fedordostoevsky,1
pavese,1
stagionidiverse,1
stevenson,1
saggi,1
letteraturaitaliana,1
ilgrandegatsby,1
cesarepavese,1
italocalvino,1
wrapupsettembre,1
lalunaeifalo,1
readingtime,1
primolevi,1
ilsaggiatore,1
