TikTok User Statistics
Username,camillatralerighe
Nickname,Camilla tra le righe 📚
Country,
Follower Count,5836
Heart Count,70900
Video Count,345
Following Count,199
Likes Rate,3.86%
Comments Rate,0.43%
Shares Rate,0.12%
Total Engagement Rate,4.41%
Earnings Min,$4.27
Earnings Max,$6.7
Average Views,5067
Average Likes,195
Average Comments,21
Average Shares,5
,
Videos
Date,Plays,Likes,Comments,Shares,Description
6/1/2025, 7:39:50 PM,42400,955,72,37,"Libri perfetti per l'estate. ✨️ @Neri Pozza editore @Edizioni E/O @Sellerio editore @Giulio Einaudi editore  %23BookTok %23booktokitalia %23libri %23leggere %23libridaleggere %23consiglidilettura "
11/13/2025, 9:59:10 AM,370,50,10,1,"Che bello quando i libri sono in grado di farti viaggiare in posti lontani! ❤️ @addeditore  %23BookTok %23booktokitalia %23libri %23libridaleggere %23consiglidilettura "
11/11/2025, 12:21:21 PM,1337,115,11,9,"Io ci credo tantissimo in questa tbr per la fine del 2025! 👀 @Orientalia editrice @Adelphi Edizioni @Voland_Edizioni @Fandango Libri @FeltrinelliTok @Sellerio editore  %23booktok %23booktokitalia %23libri %23libridaleggere %23consiglidilettura "
11/10/2025, 1:33:17 PM,1084,79,23,0,"Oggi parliamo di un libro impegnativo... in tutti i sensi. 👀 %23%23booktok %23booktokitalia %23libri %23libridaleggere %23consiglidilettura "
11/6/2025, 7:47:20 AM,1193,70,12,1,"Risposta a @fils.tear Parliamo del mio autore del cuore. 🥹❤️ @Sellerio editore  %23booktok %23libridaleggere %23consiglidilettura %23booktokitalia %23libri "
11/4/2025, 12:42:06 PM,2203,150,20,1,"Book haul! 👀 @bollatiboringhier @Voland_Edizioni @Sellerio editore @Giulio Einaudi editore @Il Saggiatore Casa Editrice @minimumfax  %23booktok %23libridaleggere %23consiglidilettura %23booktokitalia %23libri "
11/2/2025, 2:15:42 PM,2390,172,17,7,"È il momento del wrap up!  @Sellerio editore @Adelphi Edizioni @Marcos y Marcos @Giunti Editore  %23booktok %23libridaleggere %23consiglidilettura %23booktokitalia %23libri "
10/26/2025, 6:11:42 PM,2604,154,17,2,"Qualche titolo per la promo @Neri Pozza editore in corso! 📚✨️ %23booktok %23libridaleggere %23consiglidilettura %23booktokitalia %23libri "
10/19/2025, 10:57:10 AM,4686,277,9,6,"Libri perfetti per l'autunno. 🍂🍁 @Adelphi Edizioni @Orientalia editrice  %23booktok %23libridaleggere %23consiglidilettura %23booktokitalia %23libri "
10/17/2025, 12:25:00 PM,1996,185,39,9,"Book haul di compleanno! 🥹❤️ Grazie a quei cuori di @Logos&Books🎧📚 @Glenda | Booktok 📖 @vanessa | cinema, libri e tv ☽ @Rita Masante  cc: @Adelphi Edizioni @Fazi Editore @NN Editore @atmosphere libri @Giunti Editore  %23booktok %23booktokitalia %23libridaleggere %23libri %23consiglidilettura "
10/13/2025, 8:38:55 AM,1382,74,9,0,"Oggi vi consiglio un ottimo noir. @Sellerio editore ✨️📚 %23BookTok %23booktokitalia %23libri %23libridaleggere %23consiglidilettura "
10/8/2025, 7:52:34 AM,1822,125,15,3,"Grazie a quel cuore enorme di @Rita Masante 🥹❤️e grazie per la bella sorpresa a @Adelphi Edizioni ✨️💛 %23BookTok %23booktokitalia %23libri %23libridaleggere %23consiglidilettura "
10/6/2025, 8:30:53 AM,2412,135,27,0,"È arrivato anche il mio momento di parlare di Strani Disegni. 👀📚 %23BookTok %23booktokitalia %23libri %23libridaleggere %23consiglidilettura "
,
Mentions
@Sellerio,6
@Adelphi,5
@Giulio,2
@Rita,2
@Voland_Edizioni,2
@Giunti,2
@Orientalia,2
@Neri,2
@FeltrinelliTok,1
@Fazi,1
@Fandango,1
@Il,1
@Logos,1
@Edizioni,1
@bollatiboringhier,1
@addeditore,1
@minimumfax,1
@Marcos,1
@fils,1
@vanessa,1
@atmosphere,1
@NN,1
@Glenda,1
,
Hashtags
consiglidilettura,13
booktokitalia,13
libri,13
libridaleggere,13
booktok,8
BookTok,5
leggere,1
