TikTok User Statistics
Username,carlottasanzogni
Nickname,Carlotta Sanzogni
Country,
Follower Count,4901
Heart Count,117300
Video Count,275
Following Count,355
Likes Rate,4.58%
Comments Rate,0.09%
Shares Rate,0.21%
Total Engagement Rate,4.88%
Earnings Min,$3.6
Earnings Max,$5.65
Average Views,46370
Average Likes,2124
Average Comments,40
Average Shares,95
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/18/2024, 2:58:10 PM,383200,15100,446,858,"finalmente un film in grado di descrivere come ci sentiamo. grazie @Studio29 per l’invito. @I Wonder Pictures %23thesubstance %23recensione %23cinema %23film %23filmconsigliati %23filmbelli %23alcinema %23consigli "
3/17/2024, 3:56:20 PM,162400,1414,45,33,"Un libro che non sento MAI consigliare %23booktok %23booktokitalia %23booktokita %23booktokitaliano %23leggere %23leggeresempre %23bookworm %23booktoker %23booktokerita %23booktokeritaliana %23libriconsigliati %23libridaleggere %23libri %23consiglidilettura "
9/14/2022, 5:28:25 PM,97600,13800,93,212,"BookLover Academy ❤️ %23booktok %23booktokitalia %23libri %23letture %23libriconsigliati %23playloveracademy %23books %23rimorchiare %23amore %23leggere %23libridaleggere %23consigli %23perte %23kundera %23dostoevskij %23carver %23letteratura"
11/2/2025, 12:04:14 PM,929,34,3,1,"%23domenica %23perte %23booktok %23leggere %23leggeresempre %23girl %23girls "
10/29/2025, 7:28:10 AM,1155,55,4,0,"3 motivi per vedere %23LeCittàDiPianura 🎞️ %23filmconsigliati %23filmdavedere %23filmtok %23cinema %23cinematok %23filmalcinema %23filmbelli %23consiglifilm %23regia %23filmdaguardareperte %23films %23movies %23moviestowatch %23perte %23cinemaitaliano %23italiancinema %23italia %23veneto %23attori %23attoriitaliani %23festival %23filmfestival "
9/30/2025, 12:04:39 PM,988,75,1,3,"a me comunque mancherai. %23sansiro "
9/26/2025, 5:51:23 PM,772,38,0,4,"%23bambi 💘 %23bambibookclub %23disney %23lanadelrey %23ultraviolence %23cartoon %23sleep %23sleepyday %23sleepyhead "
9/23/2025, 4:10:09 PM,2524,119,1,2,"Qual è il vostro motto? %23booktok %23booktoktita %23libridaleggere %23libriconsigliati %23consiglidilettura %23libritiktok %23libridivertenti %23leggere %23leggeresempre %23booktoker %23booktokeritalia %23booktokerita %23fazieditore "
9/21/2025, 12:31:20 AM,39100,888,8,309,"Fav cake ✨ %23birthday %23birthdaygirl %23birthdaycakes %23birthdayparty %23party %23celebration %23partyideas %23cakeideas %23cakeidea %23cheese %23cheeselover "
9/16/2025, 2:50:54 PM,1014,51,1,0,"A caccia di libri %23fitcheck %23ootd %23booktok %23bookstyling %23booktokitalia %23booktoker %23booktokeritalia %23booktokerita %23leggeresempre %23leggere %23libri "
9/15/2025, 3:56:20 PM,1088,41,1,1,"On duty %23bookstyling %23booktok %23booktokitalia %23booktoker %23booktoker %23booktokeritalia %23leggeresempre %23libridaleggere %23look %23lotd %23fitcheckgirl %23fitcheck "
9/9/2025, 7:00:30 PM,665,19,0,1,"se non vi siete ancora convinti a leggere %23Wellness magari ci riesce %23NathanHill @Rizzoli %23interview %23writer %23writertok %23booktok %23booktokitalia %23booktokita %23booktoker %23booktokeritalia %23leggeresempre %23leggere %23libridaleggere %23love %23polyamorousrelationship %23relationships %23couple %23couples %23relationshipgoals %23libriconsigliati %23consiglidilettura "
9/8/2025, 6:55:52 PM,1114,51,2,0,"Direi che ci siamo divertiti con %23NathanHill a parlare di %23Wellness e non solo 🧪💘 @Rizzoli %23interview %23booktok %23booktokitalia %23booktokita %23booktoker %23booktokeritalia %23leggeresempre %23leggere %23libridaleggere %23libriconsigliati %23consiglidilettura %23love %23relationships %23relationshipgoals "
9/8/2025, 8:31:36 AM,1618,126,1,3,"Milano I love you ❤️ %23milano %23milanese %23drive %23tram %23publictransport %23publictransportation %23italy %23italian %23italiano "
9/3/2025, 2:17:16 PM,1389,58,3,2,"se avete altre teorie le ascolto"
,
Mentions
@Rizzoli,2
@Studio29,1
@I,1
,
Hashtags
booktok,8
leggeresempre,7
leggere,7
booktoker,7
booktokitalia,6
libridaleggere,6
booktokeritalia,5
libriconsigliati,5
consiglidilettura,4
booktokerita,3
perte,3
booktokita,3
libri,3
consigli,2
love,2
filmbelli,2
relationships,2
filmconsigliati,2
interview,2
Wellness,2
fitcheck,2
bookstyling,2
NathanHill,2
relationshipgoals,2
cinema,2
celebration,1
writertok,1
italia,1
milanese,1
bambi,1
film,1
bambibookclub,1
couple,1
filmdavedere,1
thesubstance,1
girls,1
party,1
polyamorousrelationship,1
bookworm,1
birthdayparty,1
libritiktok,1
writer,1
cakeidea,1
sansiro,1
rimorchiare,1
couples,1
playloveracademy,1
partyideas,1
alcinema,1
filmalcinema,1
italy,1
italiano,1
fitcheckgirl,1
drive,1
movies,1
girl,1
filmfestival,1
films,1
filmdaguardareperte,1
LeCittàDiPianura,1
lanadelrey,1
veneto,1
cartoon,1
sleepyhead,1
publictransport,1
birthdaycakes,1
libridivertenti,1
filmtok,1
attoriitaliani,1
ootd,1
booktokeritaliana,1
look,1
birthdaygirl,1
booktokitaliano,1
italiancinema,1
fazieditore,1
cakeideas,1
ultraviolence,1
lotd,1
attori,1
cheese,1
birthday,1
sleepyday,1
publictransportation,1
italian,1
cheeselover,1
carver,1
cinemaitaliano,1
books,1
moviestowatch,1
festival,1
regia,1
amore,1
sleep,1
milano,1
domenica,1
recensione,1
cinematok,1
booktoktita,1
disney,1
tram,1
letture,1
kundera,1
consiglifilm,1
letteratura,1
dostoevskij,1
