TikTok User Statistics
Username,chiara.machedavvero
Nickname,Chiara Cecilia Santamaria
Country,
Follower Count,1514
Heart Count,8908
Video Count,39
Following Count,24
Likes Rate,3.79%
Comments Rate,0.07%
Shares Rate,0.09%
Total Engagement Rate,3.95%
Earnings Min,$1.1
Earnings Max,$1.73
Average Views,1528
Average Likes,57
Average Comments,1
Average Shares,1
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/11/2025, 1:46:31 PM,22,1,0,1,"Tutto a posto eh… %23lifestyleblogger %23vlog %23vlogitalia %23reallife "
11/10/2025, 12:18:55 PM,873,5,2,0,"Prossima volta vlog?"
10/26/2025, 8:55:00 PM,803,25,0,0,"La mia vita della settimana passata in una gallery… %23photooftheday %23diary "
10/2/2025, 3:22:53 PM,1336,113,2,2,"Penso di aver vinto con le mie amiche Winx questo trend…  "
10/1/2025, 11:08:01 AM,768,37,0,0,"E codici sconto! Skincare e beauty coreana voto i prodotti che ho terminato o quasi. %23skincarecoreana %23kbeauty %23skincare %23yesstyle %23yesstylecodes "
9/28/2025, 3:51:25 PM,1197,72,1,8,"La collezione Sylvanian Families per Uniqlo è arrivata… e questa t-shirt insieme alle blind boxer, apriamole! %23sylvanianfamilies %23sylvanianfamiliesxuniqlo %23gifted "
9/7/2025, 7:48:41 PM,2362,51,0,0,"Questi sono i prodotti skincare che uso nella mia doccia completa, dall’hair oiling alla crema idratante. Ne conoscete qualcuno? I miei codici sconto: YesStyle CHIARA300 Kippun-Haru CHIARA10 %23skincare %23skincarecoreana %23beautyroutine %23lifestyleblogger "
8/31/2025, 12:33:36 PM,1266,24,1,3,"Cosa fare in Abruzzo? Un’escursione in canoa sul Tirino, il fiume più pulito d’Italia %23vlog %23vlogitalia %23travelvlog %23abruzzo %23cosafareinabruzzo "
8/26/2025, 10:01:57 PM,1233,59,1,1,"Tattoo a NYC senza pianificarlo… %23vlog %23vlogitalia %23travelvlog %23vlogger  "
8/24/2025, 7:19:40 PM,1027,68,2,0,"Contenuti di qualità  %23vlog %23vlogitalia %23travelvlog %23vlogger "
8/21/2025, 8:02:56 PM,5786,105,0,0,"Story time sentimentale…   Mentre mi preparo coi prodotti di @롬앤 romand presi su @YesStyle %23YesStyle %23YesStyleInfluencers %23YSromand @YesStyleInfluencers "
8/19/2025, 9:55:37 AM,1672,135,3,1,"Vlog del mio ultimo giorno a New York ma non preoccupatevi perché questo viaggio da sola riserva altre sorprese e altri video. %23vlogitalia %23vlog %23travelvlog %23newyork "
,
Mentions
@롬앤,1
@YesStyleInfluencers,1
@YesStyle,1
,
Hashtags
vlog,5
vlogitalia,5
travelvlog,4
vlogger,2
skincare,2
skincarecoreana,2
lifestyleblogger,2
reallife,1
diary,1
newyork,1
yesstylecodes,1
sylvanianfamilies,1
abruzzo,1
YSromand,1
gifted,1
kbeauty,1
cosafareinabruzzo,1
beautyroutine,1
photooftheday,1
YesStyleInfluencers,1
sylvanianfamiliesxuniqlo,1
YesStyle,1
yesstyle,1
