TikTok User Statistics
Username,concetta_piro
Nickname,Concetta Piro 🎬📚
Country,
Follower Count,1791
Heart Count,18700
Video Count,489
Following Count,256
Likes Rate,9.03%
Comments Rate,2.39%
Shares Rate,0.57%
Total Engagement Rate,11.99%
Earnings Min,$1.4
Earnings Max,$2.21
Average Views,465
Average Likes,42
Average Comments,11
Average Shares,2
,
Videos
Date,Plays,Likes,Comments,Shares,Description
2/19/2025, 12:26:08 PM,556,47,25,0,"Risposta a @sieditiscomposta Questo video è dedicato a Rossella e a @Eleonora Dusi | Booktok 📚 ma anche a @Martina🐧📚 | Booktok  Spesso ci si chiede con quale romanzo iniziare a leggere %23stephenking e allora ho deciso di consigliarvi, secondo me, con quale potreste partire! Spero di aver soddisfatto la vostra curiosità 💛 %23libriconsigliati %23libridaleggere %23guidadilettura %23libritiktok %23booktok %23booktokitalia %23bookworm "
1/2/2025, 10:22:37 AM,674,26,10,13,"Sono felicissima di annunciare il mio primo Gruppo di lettura. Leggeremo insieme un libro ogni due mesi e al termine della lettura guarderemo la trasposizione cinematografica per decretare, una volta per tutte se è meglio il libro o il film! Nel link in bio trovate il collegamento al gruppo telegram ma non esitate a contattarmi per qualsiasi info. Vi aspetto numerosi! 💛 %23gdl2025 %23gruppodilettura %23booktokitalia %23booklover %23bookclub "
11/12/2025, 9:48:42 PM,261,15,5,1,"Credo sia superfluo parlare del timore che mi portavo dentro prima di iniziare a leggere questo romanzo ... Proverò a raccontarvi, man mano che vado avanti con la lettura, le sensazioni che provo. 📚 ""La storia"" di Elsa Morante edito @Giulio Einaudi editore  %23diariodilettura %23lastoria %23elsamorante %23booktokitalia "
11/11/2025, 6:15:20 PM,366,43,9,2,"Adoro quando grazie al booktok riesco a recuperare piccole perle che altrimenti mi sarebbero sconosciute.  Vi parlo di ""Casa di bambola"" di Ibsen consigliato da @ilcicers 📚 qualche tempo fa e che ringrazio 💛 Voi lo avete letto? Lo conoscevate? %23ibsen %23recensionelibri %23booktokitalia "
11/10/2025, 7:29:33 PM,380,58,10,1,"Tra crisi del capitalismo, devastazione ambientale e filosofia zen, un grande romanzo sull'inevitabilità della propria famiglia. Vi presento ""Nirvana"" di Tommy Wieringa edito @Iperborea Casa Editrice che ringrazio per la copia e per la fiducia. %23nuoveuscite %23unboxing %23consigliolibri %23spacchettamento %23booktokitalia "
11/10/2025, 8:14:22 AM,298,27,7,2,"PARTE 36 | UN FILM AL GIORNO Ti consiglio un film al giorno, dal lunedì al venerdì, da guardare comodamente seduto sul divano di casa tua! Salva il video nei preferiti per ritrovarlo ogni sera, così saprai sempre cosa guardare in TV! Settimana dal 10 al 14 novembre  %23unfilmalgiorno %23filmintv %23consigliofilm %23staseraintv %23cinematok "
11/7/2025, 4:21:12 PM,447,37,4,2,"83. IL GRANDE CLASSICO DEL VENERDÌ  Una famiglia del sud si trasferisce a Milano in cerca di migliori opportunità di lavoro, ma la rivalità tra i due fratelli Rocco e Simone, entrambi invaghiti di una pr****tuta, finisce in tragedia. Rocco e i suoi fratelli (1960) Luchino Visconti  %23ilgrandeclassicodelvenerdi %23luchinovisconti %23filmtok %23cinematok %23filmdavedere "
