TikTok User Statistics
Username,debbooksss
Nickname,Debbooks 📚 📖
Country,
Follower Count,19700
Heart Count,428700
Video Count,1172
Following Count,5637
Likes Rate,9.01%
Comments Rate,1.66%
Shares Rate,0.36%
Total Engagement Rate,11.03%
Earnings Min,$15.31
Earnings Max,$24.06
Average Views,3571
Average Likes,321
Average Comments,59
Average Shares,12
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/13/2025, 1:11:41 PM,2488,139,55,1,"I prefissi telefonici dicono molte più cose di quanto crediamo! %23comedyitalia %23emiliaromagna %23emilia %23romagna "
11/12/2025, 1:12:14 PM,1347,175,33,0,"Molto scorrevole.. %23recensionelibri %23comedyitalia %23libridaleggere %23libriconsigliati %23consigliolibri "
11/11/2025, 12:28:03 PM,5753,550,139,29,"San Martino: mistuchina e vino  %23dialetto  %23castagne %23ferrara %23dolci %23tradizione "
11/10/2025, 1:12:19 PM,1736,170,12,0,"È sempre bello aggiungere nuovi libri! @Mondadori @Fazi Editore  %23bookhaul %23leggere %23lettura %23passionelibri %23nuovilibri "
11/9/2025, 1:25:05 PM,4074,391,42,18,"I calendari delle tradizioni sono disponibili in 12 dialetti! Contribuisci anche tu affinchè la tradizione non sia dimenticata! https://icalendaridelletradizioni.it/?utm_source=influencer&utm_campaign=debbooksss %23dialetto %23tradizione %23calendario %23giftedby %23saggezza "
11/8/2025, 12:14:53 PM,1572,173,14,0,"Di nuovo quel 57! %23piladellavergona %23libriletti %23lettura %23leggere "
11/7/2025, 12:02:22 PM,3332,417,93,28,"Grazie per l'attenzione! %23spesa %23supermercato %23commessa %23commessaesaurita %23comedyitalia "
11/6/2025, 12:29:49 PM,3413,242,43,1,"D'altronde ognuno ha i suoi gusti! @Mondadori  %23recensionelibri %23libriconsigliati %23libridaleggere %23consigliolibri %23librithriller "
11/5/2025, 12:06:15 PM,3478,245,48,16,"Mi serve una tovaglia per non sporcare la tovaglia.. %23dondi %23haul %23natale %23comedyitalia  %23acquisti "
11/4/2025, 12:33:02 PM,4235,297,50,7,"Ho un futuro come ventriloquo! @Actionitalia  %23actionitalia %23haul %23comedyitalia %23spiritonatalizio %23ridere "
11/3/2025, 1:04:46 PM,3686,372,95,3,"Siate voi stessi! È un ottimo punto di partenza.. %23libri %23leggere %23lettura %23leggeresempre "
11/2/2025, 12:37:50 PM,7739,690,89,52,"Non invidiateci questa parola! %23dialetto %23ferrara %23dialetti %23emiliaromagna "
,
Mentions
@Mondadori,2
@Fazi,1
@Actionitalia,1
,
Hashtags
comedyitalia,5
dialetto,3
lettura,3
leggere,3
recensionelibri,2
libridaleggere,2
libriconsigliati,2
consigliolibri,2
haul,2
tradizione,2
ferrara,2
emiliaromagna,2
dondi,1
passionelibri,1
saggezza,1
supermercato,1
piladellavergona,1
commessa,1
emilia,1
romagna,1
librithriller,1
actionitalia,1
giftedby,1
libri,1
libriletti,1
spesa,1
natale,1
spiritonatalizio,1
ridere,1
nuovilibri,1
commessaesaurita,1
calendario,1
bookhaul,1
dialetti,1
acquisti,1
castagne,1
leggeresempre,1
dolci,1
