TikTok User Statistics
Username,diseaseofbooks_
Nickname,enrica🥀📖
Country,
Follower Count,8706
Heart Count,329800
Video Count,1012
Following Count,459
Likes Rate,7.16%
Comments Rate,0.12%
Shares Rate,0.39%
Total Engagement Rate,7.67%
Earnings Min,$6.56
Earnings Max,$10.31
Average Views,26987
Average Likes,1932
Average Comments,31
Average Shares,104
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/15/2025, 1:38:35 PM,17800,882,57,18,"Finalmente vi mostro la mia top 5 di questo 2024 ❤️ 5. “Storia della nostra scomparsa” 4. “La vetta degli dei” 3. “Il conte di Montecristo” 2. “Furore”  1. “La montagna Incantata” %23booktok %23fyp %23booktokitalia📚🧿 %23booktokitalia %23top5libri %23libridaleggere %23classici "
7/2/2024, 10:35:15 AM,289300,19000,183,1414,"emozioni troppo grandi per essere raccontate %23montagna %23fyp %23traveltiktok %23viaggi %23montain %23trentino %23trentinoaltoadige %23trentinomontagna %23dolomiti  "
3/24/2023, 7:31:05 PM,36600,3981,74,46,"c’è qualcosa che non quadra %23booktokitaliano %23libriaesthetic %23libribooktokitalia %23booktokitalia %23libri %23romanzibooktok %23fypシ %23libritikok %23foryoupage "
11/9/2025, 6:01:56 PM,909,120,7,0,"Che nessuno mai dica in mia presenza che tutti i classici sono noiosi 👹 %23consigliolibri %23libri %23booktok %23booktokitalia %23classici "
11/5/2025, 4:50:37 PM,2694,178,3,2,"rachele sorprendentemente felice di fare questo video %23consigliolibri %23libri %23booktok %23booktokitalia "
11/2/2025, 2:02:26 PM,1757,210,4,7,"Wrap Up del mese di Settembre ed Ottobre 🍂 titoli citati: • “L’età dell’innocenza” di Edith Wharton • “Arabia Felix” di Hansen (@Iperborea Casa Editrice ) • “Isotta” di Irina Odoevceva (@Adelphi Edizioni @Andrea Zanni ) • “Annalena Bilsini” di Grazia Deledda (Utopia Editore ) %23consigliolibri %23libri %23booktok %23booktokitalia %23wrapupbooks "
10/27/2025, 12:00:53 PM,7179,461,28,6,"Questi sono solo alcuni dei titoli che campeggiano nella mia tbr infinita, in qualche modo cercherò di rispettare questa mini lista di libri da leggere prima della fine dell’anno (come sempre però la speranza è quella di leggere molto di più 🤍)  %23consigliolibri %23tbrlist %23libri %23libridaleggere %23libriclassici "
10/19/2025, 9:28:44 PM,2870,212,2,6,"Oggi parliamo di alcune uscite che mi sono arrivate recentemente da alcune case editrici!  La maggior parte di questi libri portano con sé un piccolo pezzo di storia 🤍 Ringrazio ancora moltissimo tutte le case editrici! 🤍 - “Annalena Bilsini” di Grazie Deledda (Utopia editore ) - “L’auriga” di M. Renault (@mela pi @Mondadori ) - “Isotta” di I. Odoevceva (@Adelphi Edizioni @Andrea Zanni ) - “Stella randagia” di P. Ventre (@NN Editore ) %23consigliolibri %23libri %23libridaleggere %23lettura %23libriclassici  "
10/15/2025, 6:27:32 PM,1686,229,0,2,"settimana di una studentessa di fisica che nel weekend trova un po’ di respiro  %23libri %23consigliolibri %23libridaleggere %23booktokitalia📚🧿 %23libridelbooktok "
10/12/2025, 6:09:00 PM,25900,2319,90,34,"Questo video è un segno ✨   %23libri %23classici %23consigliolibri %23libridaleggere %23booktokitalia📚🧿 "
10/9/2025, 12:09:05 PM,2127,204,11,3,"tralasciate la mia voce da raffreddore, c’è qualcuno davvero sano in sto periodo?  %23libri %23bookhaul %23classici %23consigliolibri %23libridaleggere "
10/5/2025, 6:07:18 PM,8820,527,3,15,"libri con un finale indimenticabile❤️‍🩹 %23libri %23classici %23booktokitalia📚🧿 %23consigliolibri %23libridaleggere "
9/30/2025, 3:47:04 PM,3128,359,8,6,"Oggi si torna a parlare di letture autunnali 🍁🍂🎧 %23lettureautunnali %23libridaleggere %23classici %23classificalibri %23booktokitalia📚🧿 "
9/20/2025, 12:06:06 PM,2688,242,9,1,"classifichiamo i 12 libri letti durante l’estate 🥹 CE: @Giulio Einaudi editore @L'orma editore, Utopia Editore, La nuova Frontiera  %23libridaleggere %23classici %23classificalibri %23libriconsigliati %23BookTok  "
9/10/2025, 1:07:50 PM,1355,62,0,2,"innamorata di quest’autrice  %23libridaleggere %23classici %23booktokitalia📚🧿 %23libriconsigliati %23letture "
,
Mentions
@Andrea,2
@Adelphi,2
@Iperborea,1
@mela,1
@Giulio,1
@L,1
@Mondadori,1
@NN,1
,
Hashtags
booktokitalia,11
libridaleggere,10
libri,10
consigliolibri,9
classici,8
booktok,4
libriconsigliati,2
classificalibri,2
libriclassici,2
fyp,2
libritikok,1
BookTok,1
libribooktokitalia,1
romanzibooktok,1
viaggi,1
booktokitaliano,1
dolomiti,1
lettura,1
libridelbooktok,1
libriaesthetic,1
tbrlist,1
lettureautunnali,1
montagna,1
bookhaul,1
wrapupbooks,1
montain,1
trentino,1
trentinoaltoadige,1
traveltiktok,1
letture,1
trentinomontagna,1
foryoupage,1
top5libri,1
fypシ,1
