TikTok User Statistics
Username,domizianamontello
Nickname,Domiziana Montello
Country,
Follower Count,1434
Heart Count,86700
Video Count,109
Following Count,763
Likes Rate,8.69%
Comments Rate,0.33%
Shares Rate,0.08%
Total Engagement Rate,9.1%
Earnings Min,$1.1
Earnings Max,$1.72
Average Views,1108
Average Likes,96
Average Comments,3
Average Shares,0
,
Videos
Date,Plays,Likes,Comments,Shares,Description
7/20/2025, 5:16:34 PM,2328,143,13,1,"Se anche tu ami i libri, gli animali, la cucina vegetale e cerchi sempre nuove ispirazioni per le tue letture just say hi!💕 %23fy %23fyp %23girlssupportgirls %23girls %23girlswholift %23writingcommunity %23writingtok %23booktok %23bookish %23bookclub %23booktoker %23booktokitalia %23booktokfyp "
10/22/2025, 1:59:32 PM,3624,375,10,6,"Turning 30 under the Empire State Building ✨  %23newyork %23newyorkcity %23birthdaygirl "
9/24/2025, 10:23:57 PM,495,43,0,0,"22 settembre 2025, Milano "
9/19/2025, 11:09:43 AM,2047,225,5,0,"Cose nascoste nella mia libreria che non sono libri✨ %23fyp %23booktok %23booktokitalia %23girlsbelike %23girlssupportgirls "
9/19/2025, 10:23:12 AM,750,87,6,0,"%23fyp %23booktok %23booktokitalia  %23joandidion %23fy "
9/12/2025, 9:13:22 PM,449,41,0,0,"Leggere in spiaggia è una delle cose che mi rende felice 🌊📚 %23fyp %23booktok %23booktokitalia %23bookworm %23bookworm "
9/10/2025, 10:40:11 PM,465,25,0,0,"È la prima biblioteca sotterranea di Varsavia %23booktokitalia %23booktok %23fyp %23fy  %23bookworm "
9/9/2025, 7:52:29 AM,767,71,2,0,"Uno e mezzo dai 😬 La colonia di Annika Norlin super consigliato 📚 %23libriconsigliati %23libridaleggere %23booktokitalia %23booktoker %23fyp "
8/26/2025, 2:42:40 PM,554,25,4,1,"Ho fatto questo video perché di donare c’è bisogno e se ne parla troppo poco. Ma soprattutto perché è una cosa che volevo fare da tanto ma avevo paura. Spero che chi come me ha pensato di donare ma è bloccato dalla paura dell’ago così si senta un po’ più incoraggiato a vincerla.  %23donazionesangue💪 %23donazionedisangue %23avis %23afds"
8/21/2025, 11:58:47 AM,790,53,0,0,"O la fortuna di avere nelle nostre vite qualcuno che non ci rispecchia. Un viaggio dentro le nostre identità personali e sociali tra Simone de Beauvoir, Elena Ferrante e Zygmunt Bauman. %23substack %23substackwriter %23fyp %23fy %23BookTok "
8/18/2025, 10:29:20 AM,655,46,5,2,"%23fyp %23fy %23BookTok %23booktokitalia %23libridaleggere "
8/8/2025, 6:40:23 PM,465,34,2,0,"Buon compleanno Pierluigi. Una poesia da Assetto di Volo %23poesia %23poesie %23poesietiktok %23fyp %23fy %23BookTok %23booktokitalia %23booktoker %23libridaleggere %23libriconsigliati "
8/7/2025, 10:09:47 PM,1017,84,1,1,"Se ti senti perso leggi questa poesia.  %23fy %23fyp %23poesia %23poesias %23BookTok %23booktokitalia %23booktoker %23booktokfyp %23libridaleggere %23libriconsigliati %23poesie %23poesietiktok "
,
Mentions
,
Hashtags
fyp,10
booktokitalia,9
fy,7
booktok,5
BookTok,4
booktoker,4
libridaleggere,4
libriconsigliati,3
bookworm,3
booktokfyp,2
poesietiktok,2
girlssupportgirls,2
poesia,2
poesie,2
bookish,1
newyork,1
substackwriter,1
birthdaygirl,1
joandidion,1
girlsbelike,1
bookclub,1
avis,1
afds,1
substack,1
donazionesangue,1
girls,1
girlswholift,1
poesias,1
newyorkcity,1
writingtok,1
writingcommunity,1
donazionedisangue,1
