TikTok User Statistics
Username,elenadny
Nickname,Elena Dny
Country,
Follower Count,9306
Heart Count,563400
Video Count,927
Following Count,332
Likes Rate,12.9%
Comments Rate,0.31%
Shares Rate,0.18%
Total Engagement Rate,13.39%
Earnings Min,$7.39
Earnings Max,$11.61
Average Views,23843
Average Likes,3076
Average Comments,72
Average Shares,42
,
Videos
Date,Plays,Likes,Comments,Shares,Description
9/23/2025, 12:08:33 PM,7321,302,42,13,"Ad una certa smatto e me la prendo con Stephen Markley per questo capolavoro. Potrei parlarne per ore, giuro. %23booktok %23ohio %23stephenmarkley %23booktokita %23recensione "
6/7/2022, 3:00:55 PM,305700,43400,923,477,"No raga, nei film non c’è questa scena. %23booktok %23booktokitalia %23booktokita %23book"
3/31/2025, 3:08:24 PM,32200,1219,60,107,"Penso che potrei parlarne per ore. @NuaEdizioni %23genesimostruose %23recensione %23rece %23book %23libri %23truecrime %23serialkiller "
11/13/2025, 11:28:39 AM,498,73,8,1,"Forte, tosta, indipendente? Allora è sicuramente presente in un romanzo/racconto di King. %23booktok %23books %23stephenking %23consigli "
11/12/2025, 10:33:26 PM,673,79,11,0,"King che mi salva sempre. 🖤 %23recensione %23libri %23stephenking %23rece %23books "
11/11/2025, 12:59:52 PM,1164,111,4,4,"3 storie d’amore non convenzionali. ❤️‍🩹 %23booktok %23consigli %23libridaleggere %23books %23libri "
11/8/2025, 9:33:49 AM,1020,116,5,5,"In ritardo come sempre. ✨ %23booktok %23wrapup %23libri "
11/7/2025, 1:20:49 PM,444,29,0,0,"💓 %23recensione %23accento %23booktok %23books %23libro "
11/7/2025, 10:37:07 AM,693,81,6,3,"Qual è l’autore garanzia su cui vi fiondate per evitare il blocco? %23booktok %23books %23stephenking %23libri "
11/5/2025, 11:37:12 PM,649,56,2,0,"Capita. %23booktok %23ironia %23meme %23books %23libri"
11/5/2025, 6:46:29 PM,1180,112,2,3,"Si scherza, leggetevi quello che vi pare. %23booktok %23meme %23ironia %23libri "
11/4/2025, 12:02:04 PM,678,48,9,1,"%23meme %23book %23booktok %23ironia %23libri "
10/30/2025, 6:07:46 PM,809,109,4,9,"🛑✋🏻 %23meme %23booktok %23leggere %23leggeresempre %23relax "
10/20/2025, 7:55:33 PM,1235,90,4,1,"Questo saggio mi sta facendo volare. ✈️ %23booktok %23truecrime %23charlesmanson %23books %23saggio "
10/10/2025, 10:31:43 PM,3387,315,12,6,"🥰🫖🖤 %23booktok %23meme %23books %23libri %23truecrime  "
,
Mentions
@NuaEdizioni,1
,
Hashtags
booktok,13
libri,9
books,8
meme,5
recensione,4
ironia,3
truecrime,3
book,3
stephenking,3
consigli,2
rece,2
booktokita,2
saggio,1
wrapup,1
ohio,1
libridaleggere,1
booktokitalia,1
charlesmanson,1
relax,1
accento,1
stephenmarkley,1
serialkiller,1
leggeresempre,1
leggere,1
genesimostruose,1
libro,1
