TikTok User Statistics
Username,ema_in_neverland
Nickname,ema 🦊
Country,
Follower Count,36500
Heart Count,3400000
Video Count,1607
Following Count,128
Likes Rate,6.73%
Comments Rate,0.04%
Shares Rate,0.06%
Total Engagement Rate,6.83%
Earnings Min,$27.3
Earnings Max,$42.89
Average Views,46071
Average Likes,3099
Average Comments,16
Average Shares,25
,
Videos
Date,Plays,Likes,Comments,Shares,Description
5/11/2023, 7:04:53 PM,271300,15900,75,53,"Le mie notti peggiori si sono trasformte in qualcosa di più nel mio libro ❤️‍🩹 %23Booktokitalia %23booktok %23bookish %23enemiestolovers %23writertok "
4/26/2023, 7:09:38 PM,331400,18400,45,59,"Quanto vorrei condividere con voi questa storia, ma magari un giorno… 🤞❤️‍🩹 %23booktok %23booktokitalia %23bookish %23enemiestolovers %23writertok "
4/5/2023, 7:08:01 PM,62900,9695,65,199,"Come sarebbe il Booktok se non potessimo più usare i termini inglesi? O meglio il: ✨ LIBROTOK ✨ %23booktok %23Booktokitalia %23Booklover %23bookish "
11/7/2025, 1:01:56 PM,1795,202,1,7,"Guida di lettura per i libri di Rebecca Kuang ❤️‍🩹 si capisce quanto la amo? %23booktok %23bookish %23booktokitalia %23katabasis %23rfkuang "
10/29/2025, 2:02:05 PM,765,99,2,7,"Folklore slavo, libri da leggere 🥀 le edizioni bellissime ovviamente di @Ilcastorolibri %23booktok %23bookish %23booktokitalia %23enemiestolovers %23booklover "
10/24/2025, 12:53:49 PM,1279,235,1,0,"Vecchio reposting 🫶 %23booktok %23bookish %23booktokitalia %23enemiestolovers %23booklover "
10/22/2025, 1:29:39 PM,947,118,2,1,"Io sempre Ofelia 🪞%23booktok %23bookish %23booktokitalia %23thelifeofashowgirl %23ophelia "
10/14/2025, 1:53:22 PM,2501,225,18,13,"Il romance distopico è la fine della critica letteraria 👀 %23booktok %23bookish %23alchemised %23booktokitalia %23hungergames  "
10/9/2025, 2:15:10 PM,7759,463,35,40,"Parliamo di “Alchemised” e del perché (per me) è problematico (@Carlo Vicenzi ne ha parlato molto più esaustivamente di me🙌) %23booktok %23bookish %23alchemised %23booktokitalia "
10/7/2025, 12:48:49 PM,735,117,0,0,"La spooky season è iniziata YEEAH 👻 %23booktok %23bookish %23spookyseason %23vampire %23enemiestolovers %23bookrec "
9/17/2025, 12:02:10 PM,1393,175,3,0,"Libri a cui avrei voluto dare 5 ⭐️ (@Viviana Autieri🦊 l’ho visto dalla mia donna 🧡) %23booktok %23bookish %23enemiestolovers %23booktokitalia "
9/16/2025, 12:02:31 PM,2772,217,1,2,"Sta per caso tornando la season dei vampiri ??? ❤️‍🔥 %23booktok %23bookish %23spookyseason %23enemiestolovers %23vampires "
9/15/2025, 2:08:12 PM,2034,219,2,1,"Lettura di settembre scelta dal %23Libropoli ❤️‍🔥%23booktok %23bookish %23booktokitalia %23enemiestolovers "
9/5/2025, 11:19:19 AM,1990,161,1,0,"Sta tornando quel periodo dell’anno 🤎🪶📚 %23booktok %23bookish %23fantasybooktok %23booklover %23darkacademiaaesthetic %23darkacademiabooks %23spookyseason %23booktokitalia "
9/4/2025, 12:11:03 PM,1507,272,2,2,"Hoa Hoa season è vicina e le %23versevixens saranno al festival letteratura di Mantova per parlare di vampiri alla @Mondadori Mantova 📚 🧡🦊 %23booktok %23bookish %23fantasybooktok %23booklover %23enemiestolovers %23twilight "
,
Mentions
@Carlo,1
@Viviana,1
@Ilcastorolibri,1
@Mondadori,1
,
Hashtags
bookish,15
booktok,15
booktokitalia,10
enemiestolovers,9
booklover,4
spookyseason,3
writertok,2
fantasybooktok,2
Booktokitalia,2
alchemised,2
darkacademiabooks,1
katabasis,1
Libropoli,1
vampire,1
ophelia,1
vampires,1
bookrec,1
rfkuang,1
versevixens,1
twilight,1
thelifeofashowgirl,1
Booklover,1
hungergames,1
darkacademiaaesthetic,1
