TikTok User Statistics
Username,enrico.tirotta
Nickname,Enrico Tirotta 📚
Country,
Follower Count,3299
Heart Count,17600
Video Count,64
Following Count,541
Likes Rate,13.2%
Comments Rate,3.69%
Shares Rate,0.16%
Total Engagement Rate,17.05%
Earnings Min,$2.7
Earnings Max,$4.25
Average Views,3254
Average Likes,429
Average Comments,120
Average Shares,5
,
Videos
Date,Plays,Likes,Comments,Shares,Description
2/19/2025, 9:47:02 PM,29400,5548,1653,59,"I support this awesome trend: Eurotok community  %23eurotok %23eutok %23booktoker %23books %23europe %23worldtok "
12/9/2024, 3:04:48 PM,5669,106,45,0,"Le letture peggiori del 2024 😬 Non me ne voglia chi li ha amati questi %23libri ma a me non sono andati proprio giu per qualche ragione 😐 %23booktokitalia %23bookworm %23librisconsigliati %23Letteratura "
12/8/2024, 12:22:01 PM,4832,157,14,0,"Le letture più gratificanti di questo 2024. Parte 2 %23libriconsigliati %23booktokitalia %23bookworm %23miglioriletture2024 %23libro %23Letteratura %23libridaleggere "
10/26/2025, 5:50:43 PM,703,54,3,0,"Acquisto libri %23bookhaul %23bompiani con sconti del 20% dell'anno 2025 - László Krasznahorkai - Satantango - Laszló Krasznahorkai - Avanti va il mondo - László Krasznahorkai - Melancolia della resistenza - Kurt Vonnegut - Mattatonio n 5 - Tocarczuck Olga - Empusium - John Steinbeck - Furore - John Steinbeck - La valle dell'eden %23bookworm %23libriconsigliati %23libridaleggere "
10/23/2025, 10:44:27 AM,369,15,0,0,"Vita di Samuel Johnson - Boswell - prima edizione italiana 1954 Big bang del genere biografico. Capolavoro indiscusso e insuperato ancora oggi. Virginia Woolf ne parla nei suoi saggi. In Italia non viene più stampato. Ogni anno vanno al macero montagne di carta e non stampano ciò che è necessario. 6000 lire, tre volumi con rilegatura in filo e copertina rigida,segnalibro in tessuto %23books %23libri %23booktokitalia %23bookworm %23letteratura"
10/22/2025, 6:53:37 PM,763,57,5,0,"Chiacchiere sugli ultimi libri letti - Cecita di %23Saramago - La Libreria di Fitzgerald  - Uomini e topi di %23Steinbeck - Macbeth di %23Shakespeare - Racconti di Virginia %23Woolf - Mickey 7 di Ashton - Dizionario del Bubliomane di Castronuovo - L'isola dei senza memoria di Yoko Ogawa %23bookworm "
9/30/2025, 10:09:11 PM,482,41,1,0,"Macbeth di Shakespeare ha oltre 400 anni ma rimane sempre incisivo e straordinario %23bookworm %23macbeth %23shakespearetiktok %23books %23booktokitalia "
9/28/2025, 2:10:41 PM,550,43,4,0,"Buona domenica 😊 Lettura di libri con profumo del mare %23eurotok , Trebisacce the town of my childhood. %23bookworm %23sea %23italy %23calabria "
9/27/2025, 2:12:31 PM,561,35,0,0,"Emily Dickinson e la sua ""lettera al mondo""  %23poesia %23poetrylover %23dickinson %23emilydickinson %23bookworm "
9/19/2025, 9:09:51 AM,666,53,13,0,"Mare, Virginia Woolf e Nadia Fusini con il suo splendido saggio/biografia pubblicato da Feltrinelli %23libridaleggere %23libriconsigliati %23bookworm %23virginiawoolf %23nadiafusini"
9/17/2025, 6:09:13 PM,507,50,18,1,"Recensione libro di Yoko Ogawa, l'isola dei Senza Memoria. Al pari di Marcel Proust e Annie Ernaux, la Ogawa mi ha fatto riflettere sul concerto di Memoria %23libridaleggere %23libriconsigliati %23bookworm %23letteraturagiapponese %23ilsaggiatore "
6/3/2025, 5:37:28 PM,863,56,7,1,"L'altra verità di Alda Merini. Un diario incantevole di una delle più grandi poetesse Italiane %23bookworm %23libridaleggere %23libriconsigliati %23aldamerini "
5/23/2025, 11:44:08 AM,712,57,6,6,"Riflessione editoria e recensione di Berenice, primo libro di Cristiano Montanari %23bookworm %23fantasy %23libridaleggere %23libriconsigliati %23libri %23booktokitalia @DarkZone @cristiano_montanari "
5/19/2025, 7:18:32 PM,2087,126,20,9,"Ho comprato libri; obiettivo biblioteca ormai prossimo 😅 decine di libri consigliati per i vostri acquisti o per incuriosire ogni bibliofilo - Calvino - Enchi Fumiko - Ginzburg - Morante - Undset - Santacroce - Di Gesù  - Montanari - Corsini %23bookworm %23libridaleggere %23libriconsigliati %23libri @De Tomi Editore @DarkZone @Il Saggiatore Casa Editrice @Mondadori @Safarà Editore @Dario DG "
5/13/2025, 7:39:09 PM,651,47,11,0,"Ordino la libreria in attesa del salone del libro di Torino 2025 📚♥️ %23salto25 %23book  %23booktook %23bookworm %23booktokitalia "
,
Mentions
@DarkZone,2
@Dario,1
@De,1
@Mondadori,1
@Il,1
@Safarà,1
@cristiano_montanari,1
,
Hashtags
bookworm,14
libridaleggere,7
libriconsigliati,7
booktokitalia,6
libri,4
books,3
Letteratura,2
eurotok,2
booktook,1
booktoker,1
Woolf,1
virginiawoolf,1
dickinson,1
italy,1
fantasy,1
macbeth,1
emilydickinson,1
nadiafusini,1
miglioriletture2024,1
sea,1
worldtok,1
Steinbeck,1
calabria,1
europe,1
book,1
aldamerini,1
eutok,1
salto25,1
bookhaul,1
Saramago,1
bompiani,1
poesia,1
letteraturagiapponese,1
librisconsigliati,1
poetrylover,1
Shakespeare,1
shakespearetiktok,1
ilsaggiatore,1
letteratura,1
libro,1
