TikTok User Statistics
Username,federica.sherwood
Nickname,federica.sherwood📚
Country,
Follower Count,5777
Heart Count,204300
Video Count,1283
Following Count,582
Likes Rate,8.43%
Comments Rate,0.27%
Shares Rate,0.22%
Total Engagement Rate,8.92%
Earnings Min,$4.4
Earnings Max,$6.92
Average Views,370
Average Likes,31
Average Comments,1
Average Shares,0
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/12/2025, 9:54:17 PM,279,13,0,0,"Libro più tosto dell’anno %23booktok @66thand2nd "
11/11/2025, 9:57:52 PM,374,30,2,0,"Talmente bello che gli ho dedicato un tatuaggio! %23booktok "
11/10/2025, 9:16:43 PM,490,45,1,4,"Classicone prefe! %23booktok "
11/9/2025, 9:47:40 PM,284,12,2,0,"Troooooooooooppo lungo ma giuro è un pensiero che mi porto dietro da un pò! %23booktok "
11/6/2025, 10:20:24 PM,310,28,1,1,"Inaspettatamente amato! @Giulio Einaudi editore %23accadeoggi "
11/5/2025, 9:13:15 PM,313,16,0,0,"Il mio impero romano! %23booktok "
11/3/2025, 9:29:24 PM,446,34,0,0,"Qui ci vuole un video più lungo! %23booktok "
11/2/2025, 11:12:45 PM,380,38,2,2,"Grazie amiche ce! %23booktok "
10/31/2025, 10:00:58 PM,394,31,1,1,"Ottimo modo per iniziare con un genere meraviglioso! %23booktok "
10/30/2025, 9:23:10 PM,295,29,0,0,"Libro prefe! %23booktok "
10/29/2025, 10:20:19 PM,449,49,2,2,"I libri sereni come piacciono a noi %23booktok "
10/28/2025, 10:20:23 PM,433,50,1,0,"Libri che vagano per la penisola! %23booktok "
,
Mentions
@Giulio,1
@66thand2nd,1
,
Hashtags
booktok,11
accadeoggi,1
