TikTok User Statistics
Username,fioremanni
Nickname,Fiore Manni
Country,
Follower Count,164600
Heart Count,6700000
Video Count,839
Following Count,112
Likes Rate,12.3%
Comments Rate,0.17%
Shares Rate,0.26%
Total Engagement Rate,12.73%
Earnings Min,$129.89
Earnings Max,$204.11
Average Views,442973
Average Likes,54468
Average Comments,771
Average Shares,1173
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/23/2024, 4:39:42 PM,1500000,128400,557,1204,"La diagnosi è stata uno shock. Ho impiegato diversi mesi prima di ritrovare il giusto equilibrio e la forza per parlarne.  Adesso, a distanza di quasi un anno dalla diagnosi, mi sento abbastanza serena da  vedere la diagnosi ricevuta in maniera positiva. Spesso vengo ancora sopraffatta dalla rabbia e dalla frustrazione, ma le cose piano piano si stanno aggiustando e tutto sta andando per il meglio. %23autismo %23autismawareness %23autismacceptance %23autismoftiktok %23autisme %23autisticcreator %23autismoadulto "
4/16/2023, 2:06:30 PM,2000000,236700,1919,10900,"Faccio coming out per  rispondere a tutte le vostre domande. Spero chr cosi possiate capire un po’ cosa mi è successo e cosa ho passato anni fa. Si tratta di un argomento che mi mette particolarmente a nudo e a cui tengo molto.  Spero che possiate ascoltare la mia storia ♥️ %23camillastore %23comingout %23fioremanni %23greenscreen "
6/16/2022, 12:34:41 PM,3000000,437600,8905,5000,"Story of my life %23camillastore"
11/11/2025, 6:37:46 PM,1041,141,9,4,"Hamlet Hargreaves, all’inizio e alla fine de %23laccademiadilyonesse ✨ Un grazie enorme a @samira.lt.illustrations e @Alice Berti per avermi aiutato con questa piccola animazione. Il ricordo perfetto di una settimana di luglio insieme 🧡 %23booktok %23fantasybook %23darkacademiabooks %23darkacademia "
11/8/2025, 5:27:00 PM,2010,224,2,2,"Focaccia Ricetta Ingredienti per due teglie:  Farina 00 400 g Farina Manitoba 250 g Acqua (temperatura ambiente) 335 g Sale fino 13 g Zucchero di canna 10g Lievito di birra fresco 18 g Olio Evo 30 g Procedimento: Unire la farina Manitoba e la farina 00 con una Marisa, formando un leggero buco al centro e versare poi quasi tuta l'acqua. Mescolare per far assorbire l'acqua poi uniamo zucchero di canna e sale.  Versiamo l'acqua rimasta, mescoliamo e aggiungiamo il lievito di birra sbriciolato. Trasferiamo l’impasto sul piano di lavoro e lavoriamolo a mano.  Quando l’impasto sarà omogeneo ed elastico versiamo l’olio e incorporiamolo. Copriamolo per qualche minuto per farlo riposare e poi dividiamolo in due pezzi da 500g. Diamo una forma rettangolare e facciamo tre pieghe poi lasciamo riposare il panetto per 30 minuti.  Ungiamo la teglia con l’olio, allarghiamo e schiacciamo il panetto e stendiamolo con il mattarello, mantenendo la forma rettangolare. Passiamo l’impasto in teglia e lasciamo riposare per 30 minuti. Spolverizziamo con della farina e schiacciamo con la punta delle dita l’impasto, riempiendo tutta la teglia, creando un piccolo bordo. Lasciamo riposare per 1 ora. Spolverizziamo la focaccia e con le dita facciamo i buchi. Versiamo poi 30g di olio sulla focaccia e 100g di salamoia (100 di acqua e 10g di sale mescolati insieme) riempiendo tutti i buchi. Lasciamo lievitare per 45 minuti senza coprire. Cuociamo poi la focaccia in un forno statico preriscaldato a 230° per 15 minuti. %23focaccia %23focacciabread %23focacciarecipe %23focacciaricetta %23ricettafacile "
11/7/2025, 12:48:44 PM,7330,1104,22,29,"Love you little sister ♥️ (Lo condivido qui perché lei non ha TikTok e non lo potrà mai veder)  %23sisterhood %23sisters %23sisterlove "
11/6/2025, 7:42:18 PM,9093,802,16,2,"Nuovo acchiappo su Vinted! %23vintedfinds %23vinted %23vintedhaul %23vintedtips %23outfit "
11/6/2025, 4:44:25 PM,8894,1041,42,78,"Felicissima del risultato finale 😭🧡✨ sono venute benissimo! %23booktok %23libriconsigliati %23janeausten %23book "
11/5/2025, 1:29:27 PM,1289,109,5,0,"Sono stati tre giorni di fuoco, ma di grande magia ✨ Grazie ancora ♥️🫶🏻"
11/4/2025, 8:29:56 PM,2088,295,11,1,"L’Accademia di Lyonesse è finalmente uscito in libreria 📚✨ %23fantasy %23booktok %23fantasybook %23librifantasy %23laccademiadilyonesse "
11/4/2025, 3:01:47 PM,2217,300,3,0,"%23ootdinspiration ✨🧡 %23outfit %23outfitideas %23outfitinspo %23parisianstyle "
11/3/2025, 6:51:01 PM,87600,7487,16,217,"Volevo pubblicarlo il 31 ma ero in firma a Lucca 🥲 %23strangerthings %23chrissywakeup %23eddiemunson %23strangerthingsfan %23strangerthingscosplay "
10/30/2025, 7:57:27 PM,4448,305,1,5,"Nuovo %23yesstylehaul ✨ Questa volta ho cercato nuovi prodotti per i capelli da provare! Vi ricordo il mio codice sconto: FIORE10 %23yesstyle %23yesstylereview %23unove %23medicube "
10/29/2025, 8:09:28 PM,11700,1725,56,147,"🧡🫶🏻✨✨✨ %23booktok %23fantasy %23fantasybook %23fantasywriter "
10/29/2025, 2:29:34 PM,6889,793,9,10,"%23witchybooks 🐦‍⬛🔮✨ %23spookyseason %23libriconsigliati %23witchcraft %23witchesoftiktok "
,
Mentions
@Alice,1
@samira,1
,
Hashtags
booktok,4
fantasybook,3
fantasy,2
libriconsigliati,2
laccademiadilyonesse,2
outfit,2
camillastore,2
witchesoftiktok,1
strangerthingscosplay,1
ootdinspiration,1
focacciarecipe,1
autismo,1
darkacademiabooks,1
comingout,1
fantasywriter,1
sisters,1
parisianstyle,1
strangerthingsfan,1
autismacceptance,1
vintedfinds,1
autismawareness,1
autismoadulto,1
witchybooks,1
darkacademia,1
greenscreen,1
spookyseason,1
eddiemunson,1
fioremanni,1
vintedtips,1
outfitinspo,1
book,1
focaccia,1
yesstylereview,1
vinted,1
sisterhood,1
janeausten,1
medicube,1
ricettafacile,1
witchcraft,1
sisterlove,1
vintedhaul,1
strangerthings,1
librifantasy,1
autismoftiktok,1
focacciaricetta,1
autisme,1
focacciabread,1
unove,1
yesstylehaul,1
chrissywakeup,1
outfitideas,1
autisticcreator,1
yesstyle,1
