TikTok User Statistics
Username,francescasabaini
Nickname,francesca’s booktok 📚
Country,
Follower Count,6802
Heart Count,156100
Video Count,654
Following Count,289
Likes Rate,11.13%
Comments Rate,0.16%
Shares Rate,0.23%
Total Engagement Rate,11.52%
Earnings Min,$5.31
Earnings Max,$8.34
Average Views,10115
Average Likes,1125
Average Comments,15
Average Shares,23
,
Videos
Date,Plays,Likes,Comments,Shares,Description
4/25/2025, 12:23:13 PM,49300,7536,51,121,"la Liberazione qui si festeggia con poca sobrietà ❤️ %2325aprile %23festadellaliberazione %23fischiailvento %23partigiani %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23bookrecommendations %23consigliolibri "
7/5/2024, 2:21:01 PM,33500,2213,55,27,"Risposta a @☾ ☾ ☾ ☾  ecco la mia top 10 🥰 %23booktokita %23booktokitalia %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23top10books %23favoritebooks %23libripreferiti %23bookrecommendations %23consigliolibri "
12/26/2022, 12:59:55 PM,38100,4707,52,158,"si. %23booktokitalia📚🧿 %23bookworm %23booktok %23bookrecommendation %23tbrlist %23foryoupage %23foryou %23neiperte %23bookreviews %23bookhauls %23booktoker %23booktokitalia "
9/9/2025, 2:34:54 PM,2991,302,13,5,"CE: ❤️ @L'orma editore @Adelphi Edizioni @minimumfax @BAO Publishing @Neri Pozza editore @Giulio Einaudi editore  %23booktokitalia %23wrapupbooks %23bookworms %23consigliolibri %23bookrecommendations "
8/31/2025, 4:31:21 PM,2269,231,5,5,"finalmente riesco a farvi vedere questi bei librini nuovi 💕 grazie @Adelphi Edizioni @Andrea Zanni @Mercurio @Nicole :)  %23booktokitalia %23neiperte %23libridaleggere %23bookhaul %23leggeresempre "
8/22/2025, 3:00:12 PM,1400,100,8,1,"finalmente riesco a parlarvi di questo libro 🤍 grazie @Adelphi Edizioni @Andrea Zanni per il regalo :) %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23collab %23bookrecommendations %23bookreviewer %23consigliolibri %23adelphiedizioni %23recensionelibri %23bookreview %23goodbyehotel %23michaelbible "
8/3/2025, 2:22:35 PM,1201,103,2,0,"mi è finalmente tornata la voglia di leggere 🎉 @Mondadori %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23tbr %23tbrjar %23tbrlist %23collab %23tbrpick %23mondadori %23ursulakleguin "
8/1/2025, 5:21:52 PM,2224,237,18,4,"sono ancora viva (più o meno) 🥲 cosa avete letto voi di bello? @Sellerio editore @Adelphi Edizioni 💜 %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23bookrecommendations %23bookreviewer %23consigliolibri %23adelphiedizioni %23wrapup %23wrapupbooks %23wrapuplibri %23julywrapup %23junewrapup "
7/2/2025, 1:40:33 PM,1584,109,3,2,"un libro interessantissimo (e con una copertina che trovo davvero splendida, come sempre) da parte de @L'orma editore 🤍 %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23bookrecommendations %23bookreviewer %23bookunboxing %23bookhaul %23gifted "
6/29/2025, 9:53:13 AM,8291,596,4,10,"la promo che aspetto tutto l’anno 🤍 @Adelphi Edizioni %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23bookrecommendations %23bookreviewer %23consigliolibri %23adelphiedizioni %23adelphi %23consiglioadelphi %23promoadelphi "
6/21/2025, 10:38:41 AM,3043,165,8,13,"grazie a @laragazzafagiolo | BOOKTOK 📚 per il tag ❤️ non so chi l’abbia fatto e chi no, però taggo @VersoItaca @angelica | booktok @Logos&Books🎧📚 @Chiari booktok♡ 📖🌈🪷 @Concetta Piro 🎬📚  %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23bookrecommendations %23bookreviewer %23consigliolibri %23booktag %23pridemonth "
6/17/2025, 3:32:12 PM,2938,159,10,0,"finalmente sono riuscita a portarvi questa recensione ❤️‍🩹 %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23bookrecommendations %23bookreviewer %23bookreview %23recensionelibri %23nonlasciarmi %23kazuoishiguro %23neverletmego "
6/13/2025, 10:34:26 AM,1284,77,2,1,"grazie davvero @L'orma editore per questo regalo splendido 💓 %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23bookrecommendations %23giftedby %23bookhaul %23bookunboxing "
6/10/2025, 3:25:08 PM,2066,207,3,1,"eccoci qui con un breve aggiornamento 🤍 %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23aggiornamentodilettura %23readingupdate %23bookrecommendations %23giftedby %23bookreviewer %23tbrlist %23tbr "
6/6/2025, 2:29:45 PM,1538,147,5,2,"ce l’ho fatta finalmente 🥵 CE: @minimumfax @Voland_Edizioni @66thand2nd %23booktok %23booktokitalia %23booktokita %23perte %23neiperte %23libridaleggere %23leggeresempre %23bookworms %23booknerd %23bookhaul %23megabookhaul %23bookrecommendations %23salto2025 %23SalTo %23salonedellibro %23bookhaulsalto "
,
Mentions
@Adelphi,5
@L,3
@minimumfax,2
@Andrea,2
@Concetta,1
@Chiari,1
@laragazzafagiolo,1
@angelica,1
@Mondadori,1
@Sellerio,1
@VersoItaca,1
@Logos,1
@Giulio,1
@Voland_Edizioni,1
@66thand2nd,1
@Nicole,1
@Mercurio,1
@BAO,1
@Neri,1
,
Hashtags
booktokitalia,16
neiperte,14
bookworms,13
libridaleggere,13
leggeresempre,13
bookrecommendations,12
perte,12
booktokita,12
booktok,12
booknerd,11
consigliolibri,7
bookreviewer,7
bookhaul,4
adelphiedizioni,3
tbrlist,3
recensionelibri,2
giftedby,2
tbr,2
bookunboxing,2
wrapupbooks,2
collab,2
bookreview,2
salonedellibro,1
SalTo,1
booktoker,1
bookreviews,1
wrapup,1
fischiailvento,1
goodbyehotel,1
bookhauls,1
michaelbible,1
adelphi,1
megabookhaul,1
consiglioadelphi,1
nonlasciarmi,1
mondadori,1
gifted,1
libripreferiti,1
ursulakleguin,1
salto2025,1
tbrjar,1
tbrpick,1
julywrapup,1
aggiornamentodilettura,1
partigiani,1
bookworm,1
kazuoishiguro,1
top10books,1
festadellaliberazione,1
neverletmego,1
pridemonth,1
junewrapup,1
wrapuplibri,1
foryoupage,1
readingupdate,1
bookrecommendation,1
foryou,1
bookhaulsalto,1
favoritebooks,1
promoadelphi,1
25aprile,1
booktag,1
