TikTok User Statistics
Username,francescopiscitelli____
Nickname,Francesco Piscitelli
Country,
Follower Count,23400
Heart Count,1300000
Video Count,163
Following Count,125
Likes Rate,4.05%
Comments Rate,0.03%
Shares Rate,0.22%
Total Engagement Rate,4.3%
Earnings Min,$17.08
Earnings Max,$26.85
Average Views,55064
Average Likes,2229
Average Comments,15
Average Shares,122
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/12/2025, 10:27:56 AM,4116,326,5,11,"Ecco la mia TBR di ottobre🍂 %23libri %23libridaleggere %23libriconsigliati %23tbr %23booktokita "
9/23/2025, 4:54:09 PM,186900,1170,1,26,"Platone e l’eros, ecco perché “Platone” di Matteo Nucci è una storia d’amore @FeltrinelliTok  %23platone %23filosofia %23libri %23adv "
9/14/2025, 11:11:00 AM,24300,1661,37,44,"Ecco tre libri che alterano la chimica del tuo cervello, li avete mai letti? 📚 -Trilogia della città di K -Il Maestro e Margherita -La paziente silenziosa %23libri %23libridaleggere %23libriconsigliati %23tbr "
8/4/2025, 5:01:47 PM,221600,874,9,17,"“Effe” è pronto a risolvere tutti i vostri dubbi 📚 %23booktok %23booktokita %23tbr %23tbrestiva %23lettureestive  %23adv @feltrinellitok"
7/31/2025, 4:24:32 PM,18100,1251,15,45,"Ecco tre romanzi che esplorano la mente umana e le sue fragilità 📚 -La paziente silenziosa, Alex Michaelides -Follia, Patrick McGrath -Lo sbilico, Alcode Pierantozzi %23libri %23libridaleggere %23libriconsigliati %23booktokita "
7/16/2025, 11:14:22 AM,39700,5330,13,286,"Scommetto che è andata così"
7/15/2025, 2:17:01 PM,40700,5275,24,166,"E se invece di amare qualcuno lo avessimo semplicemente idealizzato?  %23libri %23libridaleggere %23libriconsigliati %23classici "
7/11/2025, 3:17:40 PM,19400,2026,18,57,"Immagina di svegliarti un giorno e di accorgerti che mancano 14 giorni per avere la stessa età che tuo padre aveva quando è morto. Un libro che scava dentro. Questo è “Gli stupidi e i furfanti” di Salvatore Toscano📚 %23libri %23libridaleggere %23libriconsigliati "
7/9/2025, 1:13:20 PM,6055,603,4,14,"Ma perché la casa esitrice Einaudi ha come logo uno struzzo? %23libri %23libridaleggere %23editoria %23einaudi "
7/5/2025, 2:38:49 PM,16900,1208,12,55,"Ne approfitterete? Nel caso, quali libri prenderete? %23libri %23libridaleggere %23libriconsigliati %23einaudi "
7/4/2025, 5:01:15 PM,16700,1758,25,25,"In che senso leggere ci salva e ci condanna allo stesso tempo? %23libri %23libridaleggere %23libriconsigliati %23einaudi "
6/23/2025, 4:34:13 PM,66300,5271,26,726,"È ufficiale, sta arrivando l’estate! Cosa ne pensate? Vi piacciono?📚 %23libri %23libridaleggere %23libriconsigliati %23adelphi "
,
Mentions
@FeltrinelliTok,1
@feltrinellitok,1
,
Hashtags
libri,10
libridaleggere,9
libriconsigliati,8
tbr,3
booktokita,3
einaudi,3
adv,2
classici,1
platone,1
editoria,1
adelphi,1
filosofia,1
lettureestive,1
tbrestiva,1
booktok,1
