TikTok User Statistics
Username,fridalovesreading
Nickname,Frida 📚
Country,
Follower Count,3117
Heart Count,62200
Video Count,469
Following Count,363
Likes Rate,6.76%
Comments Rate,0.24%
Shares Rate,0.62%
Total Engagement Rate,7.62%
Earnings Min,$2.35
Earnings Max,$3.69
Average Views,10861
Average Likes,734
Average Comments,26
Average Shares,66
,
Videos
Date,Plays,Likes,Comments,Shares,Description
8/21/2025, 4:49:19 PM,103200,6568,147,862,"Comunque poi mi ha chiesto: “Ma  Caterina come sta?”🥲 %23booktokitalia %23booktok %23annakarenina %23tolstoy %23leggere "
3/23/2025, 10:09:10 AM,35100,2558,59,100,"Per il format domenicale “Parole perdute”, la parola di oggi è: LEPIDO! Voi la conoscevate?✨ %23booktok %23booktokitalia %23parole %23paroleperdute %23disney %23robinhood %23paroledimenticate %23italianwords "
6/24/2024, 9:19:15 PM,14100,794,21,31,"Per la rubrica “A voce alta”, l’incipit di “Beduina” di Alicia Erian. Dato che ci saranno a breve gli sconti Adelphi, potrebbe essere un’occasione per recuperarlo ❤️‍🩹 %23beduina %23adelphi %23avocealta %23incipit %23booktokitalia %23libri %23perte %23leggerelibri %23consiglidilettura "
11/3/2025, 7:59:07 PM,560,61,8,1,"Poche letture, ma belle💓📚 %23booktokitalia %23wrapupbooks %23libridaleggere %23libriconsigliati %23libridisturbanti "
10/21/2025, 7:01:38 PM,1058,123,23,0,"Non so come uscirò dalla lettura di questi due libri, ve lo dico già! Però ve li consiglio❤️‍🩹 %23booktokitalia %23libridaleggere %23patriarcato %23libriconsigliati %23manipolazioneaffettiva "
10/19/2025, 12:03:40 PM,729,65,7,0,"Per il format domenicale “Parole perdute”, la parola di oggi è: MARAMALDO! Voi? La conoscevate?✨ %23booktokitalia %23italianwords %23paroleperdute %23parole %23disney "
10/18/2025, 6:26:17 PM,857,86,17,1,"Parliamo di %23amygdalatropolis prima che perda ancora il sonno. Voi lo avete letto?🫠 %23booktokitalia %23leggere %23libridisturbanti %23libridaleggere "
10/17/2025, 6:44:47 PM,2669,207,33,4,"Risposta a @Monia📚  Un po’ in ritardo, ma spero sempre in tempo💓 Un paio di consigli per gli sconti de IlSaggiatore, con bookhaul annesso✨ %23bookhaul %23booktok %23saggiatore %23libridaleggere %23libriconsigliati "
10/7/2025, 6:50:18 PM,454,65,22,1,"E perché ne sto già comprando un altro? %23booknook %23booktok %23libreria %23sakura %23leggere "
10/5/2025, 10:43:42 AM,773,91,8,1,"Per il format domenicale “Parole perdute”, la parola di oggi è: CULAIO. Voi? La conoscevate?✨ %23italianwords %23paroleperdute %23parole %23shrek %23booktok "
10/4/2025, 10:18:23 AM,554,77,7,0,"La potenza disarmante dell’Ernaux. %23leggere %23booktok %23libridaleggere %23dca %23libriconsigliati "
10/3/2025, 5:03:08 PM,448,33,8,0,"Ciao stipendio, ciao! 👋🏻 %23leggere %23booktok %23libridaleggere %23saggiatore %23bookworm "
9/25/2025, 5:55:49 PM,691,84,14,1,"Non serve descrizione ✨ “Foxfire” di J. C. Oates edito da @Il Saggiatore Casa Editrice mi farà volare🧚‍♀️ %23booktok %23libridaleggere %23patriarcato %23leggere %23oates "
9/17/2025, 6:55:39 PM,1111,122,11,1,"Risposta a @gyro zeppeli  5 libri (con sfumature thriller) per uscire dal blocco del lettore (o per avvicinarsi alla lettura)✨📚 %23booktok %23libriconsigliati %23libridaleggere %23bookwarm %23booktokitalia "
9/14/2025, 12:21:31 PM,622,84,7,1,"Per il format domenicale “Parole perdute”, la parola di oggi è: LONGANIME. Voi? La conoscevate?✨ %23booktok %23paroleperdute %23italianwords %23parole %23paroleindisuso "
,
Mentions
@Monia,1
@Il,1
@gyro,1
,
Hashtags
booktok,10
libridaleggere,8
booktokitalia,8
leggere,6
libriconsigliati,5
italianwords,4
paroleperdute,4
parole,4
saggiatore,2
patriarcato,2
libridisturbanti,2
disney,2
robinhood,1
paroledimenticate,1
tolstoy,1
avocealta,1
shrek,1
booknook,1
adelphi,1
oates,1
leggerelibri,1
perte,1
libri,1
beduina,1
libreria,1
paroleindisuso,1
dca,1
sakura,1
manipolazioneaffettiva,1
bookworm,1
bookhaul,1
incipit,1
wrapupbooks,1
bookwarm,1
consiglidilettura,1
amygdalatropolis,1
annakarenina,1
