TikTok User Statistics
Username,gaialapasini
Nickname,gaialapasini
Country,
Follower Count,21900
Heart Count,553100
Video Count,498
Following Count,373
Likes Rate,7.2%
Comments Rate,0.04%
Shares Rate,0.62%
Total Engagement Rate,7.86%
Earnings Min,$16.53
Earnings Max,$25.98
Average Views,66985
Average Likes,4826
Average Comments,26
Average Shares,415
,
Videos
Date,Plays,Likes,Comments,Shares,Description
8/5/2024, 5:13:58 PM,769600,53700,193,5461,"Pronta a trasformarmi in una detective 🕵🏻‍♀️ %23giochi %23enigma %23lamascelladicaino %23ilgiocodiandromeda %23librogame "
1/16/2024, 2:08:59 PM,46700,3039,25,22,"Il meglio del 2023 📚 %23booktok %23booktokitalia %23libridaleggere %23libripreferiti %23preferiti "
9/5/2023, 7:56:08 AM,44500,2404,34,32,"Sport praticato: sollevamento libri 📖 %23booktok %23booktokita %23mattoni %23booktokitalia %23lettoriditiktok %23bookworm "
11/13/2025, 2:05:32 PM,769,94,3,0,"Sbirciate con me negli scaffali della libreria di casa 📚"
11/12/2025, 11:10:39 AM,8480,446,13,31,"Questi libri sono bellissimi e nascondo anche una sorpresa: ogni pagina è adesiva. In questo modo ci si può sbizzarrire con la creatività e utilizzare ogni sticker per decorare quaderni, diari o anche oggetti presenti in casa 🎨 Un regalo perfetto per chi ama dipingere, decorare, fare journaling e ha un’anima creativa 👩🏻‍🎨"
11/5/2025, 9:42:38 AM,1922,185,3,8,"Costruiamo insieme un book book 🤍"
11/4/2025, 9:39:34 AM,2158,245,3,2,"Styling con i libri 👌🏻"
11/1/2025, 4:48:19 PM,6325,637,6,1,"I libri saranno per sempre il mio porto sicuro"
10/31/2025, 9:30:53 AM,1960,147,0,0,"Se ti piacciono queste immagini dovresti leggere questi libri 📖"
10/30/2025, 5:03:19 PM,4029,265,5,7,""
10/29/2025, 7:22:47 AM,49300,4597,33,536,"Come fare il giusto styling al Barbour"
10/28/2025, 11:26:56 AM,45400,5092,50,89,"Lasciatemi qui con i miei libri 📖"
10/26/2025, 4:56:22 PM,9374,633,11,5,"Collaborazioni che non ho accettato e non accetterò ❌ %23deinfluencing %23contentcreator "
10/26/2025, 8:16:27 AM,4649,251,4,4,"Ne avete mai fatto uno?  %23booknook %23domenica %23booktok %23attivita "
10/23/2025, 11:05:47 AM,9611,655,9,28,"Capisco @gianfranco che opta per gli Adelphi, qui l’ho voluta rendere più difficile "
,
Mentions
@gianfranco,1
,
Hashtags
booktok,3
booktokitalia,2
lamascelladicaino,1
mattoni,1
libridaleggere,1
lettoriditiktok,1
ilgiocodiandromeda,1
booknook,1
domenica,1
libripreferiti,1
enigma,1
librogame,1
bookworm,1
booktokita,1
deinfluencing,1
preferiti,1
attivita,1
contentcreator,1
giochi,1
