TikTok User Statistics
Username,gggbooks
Nickname,Gbooks
Country,
Follower Count,4119
Heart Count,61400
Video Count,34
Following Count,110
Likes Rate,10.02%
Comments Rate,0.11%
Shares Rate,0.42%
Total Engagement Rate,10.55%
Earnings Min,$3.19
Earnings Max,$5.01
Average Views,7765
Average Likes,778
Average Comments,8
Average Shares,32
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/12/2025, 3:49:57 PM,1431,185,1,1,"Aggiornamentz caotico :)  Grazie @Adelphi Edizioni  %23booktok %23libri %23consiglidilettura "
11/7/2025, 12:42:52 PM,4612,490,15,13,"%23booktok %23libri %23consiglidilettura "
11/2/2025, 12:59:33 PM,4863,506,6,2,"Wrappino %23booktok %23libri %23consiglidilettura %23wrapup "
10/27/2025, 1:04:12 PM,45700,5010,27,328,"Secondo me molto interessante, soprattutto meno banale di quello che sembra dalle mie parole GIURO🥲  %23libri %23booktok %23consiglidilettura %23avereoessere "
10/24/2025, 12:05:24 PM,5333,545,7,11,"Bookhaul Lol.  Il mio portafoglio ringrazia @Adelphi Edizioni e un amico stupendo che mi regala libri :)  %23libri %23booktok %23bookhaul "
10/22/2025, 11:20:37 AM,3400,330,2,2,"Aggiornamentz. Grandi libri <3  %23book %23booktok %23consiglidilettura %23aggiornamentodilettura "
10/21/2025, 11:11:02 AM,4017,255,4,4,"Questa è la nostra occasione per non spendere un rene! 🥲 @Il Saggiatore Casa Editrice   %23book %23booktok %23consiglidilettura %23ilsaggiatore "
10/20/2025, 12:33:39 PM,4403,288,14,6,"NELLA CARNE. Se avete problemi e adorate protagonisti difficili come me avevte il vostro nuovo romanzo :)  Grazie @Adelphi Edizioni  %23book %23booktok %23consiglidilettura %23nellacarne "
10/17/2025, 11:34:51 AM,6848,665,8,8,"LIBRI PER INIZIARE A LEGGERE ma siiiii🤠 %23book %23booktok %23consiglidilettura "
10/15/2025, 4:12:06 PM,4468,282,4,4,"%23book %23booktok %23consiglidilettura %2354321 "
10/14/2025, 12:53:25 PM,3351,331,6,7,"Risposta a @Irene 🌷   devastati, ma almeno abbiamo dei bei libri :)  %23book %23booktok %23consiglidilettura "
10/13/2025, 12:50:23 PM,4761,449,11,4,"%23book %23booktok %23consiglidilettura "
,
Mentions
@Adelphi,3
@Irene,1
@Il,1
,
Hashtags
booktok,12
consiglidilettura,11
book,7
libri,5
aggiornamentodilettura,1
bookhaul,1
wrapup,1
ilsaggiatore,1
avereoessere,1
54321,1
nellacarne,1
