TikTok User Statistics
Username,giorgia.mnf
Nickname,giorgia
Country,
Follower Count,84800
Heart Count,3800000
Video Count,869
Following Count,231
Likes Rate,7.24%
Comments Rate,0.13%
Shares Rate,0.92%
Total Engagement Rate,8.29%
Earnings Min,$64.28
Earnings Max,$101.01
Average Views,275303
Average Likes,19940
Average Comments,360
Average Shares,2541
,
Videos
Date,Plays,Likes,Comments,Shares,Description
5/28/2024, 7:28:22 PM,1100000,53900,859,1648,"Serie tv che vorrei rivivere per la prima volta 🥹🍿 %23movietok %23filmtok %23serietv %23tvshow "
10/1/2024, 6:25:39 PM,941600,110700,1581,21200,"È uscita anche la seconda parte ed è il video subito dopo di questo sul mio profilo 🍿 %23movietok %23filmtok %23film %23horror %23filmhorror "
8/21/2023, 7:10:36 PM,750100,46700,1160,2519,"Anche secondo Stephen King è uno degli horror migliori di questo secolo, quindi… 👻 %23booktokitalia %23booktok %23bookrecs %23bookworm %23bookclub "
11/12/2025, 7:10:23 PM,19100,1020,63,82,"Il film più spaventoso e folle che io abbia visto è Hereditary🤯 così, a naso, direi che Ari Aster ha una passione per le teste 🫠 voi l’avete visto? %23film %23filmtok %23cinematok %23cinema %23greenscreen "
11/11/2025, 5:42:32 PM,2223,258,1,3,"Oltre a leggere e guardare film ogni tanto vado a correre (se non lo faccio mi serve un tso) 🏃🏻‍♀️ %23running %23corsa %23allenamento %23training %23workout "
11/10/2025, 5:05:50 PM,44900,2627,58,106,"Serie tv stupende di cui non sento parlare abbastanza 🥹🍿 le avete viste?📺 %23serietv %23film %23davedere %23cinema %23greenscreen  "
11/7/2025, 5:57:12 PM,14900,1234,15,19,"Libri da leggere per sentirsi meglio in un momento caotico 🫣 l’ultimo non ve lo aspettereste mai da me, EPPURE 🤭 %23booktok %23booktokitalia %23libri %23bookrecs %23bookclub "
11/3/2025, 5:29:28 PM,106300,7810,232,705,"Film sconvolgenti e disturbanti che vorrei non aver mai visto e che sicuramente non guarderò mai più 🫣 a volte non servono gli horror per spaventarsi 🫣 %23film %23filmtok %23cinema %23cinematok %23greenscreen "
11/2/2025, 6:01:53 PM,21400,2200,37,9,"Non ho mai tenuto i capelli uguali per così tanto tempo, era arrivato il momento di cambiare 💇🏼‍♀️ Grazie a Magica Amy (📍Bologna) per la pazienza🫣 %23hair %23hairtok %23capelli %23parrucchiere "
10/31/2025, 10:39:38 PM,8832,897,10,29,"Trasformazione in Fleabag completata, questo Halloween niente paura solo amarezza 🙏🏼 %23fleabag %23serietv %23film %23filmtok %23cinema "
10/31/2025, 5:12:03 PM,21200,1282,66,106,"Sapete quali sono i film horror più belli di sempre? Rotten Tomatoes ha fatto uscire la classifica aggiornata e questi sono i primi 20🫣 cosa ne pensate? %23film %23filmtok %23cinema %23cinematok %23greenscreen "
10/30/2025, 6:35:26 PM,507300,37900,349,7298,"Film da guardare la notte di Halloween, adatti sia aə fifonə che a chi ha voglia di passare la notte in bianco 👻🎃 %23film %23filmtok %23cinema %23cinematok %23greenscreen "
10/28/2025, 5:30:28 PM,324000,11600,675,1196,"Il film più disturbante che io abbia mai visto è sicuramente A Serbian Film. Una pellicola che di artistico non ha nulla e che, se fosse per me, non dovrebbe nemmeno esistere 🫢%23film %23filmtok %23cinema %23cinematok %23greenscreen "
10/27/2025, 6:28:35 PM,202300,16700,187,2524,"I film horror che mi hanno fatto più paura🫣 quali sono quelli che hanno spaventato di più voi?🫢 %23greenscreen %23film %23filmtok %23cinema %23cinematok "
10/23/2025, 6:23:47 PM,65400,4273,119,675,"I film horror più spaventosi della storia… o forse no, voi cosa ne pensate?🍿 %23film %23filmtok %23cinema %23cinematok %23greenscreen "
,
Mentions
,
Hashtags
film,10
filmtok,10
cinema,9
greenscreen,8
cinematok,7
serietv,3
bookclub,2
bookrecs,2
booktokitalia,2
booktok,2
movietok,2
fleabag,1
horror,1
training,1
allenamento,1
filmhorror,1
parrucchiere,1
libri,1
hairtok,1
capelli,1
bookworm,1
hair,1
running,1
workout,1
tvshow,1
davedere,1
corsa,1
