TikTok User Statistics
Username,giuliaisreading
Nickname,giulia | books & movies 📚🎬
Country,
Follower Count,1300
Heart Count,71000
Video Count,241
Following Count,337
Likes Rate,9.76%
Comments Rate,0.16%
Shares Rate,0.19%
Total Engagement Rate,10.11%
Earnings Min,$1
Earnings Max,$1.57
Average Views,9239
Average Likes,901
Average Comments,15
Average Shares,17
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/22/2024, 2:32:51 PM,23000,1198,61,10,"Libri che mi vergognerei di leggere in pubblico 🫢 %23booktok %23booktokitalia %23booktokitalia📚🧿 %23libridaleggere %23libriconsigliati %23ticonsigliounlibro %23perte "
10/9/2024, 6:33:08 PM,48600,7346,47,158,"""Queste lettere non sono state scritte per venire in mano a noi che le leggiamo."" Una raccolta di lettere davvero straziante. Ci sono lettere d'addio a genitori, figli, mariti, mogli, amici, fratelli, sorelle. Contiene anche lettere scritte da tre donne (una di loro è costretta a dire addio a sua figlia). Molti giovani salutano la loro mamma e le chiedono di non soffrire per la loro morte. C'è anche una lettera commovente di Leone Ginzburg rivolta a Natalia Ginzburg. Un libro che consiglierei a tutti di avere nella propria libreria. Una raccolta piena di umanità e tenerezza, ma anche di strazio e disperazione. %23booktok %23booktokitalia %23booktokitalia📚🧿 %23lettere %23einaudi %23resistenzaitaliana "
11/28/2023, 9:42:56 AM,21200,2395,13,45,"3,50€ per una chiacchierata con Wes Anderson e la visione di cinque cortometraggi del regista 🫶🏻 %23cinemamodernissimo %23cinetecadibologna %23wesanderson %23asteroidcity %23thefrenchdispatch "
9/24/2025, 9:00:48 PM,3704,400,6,0,"%23booktok %23libri %23ricordi %23letteratura %23booktokitalia "
8/26/2025, 2:51:46 PM,564,69,10,2,"Grande lacuna che finalmente recupererò ✨ %23twinpeaks %23davidlynch %23laurapalmer "
8/19/2025, 8:16:54 PM,491,40,9,0,"Questa è la parte più confusionaria della mia libreria, ho anche delle mensole dedicate ai principali editori ma per ora volevo farvi vedere edizioni e libri meno scontati ✨ %23booktok %23bookshelftour %23booktokitalia %23booktokitaliano %23booktokitalia📚🧿 "
8/8/2025, 5:39:14 PM,1459,96,4,2,"Aggiungo che avevo voglia di leggere in inglese ✨ Voi li avete letti? %23booktok %23booktokitalia %23booktokitalia📚🧿 %23libridaleggere %23ticonsigliounlibro %23libri %23letteratura %23janeausten %23estate "
8/5/2025, 7:32:12 PM,920,38,23,0,"Che film consigliereste a chi ultimamente si sente poco ispirato? Se mi consigliate film che ho già visto potrei pure fare qualche rewatch per vedere se mi ritorna l'ispirazione ✨ %23letterboxd %23filmtok %23movietok %23movies %23films %23cinematok %23cinetok %23cinema %23cinematic "
8/4/2025, 9:40:13 AM,859,126,1,6,"%23cinemaallaperto %23sottolestelledelcinema %23piazzamaggiore %23bologna %23wesanderson %23movietok %23filmtok %23movies %23letterboxd %23isleofdogs %23films %23cinema "
7/2/2025, 8:25:08 PM,10400,334,3,4,"%23raiplay %23filmtok %23movietok %23cinematok %23cinema %23cinematic %23movies %23films %23streaming "
6/19/2025, 9:31:46 PM,892,44,1,0,"🥀🎬✨ %23letterboxd %23movietok %23filmtok %23cinematok %23cinetok %23movies %23reddesert %23monicavitti %23antonioni "
6/11/2025, 7:32:01 PM,1203,96,2,0,"Ho appena finito Atti Umani e non ho potuto non associarlo al film A Taxi Driver! %23letterboxd %23attiumani %23humanacts %23hankang %23ataxidriver %23movies %23movietok %23filmtok %23booktok %23libri %23letteratura %23booktokitalia %23cinematok %23cinetok %23booktokita "
5/26/2025, 6:47:55 PM,1844,81,12,0,"%23propagandaimnotfallingfor "
5/23/2025, 8:41:14 PM,21100,1115,23,35,"Ecco alcuni film che vale la pena recuperare su RaiPlay prima che vengano tolti ✨ %23letterboxd %23filmtok %23movietok %23films %23movies %23cinematok %23cinetok %23raiplay "
4/28/2025, 6:01:00 PM,2352,147,10,0,"Vi vengono in mente altri libri così? ✨ %23BookTok %23booktokitalia %23booktokitalia📚🧿 %23libridaleggere %23libriconsigliati %23libri %23letteratura %23dostoevsky %23kafka %23shakespeare %23perte "
,
Mentions
,
Hashtags
booktokitalia,12
movies,6
booktok,6
filmtok,6
movietok,6
cinematok,5
letterboxd,5
libri,4
cinetok,4
films,4
letteratura,4
libridaleggere,3
cinema,3
cinematic,2
libriconsigliati,2
wesanderson,2
raiplay,2
perte,2
ticonsigliounlibro,2
BookTok,1
reddesert,1
piazzamaggiore,1
bologna,1
booktokitaliano,1
estate,1
antonioni,1
cinemamodernissimo,1
twinpeaks,1
cinemaallaperto,1
dostoevsky,1
ricordi,1
hankang,1
kafka,1
humanacts,1
monicavitti,1
laurapalmer,1
janeausten,1
davidlynch,1
cinetecadibologna,1
bookshelftour,1
booktokita,1
thefrenchdispatch,1
sottolestelledelcinema,1
shakespeare,1
einaudi,1
isleofdogs,1
propagandaimnotfallingfor,1
resistenzaitaliana,1
lettere,1
asteroidcity,1
attiumani,1
ataxidriver,1
streaming,1
