TikTok User Statistics
Username,giulisbookshop_
Nickname,giulisbookshop
Country,
Follower Count,16400
Heart Count,421300
Video Count,242
Following Count,577
Likes Rate,11.6%
Comments Rate,0.08%
Shares Rate,0.18%
Total Engagement Rate,11.86%
Earnings Min,$12.84
Earnings Max,$20.18
Average Views,86810
Average Likes,10068
Average Comments,69
Average Shares,152
,
Videos
Date,Plays,Likes,Comments,Shares,Description
6/28/2022, 7:07:01 PM,744300,105800,727,1172,"e sono sicura di non essere l'unica, quindi fatevi avanti! 🤍 %23Booktok %23booktokitalia %23booktokita %23booktoker %23libro %23consiglidilettura %23criminalminds %23crimimologia %23truecrime %23perte"
11/9/2025, 12:43:14 PM,3831,338,3,7,"ma come, nessuno ti ha mai consigliato questi libri?vi consiglio tre libri che spettacolari, che non sono esattamente un toccasana per mente e cuore  %23adelphi %23libri %23libridaleggere %23lettura %23consiglidilettura "
10/26/2025, 12:45:55 PM,12200,714,8,21,"non ti preoccupare: ti consiglio tre libri con dei finali folli che devi assolutamente leggere! %23libri %23libridaleggere %23lettura %23consiglidilettura @Safarà Editore @Eris @nottetempo edizioni "
9/25/2025, 12:59:16 PM,17900,1472,7,30,"non ti preoccupare, oggi ti consiglio dei libri che salveranno le tue letture autunnali! %23libri %23libridaleggere %23lettura %23consiglidilettura "
8/14/2025, 12:28:51 PM,19200,1393,5,37,"dobbiamo rimediare immediatamente: vi consiglio dei libri che dovete assolutamente leggere, ottimi per iniziare o riprendere a leggere! il secondo è un intruso tra i poco conosciuti, ma non potevo lasciarlo fuori! %23libri %23libridaleggere %23lettura %23consiglidilettura "
8/4/2025, 12:54:32 PM,13000,858,15,12,"fermati lì, dove vai? ti consiglio dei libri che devi assolutamente leggere, e fidati: slogarsi il polso per queste letture ne vale la pena! %23libri %23libridaleggere %23lettura %23consiglidilettura "
7/31/2025, 12:44:53 PM,31100,2241,13,69,"non ho mica finito: oggi vi consiglio dei libri particolarissimi che dovete assolutamente leggere, tra sette e famiglie strambe! %23libri %23libridaleggere %23lettura %23consiglidilettura "
7/24/2025, 12:23:26 PM,12100,727,12,15,"vi consiglio dei libri che vi faranno riflettere, dei libri che vi faranno arrabbiare e, perché no, dei libri che potrebbero farvi piangere, di tristezza o frustrazione  %23libri %23libridaleggere %23lettura %23consiglidilettura "
7/17/2025, 12:30:36 PM,116200,7747,37,259,"potresti trovare il tuo nuovo libro preferito, oggi! nel frattempo, ti consiglio dei libri che devi assolutamente leggere! %23libri %23libridaleggere %23lettura %23consiglidilettura "
7/10/2025, 12:24:54 PM,29200,1836,15,87,"e anche oggi vi è andata bene: vi consiglio tre libri folli che vi faranno impazzire e che dovete assolutamente leggere! lo stato dei miei libri è più o meno la situazione in cui vi ritroverete a fine lettura: distrutti  %23adelphi %23libri %23libridaleggere %23lettura %23consiglidilettura "
6/27/2025, 12:22:55 PM,61800,3529,24,159,"oggi è proprio il tuo giorno fortunato: ti consiglio tre libri meravigliosi che devi assolutamente leggere e che forse non conosci! e li puoi recuperare con la promozione adelphi 🧚🏻‍♀️ %23adelphi %23libri %23libridaleggere %23lettura %23consiglidilettura "
6/15/2025, 11:30:55 AM,32000,1800,13,54,"come? non ti hanno mai consigliato questi strazianti e interessanti e folli libri? e allora è la tua giornata fortunata, perché te li consiglio io! tre adelphi che devi assolutamente leggere  %23adelphi %23libri %23libridaleggere %23lettura %23consiglidilettura "
6/12/2025, 12:20:07 PM,35700,2438,22,55,"libri più o meno chiacchierati che devi assolutamente leggere! e ti dirò di più: sono sicura che riuscirò a consigliartene uno simile al tuo libro preferito 🧚🏻‍♀️ %23libri %23libridaleggere %23lettura %23consiglidilettura "
,
Mentions
@Eris,1
@nottetempo,1
@Safarà,1
,
Hashtags
consiglidilettura,13
lettura,12
libri,12
libridaleggere,12
adelphi,4
crimimologia,1
booktoker,1
booktokitalia,1
truecrime,1
criminalminds,1
booktokita,1
perte,1
Booktok,1
libro,1
