TikTok User Statistics
Username,hikarisshelf
Nickname,Valentina 🌸 Libri e Giappone
Country,
Follower Count,1109
Heart Count,14800
Video Count,137
Following Count,132
Likes Rate,6.19%
Comments Rate,0.13%
Shares Rate,0.18%
Total Engagement Rate,6.5%
Earnings Min,$0.83
Earnings Max,$1.3
Average Views,5969
Average Likes,369
Average Comments,7
Average Shares,11
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/31/2023, 11:02:40 AM,15700,1989,27,70,"si scherzaaaa, diciamo😂 %23letteraturagiapponese %23giappone %23booktok %23libri %23editoria "
5/14/2024, 2:23:54 PM,1611,110,2,5,"incontrare Murata Sayaka e Yu Hua è stata un'emozione unica, come si torna indietro?🥹 %23salonedellibro %23letteraturagiapponese %23letteraturacinese %23booktokitalia %23BookTok %23leggere "
4/28/2024, 6:39:46 PM,16400,577,13,16,"giuro che di solito non sono così cattiva ma ho trovato quasi solo libri coccola 🥱 %23lettura %23editoria %23leggere %23letteraturagiapponese %23booktokitalia %23BookTok %23libri %23letteratura %23libreria "
9/30/2025, 3:54:09 PM,485,31,1,5,"Vi faccio vedere per bene il nuovo diario di lettura per accumulatori seriali, curato in ogni dettaglio da @Irene Canino 🌸 Non vedo l’ora di iniziare a compilarlo anche se è così bello che dispiace quasi scriverci sopra ahahah 🥹 giftedby @MondadoriElecta_libri_ragazzi @Mondadori  %23giappone %23booktokitalia %23neiperte %23lettureconsigliate %23libridaleggere "
9/29/2025, 4:06:17 PM,399,25,2,0,"Novità in casa @BAO Publishing ❤️ Unboxing dei nuovi manga e fumetti e spoiler sulle prossime uscite! Grazie per il regalo🙏🏻  %23giappone %23booktokitalia %23neiperte %23lettureconsigliate %23fumetti "
