TikTok User Statistics
Username,ileniazodiaco
Nickname,Ilenia Zodiaco
Country,
Follower Count,27500
Heart Count,417100
Video Count,285
Following Count,668
Likes Rate,7.42%
Comments Rate,0.18%
Shares Rate,0.21%
Total Engagement Rate,7.81%
Earnings Min,$20.75
Earnings Max,$32.61
Average Views,37512
Average Likes,2781
Average Comments,66
Average Shares,77
,
Videos
Date,Plays,Likes,Comments,Shares,Description
3/1/2023, 12:23:32 PM,107600,9439,92,172,"%23MattonInglesi la mia personale classifica dei romanzi di %23JaneAusten Voglio sapere la vostra👇🏼 Per approfondimenti, vai sul mio canale YT!  %23classici %23lit %23booktok %23letteraturainglese %23fyp %23neiperte "
7/18/2022, 7:48:27 PM,52000,2533,31,22,"Ci tengo a precisare che si fa per ridereeeee 🥲🥲🥲🥲 tanto sono io quella che piange con la casella mail intasata"
6/23/2022, 12:18:39 PM,227800,13700,213,159,"😈😈😈😈 %23sorrynotsorry %23booktok %23perte %23unavitacometante %23yanagihara"
11/12/2025, 7:04:13 PM,3850,397,6,27,"%23jujutsukaisen "
11/12/2025, 2:43:15 PM,2441,243,1,0,"📚Nuovi arrivati in libreria %23bookhaul %23booktok %23novitàinlibreria "
11/11/2025, 8:44:45 PM,12100,873,46,55,"Possiamo dire basta al tipello teppista che calpesta la gente per i suoi psicodrammi, spacciandolo per romantico?  Sono io che ho la febbre o sta stagione è pesantissima? %23maxtonhall "
11/11/2025, 10:48:29 AM,4629,539,2,6,"Tra ravioli e paesaggi mozzafiato, tra città perennemente illuminate per contrastare cieli di ghisa e templi fuori dalla modernità. La Cina è un paese caotico, assurdo, all’avanguardia, antichissimo, modernissimo ed eccentrico. È stato un enorme privilegio poterla visitare ❤️‍🔥 %23travel "
11/10/2025, 10:27:52 AM,9518,1072,8,9,"%23tbr di questa stagione! Al solito per contenuti più approfonditi —> YouTube (@Ilenia Zodiaco) ✨ %23libridaleggere %23booktok "
10/26/2025, 9:41:38 AM,3031,237,3,1,"Oggi parliamo di un libro anomalo, incompiuto postumo, maltrattato e…bellissimo. “Il partigiano Johnny”, la quinta tappa del nostro gruppo di lettura %23MattonItaliani , è un’opera complessa che merita un approfondimento speciale, così come il suo autore: Beppe Fenoglio.  Lo trovi su insidebooks.it o su YouTube sia in forma scritta per gli abbonati alla newsletter, sia in formato video e podcast."
10/23/2025, 8:18:10 PM,37900,3216,331,214,"Fan di Naruto, aiutatemi %23animetok "
10/23/2025, 8:41:42 AM,11300,1316,13,38,"Cosa leggere in autunno? Ci penso io! Per altri consigli succosi ti rimando al canale YT Ilenia Zodiaco %23booktok %23consiglidilettura %23lettureautunnali %23neiperte %23fyp "
10/21/2025, 10:15:00 AM,2676,198,1,2,"📚Oggi, in contemporanea mondiale, esce per @FeltrinelliTok “La terra del dolce domani”, una raccolta di otto racconti e otto saggi (tra cui un ritratto stupendo di Truman Capote, grande amico della scrittrice) che ho avuto l’opportunità di leggere in anteprima.  Cosa aspettarsi da questi scritti inediti di una delle leggende americane? Ne parlo nel video 👆 %23adv %23feltrinelli %23harperlee %23letteratura %23booktok  "
10/14/2025, 6:51:00 PM,8036,759,1,8,"Il risultato è su YouTube, sul canale Ilenia Zodiaco 😎 %23bookshelf %23librerie %23booktok %23decluttering "
10/10/2025, 8:42:10 PM,34600,3072,75,108,"Giuro che poi mi tiro fuori da questo ginepraio ma è giusto per dire che a me non frega nulla di dire “leggetelo” o “non leggetelo”, né tanto meno di fare morali. Solo che per onestà intellettuale mi dà fastidio che mi si accusi di inneggiare alla censura o al moralismo. Dico solo: parliamo con consapevolezza. Anche il dolore estremo può essere una forma di piacere e la violenza è spesso usata a questo scopo nei dark fantasy. C’è qualcosa di male? NO. Non dovreste leggerlo per questo? Assolutamente NO. Ognuno legge quello che vuole ma neanche a farci passare sto libro come na denuncia di chissà cosa quando poi sti due finiscono insieme, per quanto rottamati nel cuore e nell’animo. "
10/9/2025, 2:28:38 PM,45200,4131,176,347,"Una riflessione a partire dai video di @Carlo Vicenzi %23alchemised %23fanfiction %23booktok %23romantasy "
,
Mentions
@Carlo,1
@FeltrinelliTok,1
@Ilenia,1
,
Hashtags
booktok,8
neiperte,2
fyp,2
unavitacometante,1
MattonItaliani,1
lit,1
harperlee,1
bookshelf,1
libridaleggere,1
yanagihara,1
animetok,1
novitàinlibreria,1
adv,1
travel,1
fanfiction,1
MattonInglesi,1
jujutsukaisen,1
perte,1
JaneAusten,1
sorrynotsorry,1
classici,1
tbr,1
lettureautunnali,1
letteraturainglese,1
bookhaul,1
alchemised,1
feltrinelli,1
librerie,1
consiglidilettura,1
maxtonhall,1
decluttering,1
romantasy,1
letteratura,1
