TikTok User Statistics
Username,ilibridibibii
Nickname,Bibi🍜🏹🐾🤎
Country,
Follower Count,18400
Heart Count,605500
Video Count,880
Following Count,970
Likes Rate,5.65%
Comments Rate,0.08%
Shares Rate,0.29%
Total Engagement Rate,6.02%
Earnings Min,$13.66
Earnings Max,$21.46
Average Views,49306
Average Likes,2785
Average Comments,40
Average Shares,142
,
Videos
Date,Plays,Likes,Comments,Shares,Description
5/15/2025, 2:19:48 PM,187400,16300,90,1066,"Ci son cascata di nuovo  %23salonedellibroditorino%23salonedellibro%23salto2025%23salonedellibro%23booktokitalia📚🧿🥀🔥%23booktokfyp%23booktokitalia%23booktok%23neipertebooktok%23darkromance%23legacyofgods%23legacyofgodsseries "
8/12/2024, 10:14:52 AM,222800,18100,343,805,"Li avete letti?🖤 %23booktok%23booktokfyp%23BookTok%23booktokitalia📚🧿🥀🔥%23foryoupageofficiall%23libridaleggereassolutamente%23darkromancebooks%23darkromance%23legacyofgods%23rinakentspecialeditions%23tihotrovataadeline%23bookrecs%23booktokitalia📚  @VIRGIBOOKS  @M. Antonietta Capasso autrice  @Nicole Teso  @Sophie B.  @newtoncomptoneditori  "
12/30/2023, 11:58:03 AM,254000,2345,31,34,"Ogni volta me ne sento dire di ogni, non hanno ancora capito che è tutta cultura 😇 %23foryoupageofficiall%23neiperte%23foryoupageofficially%23giornatadiunalettrice%23neiperteitalia❤️%23lettricecompulsiva%23vitadalettrice%23neiperteitaliaviral%23foryoupageofficially♥️%23neiperteitaliaviral%23amoreperilibri%23foryoupageofficially♥️%23viraltiktok%23libriconsigliati2023%23foryoupageofficiallyforyoulikemy%23booklovers%23neiperteitalia "
11/13/2025, 1:08:59 PM,545,100,2,7,"Non vedo l’ora di tornare da loro @ROKIA💗 @Salani Editore  %23sindromerokia%23rokia%23romancebook%23specialeditionbooks "
11/12/2025, 12:19:44 PM,2529,209,20,3,"Grazie di cuore signor giunti per avercelo portato in Italia @Giunti Editore  %23darkfantasy%23fantasybooktok%23theknightandthemoth%23fantasyromance%23booktok "
11/11/2025, 1:58:58 PM,1899,263,5,6,"Non sono molto brava nei riassunti ahahaha @RIBES HALLEY @Salani Editore  %23unrepentaint%23booktok%23darkromancevibes%23crimebooks%23booktokitalia  "
11/10/2025, 3:41:28 PM,8572,567,17,2,"Mi trovate cercando: valentinamorelloo  %23librichevendosuvinted%23libri%23booktok%23booktokitalia "
11/10/2025, 12:22:16 PM,552,62,4,3,"BIB15 for 15% off 🫶🏻 io vi amo @Getahug.co  %23getahug%23magnetic%23magneticcow%23cute%23gift "
11/9/2025, 1:44:32 PM,9567,833,32,33,"Leggete questa dilogia, grazie.  @RIBES HALLEY @Salani Editore  %23unrepentaint%23booktok%23darkromancevibes%23darkromance%23crimebooks "
11/8/2025, 12:04:56 PM,8880,647,6,15,"Vi dico solo che sono quasi a metà e mi è arrivato ieri 😂 @RIBES HALLEY  %23unrepentaint%23booktok%23darkromancevibes%23darkromance%23crimebooks "
11/7/2025, 12:43:12 PM,8736,659,14,66,"Se amate il genere fatevi un regalo, leggetelo.  %23darkromance%23darkromancebooks%23darkromancereads%23booktok%23darkromancebooktok  @melissaciampini "
11/6/2025, 1:29:05 PM,4948,502,14,33,"Un po’ nostalgica oggi.  %23darkromance%23darkromancebooks%23darkeomancereads%23booktok   @Sophie B.   "
11/5/2025, 12:00:37 PM,26200,865,13,48,"Ammetto di aver pianto mentre lo registravo..❤️‍🩹🏰  %23royalseries%23royalfamily%23regencybook%23booktokitalia%23BookTok @Melissa Pratelli @Martina Pirone @Fiann Royal Girls @Paola Garbarino @Marialuisa Gingilli Author @Alessia D'ambrosio "
11/4/2025, 12:52:02 PM,1412,146,7,5,"%23booktok%23booktokitalia%23booktokitaliano "
11/4/2025, 10:39:38 AM,1559,186,5,5,"Leggetelo.  @Elisa Crescenzi⭐️  %23gilmoregirls%23sportromance%23sportromancebooks%23agegap%23gilmoregirlsvibes "
,
Mentions
@Salani,3
@RIBES,3
@Sophie,2
@newtoncomptoneditori,1
@Getahug,1
@Marialuisa,1
@Elisa,1
@Giunti,1
@VIRGIBOOKS,1
@ROKIA,1
@Melissa,1
@M,1
@Martina,1
@Paola,1
@Nicole,1
@Alessia,1
@Fiann,1
@melissaciampini,1
,
Hashtags
booktok,10
booktokitalia,8
darkromance,6
darkromancevibes,3
crimebooks,3
darkromancebooks,3
unrepentaint,3
foryoupageofficially,3
salonedellibro,2
BookTok,2
booktokfyp,2
legacyofgods,2
neiperteitaliaviral,2
foryoupageofficiall,2
neiperteitalia,2
tihotrovataadeline,1
gilmoregirls,1
darkfantasy,1
agegap,1
booktokitaliano,1
neipertebooktok,1
fantasybooktok,1
sportromance,1
lettricecompulsiva,1
librichevendosuvinted,1
magnetic,1
regencybook,1
bookrecs,1
sportromancebooks,1
gilmoregirlsvibes,1
salto2025,1
libri,1
amoreperilibri,1
legacyofgodsseries,1
giornatadiunalettrice,1
cute,1
darkromancebooktok,1
romancebook,1
magneticcow,1
foryoupageofficiallyforyoulikemy,1
royalfamily,1
darkromancereads,1
darkeomancereads,1
booklovers,1
libriconsigliati2023,1
rokia,1
salonedellibroditorino,1
getahug,1
theknightandthemoth,1
royalseries,1
neiperte,1
libridaleggereassolutamente,1
viraltiktok,1
fantasyromance,1
specialeditionbooks,1
gift,1
rinakentspecialeditions,1
vitadalettrice,1
sindromerokia,1
