TikTok User Statistics
Username,ilpianetadeilibri
Nickname,Eli 🌎📚 Il pianeta dei libri
Country,
Follower Count,4747
Heart Count,89100
Video Count,548
Following Count,358
Likes Rate,9.36%
Comments Rate,0.13%
Shares Rate,0.13%
Total Engagement Rate,9.62%
Earnings Min,$3.64
Earnings Max,$5.72
Average Views,12879
Average Likes,1205
Average Comments,16
Average Shares,16
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/3/2024, 2:55:00 PM,29200,1829,40,33,"Risposta a @mysticevaa spero davvero di essere stata utile 🤍 %23booktok %23booktokitalia %23books %23russianliterature %23russianbooks %23russia %23russistianonimi "
3/22/2022, 2:22:16 PM,35200,3601,32,8,"Nel cuore %23booktok %23perte %23booktokitalia %23booktoker %23russianliterature %23dostoevskij"
2/1/2022, 6:43:59 PM,76200,9120,50,67,"🇷🇺 %23booktok %23booksoftiktok %23booktokcommunity %23perte %23viral %23booktokitalia %23russianliterature %23uni %23exams %23libri %23postit %23notes %23quotes %23bookquotes"
11/12/2025, 9:46:13 PM,408,44,4,2,"Ragazzi volo altissimo come Margherita 🪆 @Risma.poster grazie ❤️ %23russia %23russian %23risma %23russianliterature %23ilmaestroemargherita "
11/3/2025, 10:27:11 PM,342,26,1,1,"Una delle librerie più magiche che io abbia mai visitato 🇵🇹 %23libreria %23portogallo %23librerialello "
11/1/2025, 4:47:59 PM,362,24,0,1,"Per la rubrica Georges Simenon, vi presento I Pitard  @Adelphi Edizioni  %23ipitard %23adelphi %23simenon %23georgessimenon "
10/30/2025, 7:38:28 PM,497,34,5,3,"Alla presentazione di Cacciatori di Tenebre 🕯️ @Iperborea Casa Editrice non smette mai di sorprendermi  %23cacciatoriditenebre %23iperborea "
10/23/2025, 8:11:38 PM,548,44,3,0,"Un altro Simenon pazzesco per me  %23i13colpevoli %23georgessimenon %23literature %23reading %23book %23reader "
10/21/2025, 7:49:50 PM,546,35,1,0,"Michael McDowell unico autore che può farmi leggere horror @Neri Pozza editore  %23michaelmcdowell %23horror %23lunafreddasubabylon %23blackwater %23gliaghidoro %23katy "
10/15/2025, 9:08:56 PM,1327,112,2,6,"Diario di un uomo superfluo - Ivan Turgenev  %23diariodiunuomosuperfluo %23russianliterature %23russian %23russia %23literature "
10/13/2025, 7:19:38 PM,1220,77,6,3,"Volo altissimo! Grazie @Iperborea Casa Editrice @Voland_Edizioni  %23diariodiunuomosuperfluo %23le12sedie %23taccuini %23cacciatoriditemebre %23russia %23russianliterature %23literature %23russian "
10/12/2025, 2:28:09 PM,33500,2279,75,89,"Ne avete letto qualcuno? Cosa ne pensate? %23oblomov %23ipianialtidimosca %23nikolajgogol %23ilbenesiaconvoi %23russia %23russian %23russianliterature %23literature "
10/10/2025, 1:21:09 PM,2803,158,4,8,"La cena delle anime morte - Nikolai Gogol’ 🪆 %23lacenadelleanimemorte %23russian %23russianliterature %23literature %23russia "
10/9/2025, 10:17:10 AM,9771,631,25,22,"Cultori della letteratura russa a rapporto %23lacenadelleanimemorte %23ipianialtidimosca %23letteraturarussa %23russian %23russianliterature %23russistianonimi "
10/6/2025, 7:53:31 PM,1271,70,6,1,"Libro sconosciuto, ma veramente carino!  @Rizzoli  %23lasignoramohrscompare %23literature %23polish %23polishliterature %23russistianonimi "
,
Mentions
@Iperborea,2
@Risma,1
@Voland_Edizioni,1
@Neri,1
@mysticevaa,1
@Rizzoli,1
@Adelphi,1
,
Hashtags
russianliterature,9
russia,6
russian,6
literature,6
russistianonimi,3
booktokitalia,3
booktok,3
diariodiunuomosuperfluo,2
perte,2
georgessimenon,2
lacenadelleanimemorte,2
ipianialtidimosca,2
bookquotes,1
russianbooks,1
booktoker,1
viral,1
le12sedie,1
librerialello,1
simenon,1
horror,1
ilbenesiaconvoi,1
michaelmcdowell,1
lunafreddasubabylon,1
i13colpevoli,1
booksoftiktok,1
iperborea,1
polish,1
adelphi,1
notes,1
cacciatoriditenebre,1
libri,1
libreria,1
book,1
oblomov,1
portogallo,1
polishliterature,1
quotes,1
blackwater,1
reading,1
taccuini,1
risma,1
reader,1
ilmaestroemargherita,1
uni,1
booktokcommunity,1
ipitard,1
postit,1
letteraturarussa,1
lasignoramohrscompare,1
katy,1
books,1
gliaghidoro,1
cacciatoriditemebre,1
exams,1
nikolajgogol,1
dostoevskij,1
