TikTok User Statistics
Username,ilventodeilibri
Nickname,📖 Eleonora | @ilventodeilibri
Country,
Follower Count,543
Heart Count,3601
Video Count,9
Following Count,156
Likes Rate,5.24%
Comments Rate,0.08%
Shares Rate,0.18%
Total Engagement Rate,5.5%
Earnings Min,$0.4
Earnings Max,$0.63
Average Views,7617
Average Likes,399
Average Comments,6
Average Shares,14
,
Videos
Date,Plays,Likes,Comments,Shares,Description
3/27/2024, 7:41:26 PM,9379,378,15,4,"Dovete leggerli assolutamente! 😍 Queste sono alcune delle letture recenti più belle, li avete già letti? 📌 SALVA il video per non perdere i titoli 📌 SEGUIMI su insta per altri contenuti simili 🫶🏼 %23libri%23books%23poorthings%23poverecreature%23theshards%23breteastonellis%23einaudi%23chiaratagliaferri%23ilcoloreviola%23unamoresenzafine%23scottapencer%23eleanoroliphantstabenissimo%23gailhoneyman%23ledivoratrici%23supperclub%23booktok"
3/21/2024, 9:47:06 PM,3172,61,9,0,"Mi spiego meglio 👇🏼 Non ho mai letto nulla di Sally Rooney e, onestamente, non mi ha mai attirata granché. Tuttavia, quando un romanzo è particolarmente osannato la curiosità si fa prepotente e difficilmente riesco a resistere.  Come è già successo altre volte, però, sono rimasta delusa dal libro in questione e, alla fine, mi sono chiesta: perché c’è stato così tanto hype per questo titolo? Cosa c’è che non ho colto? Si è trattato di un successo di puro marketing oppure sono io il problema? Ecco, «Beautiful world, where are you» non mi è piaciuto, ed ho anche un po’ paura a dirlo: in questi casi, ho sempre il timore di essere io a non aver capito il vero senso del libro, di essermi persa qualcosa. A parte i temi trattati nelle corrispondenze dei due personaggi femminili del romanzo - molto importanti, ben strutturati ed argomentati - non ho tratto altro dalla lettura, anzi. Non si parla praticamente di nulla e i personaggi (soprattutto Felix) sono odiosi.  A cosa è dovuto, quindi, tutto questo successo?  Vi chiedo sinceramente di illuminarmi nei commenti, di dirmi la vostra opinione, oppure se siete d’accordo con me e non è piaciuto neanche a voi. Vi leggo con piacere 🫶🏼 %23sallyroney%23beautifulworldwhereareyou%23doveseimondobello%23personenormali%23normalpeople%23parlarnetraamici%23libri%23libro%23recensioni%23cosaleggere%23unpopularopinion%23booktok "
3/17/2024, 2:58:34 PM,15300,1020,5,71,"%23book %23booktok %23einaudi %23librieinaudi %23scontieinaudi "
1/10/2024, 4:32:39 PM,16700,698,14,34,"Cosa avreste fatto voi? Io sono andata completamente in crisi 😭❤️ %23booktok%23books%23dollyalderton%23paulauster%23allthightwecannotsee%23murakami%23oliviadenaro %23muratasayaka "
12/16/2023, 6:23:39 PM,1885,65,0,1,"Trovate la recensione su Instagram 📚✨ %23elenaferrante%23ferrante%23ferrantebooks%23booktok%23libri%23books%23italianlitterature%23recensioni "
12/14/2023, 12:20:34 PM,3506,386,4,2,"Qual è la libreria più particolare che abbiate mai visitato? Questa di trova in Malesia, a Kuala Lumpur 🌎 %23booktok%23books%23librerie%23bookshops%23malaysia%23kualumpur%23libri "
12/4/2023, 5:14:41 PM,6705,501,3,4,"Letteratura russa 📚 quali sono i vostri immancabili?  📌 SALVA il reel per non perdere i titoli 📌 SEGUIMI per altri consigli 🫶🏼 %23letteraturarussa%23russianlitterature%23trend%23russiantrend%23books%23booktok%23bookworm%23dostoevskij%23tolstoj%23bulgakov%23puskin%23annakarenina%23crimeandpunishment%23nikolajgogol%23turgenev%23borispasternak%23vasilijgrossman%23romanzirussi%23libri"
11/27/2023, 12:48:16 PM,10100,332,2,9,"Saggi che mi hanno cambiato la vita 📚 quali titoli aggiungereste alla lista? %23saggi%23saggistica%23harari%23dioodialedonne%23ilmostruosofemminile%23calibanoelastrega%23donneinviaggio%23tlon%23ilsaggiatore%23angeladavis%23booktok%23books%23libridaleggere %23libriconsigliati "
8/19/2022, 6:32:22 PM,1810,153,3,1,"Sistema con me i miei Adelphi 📚 Li adoro! 🥺🫶🏼 %23book%23books%23fyp%23esplora%23perte%23booktok%23libri%23libro%23bookcommunity%23adelphi%23libreria%23bookshelves%23libriadelphi"
,
Mentions
,
Hashtags
booktok,9
books,7
libri,6
recensioni,2
book,2
einaudi,2
libro,2
scontieinaudi,1
cosaleggere,1
vasilijgrossman,1
personenormali,1
libriconsigliati,1
bookworm,1
eleanoroliphantstabenissimo,1
theshards,1
saggi,1
letteraturarussa,1
malaysia,1
bookcommunity,1
ilsaggiatore,1
murakami,1
saggistica,1
parlarnetraamici,1
ferrante,1
puskin,1
italianlitterature,1
trend,1
ilcoloreviola,1
beautifulworldwhereareyou,1
ferrantebooks,1
kualumpur,1
adelphi,1
perte,1
doveseimondobello,1
libriadelphi,1
paulauster,1
allthightwecannotsee,1
unpopularopinion,1
borispasternak,1
ledivoratrici,1
romanzirussi,1
bulgakov,1
scottapencer,1
donneinviaggio,1
muratasayaka,1
turgenev,1
esplora,1
bookshops,1
russianlitterature,1
librieinaudi,1
libreria,1
breteastonellis,1
gailhoneyman,1
bookshelves,1
crimeandpunishment,1
angeladavis,1
calibanoelastrega,1
librerie,1
poorthings,1
nikolajgogol,1
annakarenina,1
sallyroney,1
elenaferrante,1
supperclub,1
ilmostruosofemminile,1
libridaleggere,1
dollyalderton,1
unamoresenzafine,1
dioodialedonne,1
normalpeople,1
tolstoj,1
chiaratagliaferri,1
harari,1
tlon,1
poverecreature,1
oliviadenaro,1
fyp,1
russiantrend,1
dostoevskij,1
