TikTok User Statistics
Username,irechan_
Nickname,Irene Canino
Country,
Follower Count,7300
Heart Count,48400
Video Count,157
Following Count,124
Likes Rate,1.36%
Comments Rate,0.05%
Shares Rate,0.1%
Total Engagement Rate,1.51%
Earnings Min,$5.19
Earnings Max,$8.15
Average Views,20971
Average Likes,284
Average Comments,9
Average Shares,20
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/31/2024, 2:34:19 PM,1105,62,7,2,"L’ Halloween di chi ama il Giappone non può che essere all’insegna degli yōkai! Dalle viuzze delle città, alle grotte nelle profondità delle montagne, dalle isole più remote fino alle risaie e ai boschi di campagna: non c’è luogo che queste creature non abitino. Le loro origini si perdono nella notte dei tempi.  Divinità decadute o spiriti della natura stessa, attraversano i secoli adattandosi ai mutamenti della società. Mi hanno incantato sin da quando li ho conosciuti, e ho cercato di ricostruirne le vicende provando a restituirgli tutto il fascino che meritano. ❤️ . . . %23libritiktok %23libriconsigliati %23letteraturagiapponese %23booktokita %23mondadori %23consigliolibri %23consiglidilettura %23mitologia "
9/9/2025, 12:49:34 PM,209100,1089,35,100,"✨ Hai più libri di quanti riesci a leggere? Non è un difetto: è tsundoku. «La mia libreria tsundoku» è un diario di lettura curato in ogni dettaglio: 📖 Schede personalizzabili 🌸 Haiku stagionali 🎨 Illustrazioni meravigliose  E per chi ama organizzarsi, c’è anche una sezione Kakebo: per gestire il budget libri senza rinunciare al piacere delle storie. Un invito a rallentare, leggere e prenderti cura del tuo tempo e della tua creatività. 🌸Il mio nuovo libro ti aspetta da oggi in tutte le librerie. 💌 Salva il video per non dimenticarlo — o condividilo con un amico che ama i libri quanto te. %23booktokita %23booktokconsigli %23consiglidilettura %23libriconsigliati %23libribelli %23booktokitaliano %23romanzi %23readingjournal "
5/3/2025, 2:35:55 PM,72100,1515,28,104,"Tante novità, diverse per genere, ma tutte decisamente interessanti. Quale vi incuriosisce di più? . . . %23booktokitaliano %23consiglidilettura %23booktokita %23libriconsigliati %23letteraturagiapponese %23libribooktokitalia  *Gifted"
11/13/2025, 12:40:45 PM,281,34,0,3,"🎐 Ci sono giorni in cui non cerchi risposte, solo pace. Un libro caldo come una coperta, gentile come una carezza, può bastare. 🌸 📚 Salva questo video per quando ne avrai bisogno. . %23booktokita %23booktokconsigli %23consiglidilettura %23libribelli %23booktokitalia "
10/31/2025, 2:43:23 PM,1908,77,6,7,"🍂 L’autunno è un periodo ricchissimo di nuove uscite. In queste foto trovi un po’ di consigli di lettura dal Giappone (e non solo). 👉🏻 Salvali per la tua TBR autunnale! %23consiglidilettura %23booktiktokitalia %23booktokita %23libridaleggere %23romanzi "
