TikTok User Statistics
Username,kikibookspassion
Nickname,Kikibookspassion🐙🌈🪐
Country,
Follower Count,23000
Heart Count,511200
Video Count,446
Following Count,608
Likes Rate,8.62%
Comments Rate,0.18%
Shares Rate,0.16%
Total Engagement Rate,8.96%
Earnings Min,$17.54
Earnings Max,$27.57
Average Views,13134
Average Likes,1132
Average Comments,23
Average Shares,20
,
Videos
Date,Plays,Likes,Comments,Shares,Description
6/13/2025, 4:42:58 PM,79500,7648,60,159,"Oggi vi consiglio un po’ di classici 📖 %23libriclassici %23BookTok %23booktoker %23bookworm %23booktokitalia %23books %23libridaleggere %23consigli %23perte %23fyp  @Giulio Einaudi editore @FeltrinelliTok"
1/7/2025, 3:33:27 PM,39900,2364,59,69,"Ecco i 10 migliori libri che ho letto nel 2024!🎖️📖 %23booktok %23booktoker %23booktokitalia %23bookworm %23top10 %23migliorilibri2024 %23perte %23fyp  Tik tok è una burro birra quella dietro di me non mi bannare 🙏🏼🥺@Adelphi Edizioni @Neri Pozza editore @Giulio Einaudi editore 🫶🏻 "
12/23/2024, 4:00:00 PM,39700,3337,130,37,"📖♡ %23booktok %23booktoker %23booktokitalia %23bookworm %23perte %23fyp "
11/10/2025, 3:28:04 PM,1335,189,7,3,"Un rapido aggiornamento di lettura!📖 ♡ %23booktok %23booktoker %23perte %23booktokitalia %23fyp ✨"
11/7/2025, 4:23:29 PM,4146,227,9,6,"Che libro pazzesco! Grazie @Adelphi Edizioni e @Andrea Zanni per la copia 🫂🩵 %23booktok %23booktokitalia %23booktoker %23fyp %23perte "
11/1/2025, 5:53:55 PM,5272,438,11,4,"Wrap up ottobre!🍂🎃 %23wrapup %23booktok %23booktoker %23booktokitalia %23fyp @Adelphi Edizioni @Giulio Einaudi editore 🫂"
10/28/2025, 5:41:02 PM,2382,266,6,6,"Qualche consiglio di lettura per Halloween 🎃🍂 %23BookTok %23booktoker %23booktokitalia %23perte %23fyp @Fazi Editore @Adelphi Edizioni @Giulio Einaudi editore @atmosphere libri 🫂✨"
10/26/2025, 2:49:08 PM,4207,446,18,2,"Nuovo bookhaul 🫶🏻📖 %23bookhaul %23booktok %23booktoker %23booktokitalia %23fyp "
10/22/2025, 2:38:53 PM,6225,628,4,4,"Rieccociii con un po’ di Bookspotting 🍂👀📖 %23booktok %23booktoker %23booktokitalia %23perte %23fyp <3"
10/19/2025, 1:06:12 PM,1539,115,2,2,"Un po’ di consigli per approfittare degli sconti Fazi del -20%📖🩷 %23booktok %23booktoker %23booktokitalia %23perte %23fyp @Fazi Editore 🫂"
10/15/2025, 1:29:58 PM,1098,98,7,2,"Nuova recensione 📖🫶🏻 %23booktok %23booktokitalia %23booktoker %23thriller %23fyp "
10/12/2025, 3:00:50 PM,2716,259,6,4,"Un po’ di consigli 🍂🎃📚 %23booktok %23booktoker %23booktokitalia %23fyp %23perte "
10/9/2025, 3:30:54 PM,2251,240,5,1,"Aggiornamento di lettura timeee⏰📖 %23fyp %23booktok %23booktokitalia %23booktoker %23readingupdate "
10/5/2025, 11:29:19 AM,3725,416,17,9,"TBR Autunnale!!🍂🎃📖 %23tbr %23BookTok %23spookyseason %23booktokitalia %23fyp"
9/30/2025, 2:42:12 PM,3020,321,12,1,"Wrap up di settembre!📚 (pochi ma buoni) %23booktok %23wrapup %23booktokitalia %23booktoker %23fyp "
,
Mentions
@Giulio,4
@Adelphi,4
@Fazi,2
@Andrea,1
@FeltrinelliTok,1
@atmosphere,1
@Neri,1
,
Hashtags
booktokitalia,15
fyp,15
booktoker,14
booktok,12
perte,9
BookTok,3
bookworm,3
wrapup,2
consigli,1
libridaleggere,1
migliorilibri2024,1
top10,1
spookyseason,1
tbr,1
bookhaul,1
libriclassici,1
readingupdate,1
books,1
thriller,1
