TikTok User Statistics
Username,l.antro.di.anna
Nickname,Anna|Libri e pensieri 📚
Country,
Follower Count,1303
Heart Count,8460
Video Count,140
Following Count,729
Likes Rate,6.44%
Comments Rate,0.23%
Shares Rate,0.19%
Total Engagement Rate,6.86%
Earnings Min,$0.97
Earnings Max,$1.53
Average Views,2032
Average Likes,130
Average Comments,4
Average Shares,3
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/13/2025, 11:30:50 AM,722,61,6,6,"❗️Alla fine c’è un libro bonus: averlo letto vi fa totalizzare due punti (tre se ve l’ho consigliato io) ✨ @Moscabianca Edizioni @Safarà Editore @storie.effimere @Iperborea Casa Editrice @AgenziaAlcatraz @ABEditore Edizioni Sur @Cencellada edizioni La Nuova Frontiera @Zona 42 @Mercurio @Polidoro  %23booktok %23booktokitalia %23ticonsigliounlibro "
10/6/2025, 9:31:11 AM,349,21,4,4,"L’ultima settimana di settembre ho vissuto come in un sogno. Ho presentato le mie tre CE del cuore all’Estratto Festival della Libreria Raggiungibile di San Donà di Piave. Ancora non ci credo. @Moscabianca Edizioni @Safarà Editore @storie.effimere  %23booktok %23booktokitalia "
9/15/2025, 12:00:15 PM,741,59,5,6,"Ovvero come avere uno spazio sul bookmondo social mi ha permesso di conoscere realtà splendide. Da un’idea di @Delia riadattata grazie a Sara @fool_of_books presente sull’altro social ❤️ @Moscabianca Edizioni @Safarà Editore @storie.effimere @Voland_Edizioni @NN Editore Polidoro La Nuova Frontiera @ABEditore @Iperborea Casa Editrice @effequ @Edizioni E/O  %23booktok %23booktokitalia %23ticonsigliounlibro "
9/4/2025, 11:12:19 AM,580,68,0,4,"Tra film, libri e serie tv. Uno dei miei argomenti preferiti in assoluto ❤️ @storie.effimere @Moscabianca Edizioni @Fandango Libri @Cencellada edizioni @Edizioni E/O @Voland_Edizioni @FeltrinelliTok Giulio Perrone Editore Edizioni Sur @Mondadori @Prime Video Italia @Disney+ @Apple TV  %23booktok %23booktokitalia %23ticonsigliounlibro %23ticonsigliounfilm %23ticonsigliounaserietv "
8/23/2025, 8:48:52 AM,946,77,2,4,"Dall’idea splendida di @Delia la mia versione, con autorə che riconosco come i miei genitori letterari e di cui ho paura di finire le opere (e restare senza), autrici che leggerei sempre e comunque perché sono casa, autorə che mi sorprendono ogni volta ❤️ Qui ci sono il primo incontro, il preferito e quanto ho letto di loro. ❓Ne abbiamo in comune? ❓Quali sarebbero i vostri? @Giulio Einaudi editore @Adelphi Edizioni @Mondadori @Edizioni E/O @Voland_Edizioni  %23BookTok %23booktokitalia %23booktag "
8/12/2025, 8:05:43 AM,1194,104,6,1,"Ovvero come mi complico la vita decidendo che un autorə può essere citato solo una volta e che il numero massimo di libri che posso citare per categoria sono dieci (dovendo tagliare molto nelle categorie più alte).  Ringrazio @Delia che mi ha ispirata sull’altro social ❤️ %23booktok %23booktokitalia %23booktag"
7/26/2025, 10:22:37 AM,989,79,14,1,"Sintesi della mia lotta sull’altro social. Il gotico NON è horror, non fa paura. %23booktok %23booktokitalia %23horror %23gotico %23shirleyjackson"
7/25/2025, 7:47:24 AM,791,59,0,0,"Ovvero terne di Einaudi tra i miei preferiti. @Giulio Einaudi editore  %23einaudi %23booktok %23booktokitalia "
6/30/2025, 10:01:38 AM,11500,902,4,21,"Di base otto dei miei libri preferiti in formato Gli Adelphi. @Adelphi Edizioni  %23booktok %23booktokitalia %23adelphi %23libridaleggere %23libriconsigliati "
6/26/2025, 12:49:56 PM,894,28,5,0,"C’è ancora qualche giorno per recuperare i libri Mondadori con gli sconti del 20%. Potevo non consigliarvi qualche libro (meno noto) di zia Agatha? @Mondadori  %23booktok %23booktokitalia %23agathachristie "
6/15/2025, 8:32:49 AM,261,20,0,0,"Indescrivibile %23edsheeran @Ed Sheeran %23roma %23castleonthehill %23mathematicstour %23stadioolimpico "
6/12/2025, 5:41:41 PM,5427,93,10,0,"… ma canto solo in macchina o sotto la doccia  %23teachersoftiktok "
,
Mentions
@storie,4
@Moscabianca,4
@Delia,3
@Mondadori,3
@Safarà,3
@Edizioni,3
@Voland_Edizioni,3
@ABEditore,2
@Adelphi,2
@Iperborea,2
@Giulio,2
@Cencellada,2
@FeltrinelliTok,1
@AgenziaAlcatraz,1
@Zona,1
@Fandango,1
@Polidoro,1
@Ed,1
@Disney,1
@effequ,1
@Apple,1
@Mercurio,1
@NN,1
@Prime,1
@fool_of_books,1
,
Hashtags
booktokitalia,10
booktok,9
ticonsigliounlibro,3
booktag,2
BookTok,1
edsheeran,1
horror,1
libridaleggere,1
libriconsigliati,1
adelphi,1
stadioolimpico,1
mathematicstour,1
gotico,1
teachersoftiktok,1
roma,1
ticonsigliounfilm,1
castleonthehill,1
einaudi,1
shirleyjackson,1
ticonsigliounaserietv,1
agathachristie,1
