TikTok User Statistics
Username,la.bottega.del.libro
Nickname,La bottega del libro
Country,
Follower Count,1327
Heart Count,11100
Video Count,72
Following Count,81
Likes Rate,5.55%
Comments Rate,0.07%
Shares Rate,0.24%
Total Engagement Rate,5.86%
Earnings Min,$0.98
Earnings Max,$1.55
Average Views,3824
Average Likes,212
Average Comments,2
Average Shares,9
,
Videos
Date,Plays,Likes,Comments,Shares,Description
7/2/2024, 6:56:24 PM,7834,332,7,6,"Avete approfittato anche voi  della promo %23adelphi per avere la tote bag? ✨ Io non sapevo scegliere quale colore prendere, allora ho ordinato 4 titoli 🙊 Li conoscete?  Vi piacciono? %23promoadelphi %23adelphiedizioni %23booktoker %23bookt "
7/3/2024, 12:59:45 PM,4743,222,5,2,"Quanto rilassando i video %23asmr 😏😌 Ecco qua il mio scaffale @Giulio Einaudi editore 🩵✨  %23einaudieditore %23einaudi %23booktok %23booktoker "
7/1/2024, 6:26:21 PM,30100,1910,27,106,"Quanto è soddisfacente sistemare uno scaffale con i libri di una sola casa editrice? Non so voi, ma io amo %23adelphi ✨❤️ Quale titolo avete letto? %23booktok %23asmr %23libreria %23adelphiedizioni @Adelphi Edizioni "
10/31/2025, 12:17:19 PM,316,15,0,0,"Cosa ho letto ad ottobre? Ve lo mostro con l’aiuto di 🐈‍⬛ Salem 👀🖤 %23wrapupbooks %23wrapup %23lettureottobre %23libri %23cosaholetto "
10/30/2025, 7:21:48 AM,3920,126,1,6,"Quali libri verranno pubblicati a novembre? Eccoli qui ✨ %23novità %23novitàlibri %23nuoveuscite %23nuoveuscitelibri %23libri  @Fazi Editore @Adelphi Edizioni @atmosphere libri @NN Editore @Giulio Einaudi editore @Sellerio editore @Marsilio @addeditore @Edizioni E/O @L'orma editore @Mercurio @Neri Pozza editore "
10/20/2025, 5:33:35 PM,465,25,1,1,"Le ultime novità arrivate nella mia libreria 🖤 Ringrazio di cuore le case editrici ✨ %23libri %23libridaleggere %23consigliolibri %23bookstagram "
10/16/2025, 6:42:15 PM,722,57,0,2,"Ciao 🖤 Vi lascio una carrellata di consigli per approfittare della promo 20% di @Fazi Editore ✨ %23sconti %23fazieditore %23promofazi %23libri %23libridaleggere "
9/26/2025, 10:35:14 AM,721,51,0,0,"Oltre 100 titoli che usciranno a in libreria e online a ottobre! Vi assicuro che scegliere sarà difficilissimo! 🖤 %23novitàlibri %23nuoveuscite %23libri %23libridaleggere "
9/15/2025, 8:21:51 AM,2119,159,1,5,"L’autunno non è solo foglie che cadono e tè fumanti: è anche il momento perfetto per letture che inquietano, turbano e lasciano addosso un brivido sottile. Ecco la mia selezione. 🖤 %23libriautunnali %23libridisturbanti %23libridaleggere %23consigliolibri  @Adelphi Edizioni @atmosphere libri "
8/31/2025, 6:23:22 PM,1965,99,0,1,"Settembre ci accoglie con tantissime novità interessanti! Sarà difficile scegliere pochi titoli! Sono curiosa di sapere quale vorreste assolutamente leggere 😍 %23libreria %23novitàlibri %23libri %23nuoveuscite %23libridaleggere "
8/21/2025, 12:20:19 PM,411,21,0,1,"Secondo voi questi meme sono adatti? Se avete letto questi libri, vi siete sentiti così durante la lettura? 🤣👀🫠 %23meme %23booksmemes %23memestiktok %23memeedit %23memeedition %23libridaleggere "
8/14/2025, 10:27:29 AM,637,39,0,0,"Io sono una grande amante dei meme e li utilizzo spesso, quindi non potevo non recensire i libri utilizzandoli!  %23meme %23booksmemes %23memestiktok %23memeedit %23memeedition %23libri "
8/7/2025, 4:31:44 PM,1045,52,1,3,"Un libro per..  Parte 4 🎬📚✍🏻 %23libridaleggere %23libri %23libriconsigliati %23consigliolibri %23estate %23booktok "
7/31/2025, 8:07:52 PM,1788,55,0,4,"Hai un volo e non sai cosa portare in valigia? Ecco 10 libri che durano quanto il tuo viaggio (o ti faranno dimenticare di essere a 10.000 metri d’altezza). ✨📚✈️ E se hai paura dell’aereo, puoi considerare i consigli adattandoli a un altro mezzo di trasporto 🚂⛴️🚙 %23libridaleggere %23libri %23libriconsigliati %23consigliolibri %23volare %23estate "
7/30/2025, 11:54:31 AM,582,22,0,0,"Dal 1 al 31 agosto con l’acquisto di due titoli Blackie edizioni, avrete in omaggio lo zainetto in cotone organico naturale 🌿💚 %23blackieedizioni %23promozione %23libri %23books %23regalo %23libridaleggere "
,
Mentions
@Adelphi,3
@Giulio,2
@Fazi,2
@atmosphere,2
@Edizioni,1
@addeditore,1
@L,1
@Mercurio,1
@NN,1
@Sellerio,1
@Neri,1
@Marsilio,1
,
Hashtags
libri,10
libridaleggere,9
consigliolibri,4
booktok,3
nuoveuscite,3
novitàlibri,3
booktoker,2
memeedition,2
adelphiedizioni,2
estate,2
booksmemes,2
libriconsigliati,2
memestiktok,2
adelphi,2
libreria,2
meme,2
memeedit,2
asmr,2
wrapup,1
promozione,1
novità,1
cosaholetto,1
volare,1
libriautunnali,1
blackieedizioni,1
fazieditore,1
libridisturbanti,1
einaudieditore,1
sconti,1
wrapupbooks,1
regalo,1
nuoveuscitelibri,1
einaudi,1
promofazi,1
promoadelphi,1
books,1
bookt,1
bookstagram,1
lettureottobre,1
