TikTok User Statistics
Username,lababooks
Nickname,Camilla | Lababooks ☕️☁️🎧
Country,
Follower Count,6327
Heart Count,180700
Video Count,454
Following Count,495
Likes Rate,6.8%
Comments Rate,0.1%
Shares Rate,0.14%
Total Engagement Rate,7.04%
Earnings Min,$4.74
Earnings Max,$7.45
Average Views,19379
Average Likes,1318
Average Comments,20
Average Shares,27
,
Videos
Date,Plays,Likes,Comments,Shares,Description
6/12/2024, 10:26:50 AM,153800,9780,95,234,"Quali sono i vostri libri preferiti? 🫶🏻 %23booktok %23booktoker %23booktokitalia %23bookreader %23booklover %23booktag %23bookrecommendations %23books %23bookshelf "
11/5/2025, 10:59:32 AM,24800,936,27,22,"Non vi riesco a spiegare la felicità 😭❤️‍🩹  @Adelphi Edizioni @Andrea Zanni purtroppo non riuscirò ad esserci questa sera ma ovviamente seguirò la live 🫂 %23booktok %23booktokitalia %23adelphiedizioni %23hankang %23unboxingvideo "
11/4/2025, 12:12:08 PM,18100,1116,40,12,"Alla fine ho cambiato edizione 🤞🏼 vediamo come va ❤️ %23booktok %23booktokitalia %23tbr %23ilcontedimontecristo %23booktoker "
11/3/2025, 10:54:56 AM,3122,334,11,2,"Letture del mese di ottobre 💖 %23booktok %23booktokitalia %23booktoker %23readingupdate %23wrapup "
10/31/2025, 6:27:52 PM,973,62,6,0,"Cr: Maeve di CJ Leede @Mercurio %23booktok %23booktokitalia %23halloween %23booktoker %23halloweensong "
10/30/2025, 5:56:55 PM,15600,1898,18,22,"Come se fossimo già al 31 dicembre ⭐️🧸 Ovviamente mancano due mesi quindi potrebbero aggiungersi altri libri 🤞🏼🤞🏼 %23booktok %23booktokitalia %23bestbooksoftheyear %23booklover %23booktoker "
10/24/2025, 12:02:29 PM,2393,232,4,6,"Aggiornamento di lettura 🧸🌧️ %23booktok %23booktokitalia %23readingupdate %23aggiornamentodilettura %23murakami "
10/16/2025, 12:25:41 PM,1027,92,3,1,"Ora che le giornate si fanno più buie ho bisogno di ricordarmi il mare vissuto quest’anno. ❤️‍🩹 %23seratonina %23sealife %23ilrumoredelmare "
10/14/2025, 5:59:49 PM,3967,381,30,5,"TBR 🧸🍂 Per il Gdl trovate il link sul profilo di @stanzatuttaperme 🫰🏼 %23booktokitalia %23gruppodilettura %23tbr %23ilcontedimontecristo %23orianafallaci "
10/13/2025, 6:29:59 PM,891,74,2,1,"aaaaah 🥹🫰🏼 %23sea %23marseille "
10/9/2025, 1:46:44 PM,22500,1898,19,44,"Il Nobel per la Letteratura 2025 va all’ungherese László Krasznahorkai 🥇 %23nobelprize %23premionobel %23letteratura %23nobelprize2025 "
10/9/2025, 11:22:18 AM,3307,177,2,3,"Non vedo l’ora di leggerliiii 🫶🏻🥹 @Adelphi Edizioni @Mercurio @Edizioni E/O  %23nuoveuscite %23booktok %23mercurio %23edizionieo %23adelphi "
10/8/2025, 11:37:15 AM,1459,160,4,0,"Aggiornamento di lettura 🤍 %23booktok %23booktoker %23booktokitalia %23readingupdate %23bookworm "
,
Mentions
@Mercurio,2
@Adelphi,2
@Andrea,1
@stanzatuttaperme,1
@Edizioni,1
,
Hashtags
booktokitalia,9
booktok,9
booktoker,6
readingupdate,3
booklover,2
tbr,2
ilcontedimontecristo,2
gruppodilettura,1
marseille,1
halloweensong,1
bookrecommendations,1
wrapup,1
adelphiedizioni,1
sea,1
ilrumoredelmare,1
bookreader,1
unboxingvideo,1
hankang,1
seratonina,1
nobelprize2025,1
adelphi,1
mercurio,1
premionobel,1
edizionieo,1
sealife,1
aggiornamentodilettura,1
bookworm,1
bestbooksoftheyear,1
halloween,1
orianafallaci,1
murakami,1
nuoveuscite,1
booktag,1
books,1
nobelprize,1
bookshelf,1
letteratura,1
