TikTok User Statistics
Username,labibliotecadiviola_
Nickname,Labibliotecadiviola
Country,
Follower Count,1166
Heart Count,15300
Video Count,101
Following Count,78
Likes Rate,5.4%
Comments Rate,0.15%
Shares Rate,0.06%
Total Engagement Rate,5.61%
Earnings Min,$0.86
Earnings Max,$1.35
Average Views,1377
Average Likes,74
Average Comments,2
Average Shares,0
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/10/2025, 1:00:54 PM,864,53,0,0,"Spero di uscire al più presto da questo loop😫"
8/6/2025, 7:36:42 PM,759,51,2,0,"⭐️⭐️⭐️⭐️⭐️/5 Le braci, Sándor Márai %23lebraci %23sandormarai %23booktokitalia📚🧿 %23booktok %23fypbooktok "
5/31/2025, 4:01:32 PM,6471,294,4,7,"5 gialli da non perdere!📚❤️ %23booktokitalia📚🧿 %23librigialli %23fypage "
5/4/2025, 1:38:19 PM,1621,28,2,0,"L’angelo della neve l’ho letto🙇🏻‍♀️  %23booktok %23booktokitalia📚🧿 %23libridaleggere %23fypbooktok "
4/10/2025, 4:26:51 PM,1225,24,0,0,"⭐️⭐️⭐️⭐️⭐️/5  @Giulio Einaudi editore  %23dovenonmihaiportata %23mariagraziacalandrone %23einaudi %23booktokitalia📚🧿 %23booktok "
4/2/2025, 9:33:56 AM,1158,98,2,1,"Voi quali libri avete letto?📚👀 %23booktokitalia📚🧿 %23booktok %23fypbooktok %23wrapup %23wrapupbook "
3/25/2025, 9:32:26 AM,672,31,7,2,"non riesco a spiegarvi quanto io abbia adorato questo libro🙇🏻‍♀️🙇🏻‍♀️  %23recensionelibri %23poverecreature %23alasdair %23booktokitalia📚🧿 %23booktok @Safarà Editore "
3/14/2025, 2:05:05 PM,727,39,0,0,"Se li avete letti fatemelo sapere🫶🏻🫶🏻 %23booktokitalia📚🧿 %23booktok %23nuovalettura %23fypbooktok "
3/8/2025, 6:16:10 PM,673,55,2,0,"Book haul🫶🏻🙇🏻‍♀️  %23booktok %23bookhaul %23booktokitalia📚🧿 %23fypbooktok "
3/5/2025, 10:38:23 AM,1172,111,2,0,"Letture di febbraio 2025📚 %23wrapupbooks %23booktokitalia📚🧿 %23fypbooktok %23recensionelibri %23aggiornamentidilettura "
2/26/2025, 3:37:14 PM,519,51,0,0,"Stelle per pianeti - Alessio Parmigiani @NN Editore 🫶🏻📚 %23booktokitalia📚🧿 %23fypbooktok %23nneditore %23stelleperpianeti %23booktok "
2/22/2025, 12:21:05 PM,674,58,3,0,"%23booktokitalia📚🧿 %23fypbooktok %23booktok "
,
Mentions
@NN,1
@Giulio,1
@Safarà,1
,
Hashtags
booktokitalia,11
booktok,9
fypbooktok,8
recensionelibri,2
fypage,1
stelleperpianeti,1
wrapup,1
libridaleggere,1
dovenonmihaiportata,1
librigialli,1
bookhaul,1
wrapupbooks,1
lebraci,1
einaudi,1
poverecreature,1
sandormarai,1
wrapupbook,1
nuovalettura,1
mariagraziacalandrone,1
alasdair,1
nneditore,1
aggiornamentidilettura,1
