TikTok User Statistics
Username,laragazzafagiolo
Nickname,laragazzafagiolo | BOOKTOK 📚
Country,
Follower Count,3727
Heart Count,71800
Video Count,889
Following Count,261
Likes Rate,3.93%
Comments Rate,0.33%
Shares Rate,0.17%
Total Engagement Rate,4.43%
Earnings Min,$2.72
Earnings Max,$4.28
Average Views,5898
Average Likes,231
Average Comments,19
Average Shares,9
,
Videos
Date,Plays,Likes,Comments,Shares,Description
2/6/2025, 6:15:45 PM,24400,306,18,2,"%23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere %23booktokitalia %23tbrlibri %23libri %23romanzi %23bookworm %23booktokitaliano %23booktoktyp %23libro "
1/11/2025, 6:15:07 PM,19200,898,40,51,"%23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere %23booktokitalia %23tbrlibri %23libri %23romanzi %23bookworm %23booktokitaliano %23booktoktyp %23libro "
4/3/2024, 6:23:32 PM,20700,606,84,17,"Risposta a @giulia piccola precisazione, anche se non penso ci si debba giustificare in nessun modo 😂  %23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere %23booktokitalia %23tbrlibri %23libri %23romanzi %23bookworm %23booktokitaliano %23booktokfyp %23libro "
11/11/2025, 6:15:30 PM,946,88,9,3,"Consiglio libri 📚  %23BookTok %23neiperte %23booktokitalia   %23books %23consiglidilettura"
11/9/2025, 6:23:25 PM,1421,125,10,6,"10 libri prima di fine ‘25 📚 %23BookTok %23neiperte %23booktokitalia   %23books %23consiglidilettura"
11/6/2025, 6:20:24 PM,1206,108,14,2,"Bookhaul 📚 %23BookTok %23neiperte %23booktokitalia   %23books %23consiglidilettura"
11/4/2025, 6:24:10 PM,793,85,10,3,"Consiglio libri 📚 Ce: @Il Saggiatore Casa Editrice @Moscabianca Edizioni @atmosphere libri @wojtekedizioni  %23BookTok %23neiperte %23booktokitalia %23books %23consiglidilettura "
11/2/2025, 6:31:00 PM,1419,129,5,10,"Letture del mese 📚 %23BookTok %23neiperte %23booktokitalia   %23books %23consiglidilettura"
10/30/2025, 6:19:35 PM,3184,178,15,12,"Consiglio libri 📚  Ce: @Adelphi Edizioni @Andrea Zanni @Pidgin Edizioni  %23BookTok %23neiperte %23booktokitalia  %23books %23consiglidilettura"
10/28/2025, 6:25:48 PM,1297,98,21,4,"Challenge di lettura 📚 @Blackie Edizioni  %23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere %23booktokitalia"
10/26/2025, 6:18:23 PM,1699,143,3,5,"Bookhaul 📚 C.e: @Adelphi Edizioni @Andrea Zanni @Neri Pozza editore @giulioperroneditore @mardeisargassiedizioni   %23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere %23booktokitalia"
10/23/2025, 6:24:33 PM,5384,253,21,15,"Consigli promo Neri Pozza 📚 @Neri Pozza editore  %23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere %23booktokitalia"
10/21/2025, 6:23:54 PM,2014,147,15,4,"Bookhaul 📚 %23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere %23booktokitalia"
10/19/2025, 6:15:21 PM,2054,145,4,4,"Consigli promo Saggiatore 📚 @Il Saggiatore Casa Editrice  %23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere %23booktokitalia  "
10/16/2025, 6:15:33 PM,2757,165,27,8,"Consiglio libri 📚  C.E citate: @wojtekedizioni @Adelphi Edizioni @Voland_Edizioni %23ponteallegrazie @FeltrinelliTok  %23libridelbooktok %23BookTok %23consigliolibri %23libridaleggere "
,
Mentions
@Adelphi,3
@Andrea,2
@wojtekedizioni,2
@Neri,2
@Il,2
@giulia,1
@mardeisargassiedizioni,1
@FeltrinelliTok,1
@Moscabianca,1
@atmosphere,1
@Voland_Edizioni,1
@Blackie,1
@Pidgin,1
@giulioperroneditore,1
,
Hashtags
BookTok,15
booktokitalia,14
libridelbooktok,9
consigliolibri,9
libridaleggere,9
consiglidilettura,6
neiperte,6
books,6
bookworm,3
tbrlibri,3
libri,3
booktokitaliano,3
romanzi,3
libro,3
booktoktyp,2
ponteallegrazie,1
booktokfyp,1
