TikTok User Statistics
Username,leggolibriinviaggio
Nickname,Emanuele Bosso
Country,
Follower Count,1805
Heart Count,11300
Video Count,96
Following Count,121
Likes Rate,6.98%
Comments Rate,0.13%
Shares Rate,0.13%
Total Engagement Rate,7.24%
Earnings Min,$1.35
Earnings Max,$2.13
Average Views,5417
Average Likes,378
Average Comments,7
Average Shares,6
,
Videos
Date,Plays,Likes,Comments,Shares,Description
6/8/2022, 11:45:21 AM,50600,3544,26,28,"L’incipit di “Oliva denaro” scritto da Viola Ardone è potentissimo. ✨📖♥️ %23booktok %23booktokitalia %23leggolibriinviaggio %23olivadenaro %23violaardone %23einaudi %23leggere %23romanzo"
5/29/2022, 12:21:13 PM,13100,1243,56,48,"📚I libri ci salvano la vita 📚♥️⠀Ascoltate e condividete le parole di Pier Vittorio Tondelli ✨✍️⠀“C’è stato un periodo della mia vita, dicevo, in cui l'affanno per me stesso, il fatto di dovermi personalmente curare di una mia risalita alla superficie, mi appariva troppo grande, uno sforzo superiore alle mie possibilità…”⠀%23leggolibriinviaggio %23booktok %23booktokit %23leggere %23book %23libri %23romanzo"
6/2/2022, 7:26:05 PM,2161,250,3,2,"Sto attraversando la Norvegia in treno. 🇳🇴📍♥️ %23leggolibriinviaggio %23booktok %23booktkitalia %23norvegia %23visitnorway %23travel %23viaggiare %23perte %23romanzo %23nord %23grandenord"
11/23/2024, 10:49:21 AM,1162,88,1,3,"L’islanda e le storie che continueremo a portarci dietro. 🇮🇸❤️‍🩹 %23islanda %23pinguinitatticinucleari "
10/2/2024, 8:17:52 PM,556,32,0,3,"Nessuno salverà le parole del nostro amore. @Giulio Einaudi editore  %23booktok %23booktokitalia "
9/22/2024, 1:43:56 PM,1820,59,3,4,"Sesta tappa ✨♥️ %23viaggio %23napoli %23scuderiedelquirinale "
9/14/2024, 1:56:02 PM,1317,60,3,2,"Chi era Ida Dalser?  %23venezia %23storia %23booktok %23booktokitalia %23romanzo "
8/25/2024, 12:06:39 PM,3674,137,3,4,"Quinta tappa ✨♥️ %23viaggio %23napoli %23napolisotterranea %23scudieri%23scuderiedelquirinale"
8/21/2024, 10:15:42 AM,732,16,0,1,"Sono stato a Venezia, ospite della casa editrice Longanesi, per incontrare Fabiano Massimi e per andare sui luoghi del suo nuovo romanzo, ""Le furie di Venezia"". Il 20 agosto del 1880 nasce a Sopramonte Ida Dalser, prima moglie di Benito Mussolini e madre del suo primogenito maschio Benito Albino. Perché sappiamo così poco di lei? Perché il regime l'ha perseguitata e poi cancellata? Il 20 agosto 2024, la sua storia torna alla luce  grazie al preziosissimo lavoro di Fabiano Massimi,: ""Le furie di Venezia"" è un thriller storico incredibile! Leggetelo!  %23venezia %23romanzo %23booktok %23booktokitalia "
8/14/2024, 11:55:04 AM,1130,51,1,3,"Quarta tappa ✨♥️ %23viaggio %23napoli %23scuderiedelquirinale "
8/12/2024, 11:47:28 AM,675,44,0,0,"Ho incontrato a Napoli Francesca Maria Benvenuto per scoprire insieme “L’amore assaje”, il suo romanzo d’esordio edito Mondadori. ✨♥️ Lo avete? Vi incuriosisce?  P.s. Ma quanto è bella la nuova libreria Mondadori? 🤩 @Mondadori %23booktok %23booktokitalia %23libri %23napoli "
8/5/2024, 6:42:18 PM,701,25,0,0,"Io non ho resistito e ho preso entrambe le cabin bag. Ma quali titoli scegliere? Ecco la lista - molto parziale - dei libri @Giulio Einaudi editore che vi consiglio di leggere ✨♥️ - “I dieci passi dell’addio” di Luigi Nacci  - “Il passeggero” di Cormac McCarthy  - “Dove non mi hai portata” di Maria Grazia Calandrone  - “Divorare il cielo” di Paolo Giordano  - “Le confessioni di Frannie Langton” di Sara Collins  - “La città dei vivi” di Nicola Lagioia - “L’arte di legare le persone” di Paolo Milone - “Ohio” di Stephen Markley - “Spatriati” di Mario Desiati  - “Solo un ragazzo” di Elena Varvello  - “Oh, William” di Elizabeth Strout - “Avere tutto” di Marco Missiroli  - “Ti prendo e ti porto via” di Niccolò Ammaniti  - “Resto qui” di Marco Balzano  - “Le acque del nord” di Ian McGuire Avete letto questi romanzi? Quali consigliate di recuperare? %23book %23booktok %23booktokitalia "
7/31/2024, 6:48:14 PM,346,9,0,0,"È stato un luglio pazzesco!  Non vedo l’ora di mostrarvi tutto. 🎬 ✨♥️"
7/17/2024, 10:55:51 AM,581,29,1,0,"Terza tappa ♥️ %23viaggio %23scuderie%23scuderiedelquirinale %23napoli "
7/12/2024, 5:07:58 PM,2704,87,9,4,"Vi consiglio 6 libri @Iperborea Casa Editrice 📚 La borsa è una buona scusa per conoscere meglio questa meravifliosa realtà editoriale ✨♥️ %23book %23booktokitalia %23booktoker "
,
Mentions
@Giulio,2
@Iperborea,1
@Mondadori,1
,
Hashtags
booktok,8
booktokitalia,7
napoli,5
romanzo,5
scuderiedelquirinale,4
viaggio,4
book,3
leggolibriinviaggio,3
venezia,2
libri,2
leggere,2
norvegia,1
booktoker,1
scuderie,1
booktokit,1
travel,1
grandenord,1
visitnorway,1
perte,1
booktkitalia,1
scudieri,1
islanda,1
pinguinitatticinucleari,1
storia,1
einaudi,1
violaardone,1
viaggiare,1
nord,1
napolisotterranea,1
olivadenaro,1
