TikTok User Statistics
Username,leggoquandovoglio
Nickname,Leggo Quando Voglio - Libri
Country,
Follower Count,5767
Heart Count,63600
Video Count,1609
Following Count,248
Likes Rate,5.78%
Comments Rate,0.48%
Shares Rate,0.1%
Total Engagement Rate,6.36%
Earnings Min,$4.29
Earnings Max,$6.75
Average Views,1162
Average Likes,67
Average Comments,5
Average Shares,1
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/15/2025, 3:46:16 PM,879,25,9,1,"I 10 libri che mi sono piaciuti meno nel 2024! %23BookTokItalia %23Libri %23Leggere "
1/13/2025, 3:45:50 PM,1518,71,37,3,"Su 179 libri letti nel 2024, ecco i dieci che ho amato di più! %23BookTokItalia "
10/27/2022, 12:30:14 PM,10900,722,31,14,"Ho letto un saggio molto interessante al riguardo e se siete interessati ve lo consiglio: è all’interno di Viaggi Immaginari di Kuzmin, edito Voland! %23BookTok %23BookTokItalia %23LeggoQuandoVoglio "
11/13/2025, 1:03:50 PM,241,15,0,0,"Come esprimere il dolore di un lutto? Body Art è un romanzo molto particolare nella carriera di Don DeLillo. Scritto dopo il suo capolavoro, Underworld, sembra quasi una risposta artistica a quel colosso. Quasi come se DeLillo ci dicesse che ora le regole sono cambiate e sentisse la necessità di seguirne di differenti. Mentre il postmoderno di Underworld consiste in una sovrastruttura precise, intricata e dettagliata, qui l’autore decide di estrinsecarlo togliendo, mostrando ciò che manca. La protagonista della storia è un Body Artist che perde la sua metà e si scontra con una verità: il lutto non si può espiare, dal lutto non si guarisce, il lutto non porta un significato, l’unica cosa che fa è toglierti tutto. E anche DeLillo toglie, mostrando uno stile che è come un corpo lasciato solo: fragile, effimero, confuso ma poetico.  Body Art più che un romanzo è arte pura: la dimostrazione di come l’essere umano ne abbia bisogno per uscire dai momenti più bui che la realtà gli mette davanti.  Se amate già DonDeLillo qui troverete uno dei suoi romanzi più intimi e significativi, se non l’avete ancora incontrato uno dei suoi testi più delicati e semplici da comprendere perché parla direttamente con l’essere umano e il suo dolore. A prescindere, Don DeLillo merita di essere provato, se non l’avete fatto dategli una possibilità! 💖 %23ReceQV%23BodyArt %23DonDeLillo %23Einaudi %23Booktokitalia  "
11/12/2025, 2:50:59 PM,308,18,0,0,"Il pendolo di Foucault di Umberto Eco più che leggerlo lo sto quasi studiando: ad ogni sessione di lettura ho una ventina di pagine aperte in contemporanea e il supporto di chat GPT per cercare di capire il più possibile. È un romanzo fortemente ironico il che ti porta, anche mentre stai faticando a comprenderlo, a divertirti tantissimo. 💖 %23BookTokItalia "
11/12/2025, 1:03:29 PM,296,19,0,0,"Essendo un’accumulatrice di libri, avevo il tanto ricercato e desiderato (e al momento fuori catalogo) Battle Royale in libreria da molti anni, pronto per essere letto e, finalmente, è arrivato il suo turno.  Capostipite del genere Battle Royale (che prende il nome appunto da lui) è il progenitore del survival game contemporaneo che va tanto di moda ancora oggi (Hunger Games, Squid Game ecc..): un ‘gioco’ a cui partecipano esseri umani (qui ragazzi giovanissimi) che hanno lo scopo di uccidersi vicendevolmente fino ad arrivare ad un unico vincitore.  Come tutte le opere di questo tipo, il libro unisce due elementi considerati agli antipodi: la violenza - qui più splatter che mai - e gli alti ideali. Il motivo per cui i personaggi si trovano dove sono è infatti legato a una distopia: è il governo a costringere i ragazzi a partecipare e lo fa per un fine meramente politico.  La struttura è regolata perfettamente, con pochissimi elementi in gioco ma ricorrenti e precisi. Ci sono pochissime invenzioni narrative e gli unici voli pindarici sono quelli dei giocatori che, come tutti gli esseri umani, non possono che sognare di uscirne vivi, anche se le probabilità sono grandemente a loro sfavore. Scritto in modo asciutto e freddo (in traduzione si percepisce meno perché vengono inseriti punti esclamativi persino nella narrazione onnisciente) questo libro vi farà provare contemporaneamente l’adrenalina del scoprire cosa succederà e la sensazione di ingiustizia per ciò che sta succedendo. Entrerete nel punto di vista di tantissimi di loro, a volte per accompagnarli fino alla fine e altre per vederli morire nel modo più atroce poco dopo averli incontrati.  Se non avete problemi con la violenza gratuita (qui secondo me peggiore di qualsiasi altro libro io abbia letto), apprezzate i survival game e/o amate leggere libri adrenalinici in cui posare il volume diventa impossibile, Battle Royale fa decisamente per voi! Ci rimane solo da pregare @Mondadori di farne una nuova edizione, bella come sanno fare solo loro e, esagero, anche con una nuova traduzione! 💖 Avete letto questo libro? Vi ispira? %23BookTokItalia "
11/11/2025, 2:38:22 PM,425,21,0,0,"Ieri la mia intenzione era leggere parte di tutti i libri che sto leggendo per Gruppi Di Lettura in modo da variare e non averli poi tutti insieme (Il pendolo di Foucault mi mette a dura prova perché è scritto con un carattere molto piccolo ed è molto denso). A Tomás Nevinson però non sono riuscita a fermarmi. Ogni volta che terminavo una parte sentivo l’esigenza di continuare, e così ho fatto.  💖 %23BookTokItalia "
11/11/2025, 1:09:07 PM,325,10,1,0,"‘Leggi troppo velocemente’ e invece no, dipende dal libro, dal giorno, dall’orario. Leggo al mio ritmo, quello che mi viene naturale. Se leggessi più lentamente sarebbe forzato e difficile tanto quanto se cercassi di leggere più velocemente. E allora sì che rischierei di non capire niente di ciò che leggo. Smettiamo di applicare agli altri le nostre capacità, siamo tutti diversi, così come i libri, ed è questo che rende arricchente parlare di libri e leggerli. 💖 %23BookTokItalia "
11/10/2025, 1:02:03 PM,348,12,0,0,"📚 Cosa state leggendo di bello? Io sto continuando a scalare la mia pila di libri in lettura e continuo ad essere entusiasta: una scorpacciata così credo di non essermela mai fatta 💖  Nella foto 2 trovate quelli in cui NON sono andata avanti questa settimana, nella 3 quelli che ho effettivamente letto da lunedì scorso a ieri! Sono più quelli che ho continuato che quelli no, quindi mi ritengo soddisfatta per la varietà 💖 Eccoli da quello che sto apprezzando di più a quello meno: Libri in lettura 18 (+ 1 rispetto alla settimana scorsa)  18. Viaggio da Pietroburgo a Mosca: (-1 posizione) Linguaggio ampolloso e artificiale 17. Mio fratello: (-1 posizione) Molto discorsivo 16. Che fine ha fatto Liz?: (-1 posizione) Linguaggio cinematografico 15. Il caso Mary Bell: (-2 posizioni)  Mi piace ma è lento 14. Il cannibale: (-3 posizioni) Premessa interessante 13. Holly: (-3 posizioni) Finché non compare Holly credo mi piacerà  12. Katabasis: (stessa posizione) Mi piace la trama ma dopo un capitolo sono soddisfatta. 11. L’alba sulla mietitura (audiolibro) (nuovo in classifica) Carino, per ora più degli altri! 10. Omicidi americani: (-1 posizione) Molto interessante 9. Il monaco: (-3 posizioni) Intrigante per ora 8. Le sette lune di Maali Almeida: (-4 posizioni) Per alcune cos’è bello per altre non da me. 7. miti di Chtulhu: (-4 posizioni) Alti e bassi in base al racconto  6. I parassiti: (-1 posizione) Molto promettente 5. Whistle (nuovo in classifica) Non leggevo un bell’horror fatto bene da così tanto 🥹 4. Il giardino segreto (nuov in classifica) Non l’avevo mai letto, per ora più bello delle aspettative!  3. Crossroads: (nuovo in classifica) Mi piace e devo solo capire quanto rispetto agli altri suoi 2. Il pendolo di Foucault: (stessa posizione) Amo leggerlo 1. Tomás Nevinson: (nuovo in classifica) Come scrive bene 💖 Voi cosa state leggendo? Vi stanno soddisfacendo le vostre letture? %23LibriSulComodino %23BookTokItalia %23LibriInLettura %23LettureInCorso "
11/8/2025, 3:24:12 PM,402,24,0,0,"Non ce la faccio a non guardare lo spoiler, è più forte di me 😂 %23booktokitalia "
