TikTok User Statistics
Username,letteraturaale
Nickname,alessia
Country,
Follower Count,28700
Heart Count,734900
Video Count,361
Following Count,286
Likes Rate,9.35%
Comments Rate,0.06%
Shares Rate,0.1%
Total Engagement Rate,9.51%
Earnings Min,$22
Earnings Max,$34.57
Average Views,18714
Average Likes,1749
Average Comments,11
Average Shares,19
,
Videos
Date,Plays,Likes,Comments,Shares,Description
2/4/2025, 2:32:50 PM,7507,342,8,2,"%23booktokitalia %23booktok %23libridaleggere %23booktoker @Giulio Einaudi editore @FeltrinelliTok @Mondadori "
1/22/2025, 2:41:02 PM,5436,157,6,3,"quando ieri ho pubblicato il video a proposito di questa saga non avevo la minima idea che oggi avremmo ricevuto questa notizia meravigliosa! non riesco ancora a crederci, ma non vedo l’ora! 🧡 @L’ippocampo Edizioni %23lecronachedellaceroedelciliegio %23booktokitalia %23booktok %23libridaleggere %23libriconsigliati "
1/20/2025, 2:55:53 PM,4373,198,11,8,"vi prego leggetelaaa👀🥹 %23booktok %23booktokitalia %23libridaleggere %23libriconsigliati @L’ippocampo Edizioni "
1/16/2025, 11:42:43 AM,4854,235,5,5,"@NN Editore 💛💛💛 %23booktok %23booktokitalia %23libriconsigliati %23libridaleggere "
1/1/2025, 12:24:12 PM,8076,509,23,0,"quest’anno ho azzardato tantissimo 😀😀 e il vostro obiettivo qual è?  %23goodreadschallenge %23goodreads %23BookTok "
12/16/2024, 2:16:49 PM,6029,235,4,4,"han kang, “atti umani” @Adelphi Edizioni 🖤  %23booktok "
12/8/2024, 3:03:49 PM,5965,400,0,0,"non troverete libri allegri qui 🤭👀 %23winterbooks %23booktok %23booktokitalia %23bookclub "
12/7/2024, 3:33:49 PM,8340,751,19,5,"wrap up di novembre ✨✨✨ %23wrapupbooks %23booktok %23booktokitalia %23reading @Adelphi Edizioni @Iperborea Casa Editrice @NN Editore "
12/5/2024, 10:28:54 AM,7361,336,11,2,"quanto è bella la copertina, vi prego😭😭 %23booktok %23booktokitalia %23reading "
12/2/2024, 12:46:02 PM,15500,1789,14,19,"è così che è iniziata… 📖 %23booktok %23booktokitalia %23bookclub %23hungergames %23hungergamesedit %23hungergamestok "
11/30/2024, 6:37:43 PM,143100,15300,31,181,"“Il piacere di essere toccati dalla grande arte” ❤️‍🩹 %23booktok %23booktokitalia %23reading %23reader "
11/29/2024, 9:30:30 AM,8030,737,11,5,"aggiornamentiii✨ (un po’ in ritardo🤭) @Adelphi Edizioni @Iperborea Casa Editrice @L. Vittoria %23booktok %23booktokitalia %23reading %23reader "
,
Mentions
@L,3
@Adelphi,3
@Iperborea,2
@NN,2
@FeltrinelliTok,1
@Giulio,1
@Mondadori,1
,
Hashtags
booktok,11
booktokitalia,10
reading,4
libridaleggere,4
libriconsigliati,3
reader,2
bookclub,2
goodreads,1
hungergames,1
BookTok,1
hungergamesedit,1
lecronachedellaceroedelciliegio,1
booktoker,1
goodreadschallenge,1
wrapupbooks,1
winterbooks,1
hungergamestok,1
