TikTok User Statistics
Username,lettrice.eclettica
Nickname,Bea | Lettrice eclettica 🔖📖
Country,
Follower Count,3708
Heart Count,87000
Video Count,366
Following Count,317
Likes Rate,8.15%
Comments Rate,0.16%
Shares Rate,0.42%
Total Engagement Rate,8.73%
Earnings Min,$2.82
Earnings Max,$4.43
Average Views,20263
Average Likes,1651
Average Comments,33
Average Shares,84
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/6/2025, 4:30:18 PM,131600,12300,110,668,"Recensioni lampo di libri gotici per la spooky season @FeltrinelliTok @ABEditore  %23booktokitalia %23neiperte %23spookyseason %23gothicbooks %23spooky "
9/27/2024, 1:12:48 PM,43400,1691,125,95,"Recensione de “Il Conte di Montecristo” in sintesi: Alexandre Dumas mio padre @Giulio Einaudi editore %23booktokitalia %23booktoker %23perte %23andiamoneiperte %23fyp %23ticonsigliounlibro %23libriconsigliati %23recensione %23recensiscolibri "
2/14/2025, 10:18:51 AM,44000,3845,44,88,"Consigli di lettura per San Valentino 💌❤️🫶🏻🩷 CE: @Giulio Einaudi editore @FeltrinelliTok @Adelphi Edizioni @ABEditore %23booktokitalia %23booktoker %23neiperteee %23fyp %23consiglidilettura %23ticonsigliounlibro %23sanvalentino %23stvalentinesday %23valentine "
11/6/2025, 6:22:17 PM,4200,152,16,6,"Nuova ossessione sbloccata per I diari della Speziale ✨ @jpopmanga %23mangatiktok %23idiaridellaspeziale %23manga %23mangahaul "
11/5/2025, 8:37:07 AM,1031,72,5,0,"Sono stata ghostata su vinted %23booktokitalia %23neiperte %23vinted %23bookhaul %23vintedhaul "
11/3/2025, 1:19:03 PM,1825,137,4,1,"Vlog al Lucca Comics & Games %23booktokitalia %23neiperte %23luccacomicsandgames %23vlog %23dailyvlogs  @LuccaComics&Games "
11/2/2025, 4:47:59 PM,1121,67,3,1,"Tutta la potenza emotiva che cerco in un libro in due parole: Lily King %23booktokitalia %23neiperte %23lilyking %23librichefannopiangere @Fazi Editore "
10/29/2025, 9:45:48 PM,1648,140,3,3,"Ti consiglio due libri ambientati a Parigi, tra Versailles e il Louvre ✨✨ Le rose di Versailles, il manga di Lady Oscar @jpopmanga  I tre moschettieri, di Alexandre Dumas (l’edizione @Giulio Einaudi editore è illustrata!) %23booktok %23neiperte %23versailles %23louvre %23paris "
10/26/2025, 1:03:23 PM,7620,459,21,7,"Inizia con me Dracula di Bram Stoker in %23asmr  @FeltrinelliTok  %23booktok %23neiperte %23dracula %23spookyseason "
10/24/2025, 4:38:35 PM,1203,114,7,1,"Prova che sono una mood reader, gentilmente offerta dalla pila di libri che vorrei iniziare ✨proprio ora✨ %23booktokitalia %23neiperte %23libridaleggere %23spookyseason %23moodreader "
10/21/2025, 1:42:48 PM,1281,74,10,1,"@Fazi Editore %23booktokitalia %23neiperte %23rebeccaross %23wildreverence "
10/20/2025, 5:26:31 PM,9601,785,15,39,"Recensioni lampo di libri gotici per la spooky season, parte 2 @Neri Pozza editore @Mercurio @FeltrinelliTok @ABEditore @Fazi Editore  %23booktokitalia %23neiperte %23spookyseason %23gothicbooks %23twilight "
10/13/2025, 1:28:18 PM,1962,139,25,6,"Recensione del primo volume di Le Rose di Versailles, il manga di Lady Oscar @jpopmanga  %23booktokitalia %23neiperte %23mangatok %23manga %23ladyoscar "
10/4/2025, 10:30:26 AM,33200,3145,77,273,"Vi mostro il cofanetto de Le Rose di Versailles, la storia di Lady Oscar. Edito @jpopmanga  Voi lo avreste spellicolato?  %23mangatok %23manga %23ladyoscar %23jpop "
,
Mentions
@jpopmanga,4
@FeltrinelliTok,4
@Giulio,3
@Fazi,3
@ABEditore,3
@LuccaComics,1
@Mercurio,1
@Neri,1
@Adelphi,1
,
Hashtags
booktokitalia,10
neiperte,10
spookyseason,4
manga,3
booktoker,2
gothicbooks,2
ticonsigliounlibro,2
mangatok,2
booktok,2
ladyoscar,2
fyp,2
andiamoneiperte,1
stvalentinesday,1
valentine,1
louvre,1
libridaleggere,1
libriconsigliati,1
lilyking,1
dracula,1
rebeccaross,1
dailyvlogs,1
recensione,1
mangatiktok,1
perte,1
moodreader,1
vinted,1
wildreverence,1
twilight,1
vlog,1
spooky,1
bookhaul,1
paris,1
luccacomicsandgames,1
vintedhaul,1
neiperteee,1
asmr,1
consiglidilettura,1
versailles,1
librichefannopiangere,1
recensiscolibri,1
sanvalentino,1
mangahaul,1
idiaridellaspeziale,1
jpop,1
