TikTok User Statistics
Username,libriconfragole
Nickname,Libriconfragole🍓
Country,
Follower Count,71800
Heart Count,1900000
Video Count,1302
Following Count,450
Likes Rate,0.89%
Comments Rate,0.01%
Shares Rate,0.03%
Total Engagement Rate,0.93%
Earnings Min,$50.73
Earnings Max,$79.71
Average Views,434593
Average Likes,3884
Average Comments,37
Average Shares,142
,
Videos
Date,Plays,Likes,Comments,Shares,Description
3/1/2025, 2:18:35 PM,123300,6707,42,421,"5 %23libri %23classici per chi ha tra i 20 e i 30 anni che dovresti leggere - anche se ne hai di più di anni! %23BookTok %23BookTokItalia %23Booklover "
2/9/2025, 2:55:10 PM,270100,15900,104,907,"5 %23libri da leggere se hai tra i 20 e i 30 anni 🍓 è stato uno dei miei primi video, ma oggi quali vi consiglio? %23BookTok %23BookTokItalia %23BookLover "
3/24/2023, 12:50:04 PM,6100000,32600,264,648,"Recensione molto CALMA di %23nerocomeilnostroamore %23theravenhoodita %23booktok %23booktokitalia %23libri %23libridaleggere %23flock %23spicy %23spicytok %23romance %23bookworm %23booklover %23libritiktok adv"
11/13/2025, 3:34:28 PM,603,82,2,1,"Vedo per la prima volta dal vivo The In-Between Bookstore di Edward Underhill, il libro che ho curato per la collana Dea Booklover Approved di @DeAgostini Libri 🥹🍓 disponibile dal 18 novembre ma già in preordine! %23libri %23BookTok %23BookTokItalia "
11/12/2025, 1:16:09 PM,616,63,2,0,"5 %23fumetti per %23bambini dagli 8 anni in su (ma anche 6/7 andrebbero bene alcuni) 🍓 %23libri %23BookTokItalia "
11/11/2025, 2:17:47 PM,1009,83,7,0,"3 %23outfit ispirati dalla mia nuova %23borsa @Label.rose 🍓 quale preferite? %23labelrose %23moda %23borse "
11/10/2025, 2:50:41 PM,1435,172,4,1,"Oggi %23storytime importante che coincide con la storia del libro che ho curato per @DeAgostini Libri in DeA Booklover Approved: avrei voluto all’epoca un libro come The In-Between Bookstore a comprendermi ❤️‍🩹 esce il 18/11 ma potete già preordinarlo! E state attenti sempre alla vostra %23salutementale ❤️‍🩹 %23libri %23BookTok %23BookTokItalia "
11/9/2025, 12:42:58 PM,1495,196,21,1,"Oggi vi porto con me alla scoperta dei miei diari del liceo… purtroppo non conosco vergogna ed eccoci qua con uno %23storytime su quando incontrai i %23jonasbrothers 🍓 %23ridere %23diario "
11/8/2025, 2:02:56 PM,1421,110,10,0,"Oggi %23unboxing della mia prima borsa @Label.rose 🍓 felicissimo del temporary che hanno aperto alla stazione termini a Roma, sono corso a comprarne una! ❤️ %23borse %23fashion %23labelrose "
11/7/2025, 2:36:39 PM,2113,238,4,13,"Tutti i %23libri arrivati in settimana 🍓 grazie sempre ad autorə e case editrici per gli omaggi ❤️ @DeAgostini Libri @Rizzoli @Chiari🌻 cinema-serieTV-libri @Giosué | LalibreriadiJosh @Timida libreria del Riccio @Zia Felicia @newtoncomptoneditori @Salani Editore @Queen Edizioni @Ilcastorolibri %23BookTok %23BookTokItalia "
11/6/2025, 3:20:33 PM,2964,413,27,1,"Tre cose di me, Libriconfragole, che forse… non sapevi! 🍓 The In-Between Bookstore di Edward Underhill uscirà il 18 novembre curato da me nella collana DeA Booklover Approved di @DeAgostini Libri ma potete già preordinarlo 🍓 %23libri %23BookTok %23BookTokItalia %23book "
11/4/2025, 9:47:34 PM,7677,1116,54,138,"È sempre così %23riflessione %23chuckbass "
11/4/2025, 1:36:48 PM,2020,217,6,0,"Tutti i %23libri letti a %23ottobre 🍓 fatemi sapere i vostri! %23BookTok %23BookTokItalia %23libriconsigliati "
11/3/2025, 2:43:36 PM,2194,256,6,1,"The In-Between Bookstore di Edward Underhill - il libro che ho curato per la collana DeA Booklover Approved di @DeAgostini Libri - uscirà il 18 novembre ma è già disponibile in preorder! Una storia che ci farà sentire capitə, amatə e accoltə 🫂 %23libri %23BookTok %23BookTokItalia %23libriconsigliati "
11/2/2025, 10:14:27 PM,1959,116,4,0,"Tre domande a Gareth Rubin, che dopo lo splendido The Turnglass torna in libreria con Longanesi con The Waterfall, meraviglioso giallo intricato e sorprendente! 🍓 %23libri %23LuccaCG25 %23BookTok %23BookTokItalia "
,
Mentions
@DeAgostini,5
@Label,2
@Chiari,1
@Salani,1
@Zia,1
@Giosué,1
@Timida,1
@Queen,1
@Ilcastorolibri,1
@newtoncomptoneditori,1
@Rizzoli,1
,
Hashtags
libri,11
BookTokItalia,10
BookTok,9
libriconsigliati,2
labelrose,2
borse,2
storytime,2
spicy,1
booklover,1
ottobre,1
diario,1
libridaleggere,1
jonasbrothers,1
riflessione,1
theravenhoodita,1
booktokitalia,1
salutementale,1
unboxing,1
fashion,1
LuccaCG25,1
spicytok,1
moda,1
book,1
classici,1
ridere,1
bookworm,1
outfit,1
nerocomeilnostroamore,1
flock,1
romance,1
libritiktok,1
chuckbass,1
Booklover,1
booktok,1
bambini,1
fumetti,1
BookLover,1
borsa,1
