TikTok User Statistics
Username,libriconguizzo
Nickname,guizzo🦖
Country,
Follower Count,14600
Heart Count,317900
Video Count,192
Following Count,397
Likes Rate,9.1%
Comments Rate,0.08%
Shares Rate,0.2%
Total Engagement Rate,9.38%
Earnings Min,$11.18
Earnings Max,$17.57
Average Views,20374
Average Likes,1854
Average Comments,15
Average Shares,40
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/7/2025, 7:32:52 PM,4101,452,4,8,"Wrap up Ottobre! %23book %23BookTok %23libri %23bookworm %23booktokitalia"
10/26/2025, 12:42:45 PM,4961,339,18,13,"“Un nuovo animale”, Ella Baxter, Cantoni Editore, @Marco Cantoni  %23book %23BookTok %23libri %23bookworm %23booktokitalia"
10/23/2025, 7:14:56 PM,3493,268,13,4,"“Nella carne”, David Szalay, @Adelphi Edizioni  %23book %23BookTok %23libri %23bookworm %23booktokitalia "
10/21/2025, 8:30:45 PM,28500,2404,35,91,"Sconti Bompiani!  %23book %23BookTok %23libri %23bookworm %23booktokitalia "
10/18/2025, 10:44:26 AM,4083,389,15,11,"“I baffi”, Emmanuel Carrère, @Adelphi Edizioni  %23book %23BookTok %23libri %23bookworm %23booktokitalia"
10/10/2025, 8:10:21 PM,10500,888,27,11,"Book haul! @Adelphi Edizioni @Giulio Einaudi editore  %23book %23BookTok %23libri %23bookworm %23booktokitalia"
10/5/2025, 2:18:50 PM,10400,905,5,15,"Wrap up di Settembre! %23book %23BookTok %23libri %23bookworm %23booktokitalia"
10/3/2025, 7:53:58 PM,2121,166,4,3,"“Scrittura cuneiforme”, Kader Abdolah, @Iperborea Casa Editrice  %23book %23BookTok %23libri %23bookworm %23booktokitalia "
9/23/2025, 6:35:24 PM,4736,459,4,10,"“Guerra”, Louis Ferdinand Céline, @Adelphi Edizioni  %23book %23BookTok %23libri %23bookworm %23booktokitalia"
9/20/2025, 7:56:54 PM,109800,11300,33,225,"5 libri imprescindibili! %23book %23BookTok %23libri %23bookworm %23booktokitalia "
9/13/2025, 8:47:47 AM,4993,319,6,8,"“L’urlo e il furore”, William Faulkner %23book %23BookTok %23libri %23bookworm %23booktokitalia "
9/7/2025, 12:45:42 PM,56800,4367,22,84,"5 libri che non avete mai visto sul booktok! %23book %23BookTok %23libri %23bookworm %23booktokitalia "
,
Mentions
@Adelphi,4
@Giulio,1
@Iperborea,1
@Marco,1
,
Hashtags
BookTok,12
booktokitalia,12
bookworm,12
libri,12
book,12
