TikTok User Statistics
Username,libros_libri_books_tktk
Nickname,Libros_libri_books
Country,
Follower Count,2762
Heart Count,16800
Video Count,396
Following Count,89
Likes Rate,2.48%
Comments Rate,0.15%
Shares Rate,0.4%
Total Engagement Rate,3.03%
Earnings Min,$1.99
Earnings Max,$3.13
Average Views,8271
Average Likes,204
Average Comments,12
Average Shares,32
,
Videos
Date,Plays,Likes,Comments,Shares,Description
5/26/2025, 2:08:37 PM,22300,681,34,18,"I miei suggerimenti (molto ma molto personali) per iniziare a leggere “Alla ricerca del tempo perduto” %23libros_libri_books  %23ioleggomolto  %23allaricercadeltempoperduto  %23booktoker  %23booklover "
1/1/2025, 8:43:48 PM,21700,861,82,20,"Leggere o non leggere “Alla ricerca del tempo perduto” questo è il dilemma… %23booklovers  %23booktok  %23librotiktok  %23libridaleggere  %23"
5/2/2024, 3:03:54 PM,73700,1074,35,443,"Quando la bellezza ti cattura già dalle prime pagine… @Neri Pozza editore  %23booktokitalia  %23libribooktokitalia  %23collaborazione %23consigliolibri "
11/12/2025, 8:07:01 PM,218,20,2,0,"Un nuovo meraviglioso libro di Abraham Verghese arriva in libreria  Grazie @Neri Pozza editore  %23libros_libri_books  %23ioleggomolto  %23booktokitalia  %23neripozzaeditore "
11/9/2025, 8:39:29 PM,168,9,2,0,"*“Il vento tra i mandorli” vide la luce nel 2013. Pur narrando la vicenda di una famiglia palestinese negli anni ’50, a tratti sembra sospeso nel nostro tempo, come se le ombre del passato si proiettassero fino al XXI secolo. Confesso: non mi ha trafitto l’anima quanto Ogni mattina a Jenin. Eppure la Storia — quella con la maiuscola, che appartiene a tutti e che nessuno dovrebbe ignorare — mi ha colpito con la forza di un destino ineluttabile. Se non l’avete ancora fatto, lasciatevi attraversare da queste pagine. Meglio ancora, leggete entrambi i romanzi: perché solo attraverso la conoscenza possiamo sperare di intravedere un mondo più giusto. Intanto, vi chiedo un istante: meno di due minuti per assaporare un frammento di questo libro, che troverete sfogliando il carosello. E voi, avete già incontrato queste storie?” %23libros_libri_books  %23ioleggomolto  %23booktokitalia  %23feltrinelli "
11/8/2025, 3:46:47 PM,478,48,2,3,"📦✨ Tre arrivi, tre emozioni. Ogni libro che varca la soglia di casa è una piccola dose di felicità… ma quando sono tre, la gioia si moltiplica! 📚 Una %23collaborazione inattesa e adorabile. 📚 Due acquisti impulsivi, frutto del mio dito veloce. 📚 E un piccolo errore: Infanzia non è ancora stato pubblicato come volume autonomo… ma a tutto c’è rimedio! 💡 Quale? Continuare con gli acquisti, ovviamente… sempre in formato Adelphi. Grazie mille di ♥️♥️♥️♥️♥️ @Adelphi Edizioni  @Andrea Zanni  %23libros_libri_books  %23ioleggomolto  %23collaborazione  %23adelphiedizioni "
11/5/2025, 8:09:38 PM,346,32,3,0,"Una recensione corale Grazie di ♥️ @Neri Pozza editore  %23libros_libri_books  %23ioleggomolto  %23collaborazione  %23neripozzaeditore  %23booktokitalia "
11/4/2025, 8:22:23 PM,406,40,1,1,"Uno… due… tre… Quattro! Libri che vorrei leggessero tutti. @Neri Pozza editore @Fazi Editore  %23libros_libri_books  %23ioleggomolto  %23collaborazione  %23neripozzaeditore   %23fazieditore "
11/3/2025, 8:54:03 PM,364,32,1,2,"Qualche mese fa ho letto Non dico addio di Han Kang, restando letteralmente ammaliata dalla sua prosa: dalla sua capacità di intrecciare le parole e trasformarle in poesia, in musica, arrivando a toccarmi nel profondo. Ora ho vissuto qualcosa di ancora più intenso ascoltando L’ora di Greco. L’esperienza è stata così coinvolgente che, per alcuni momenti, ho immaginato di avere Han davanti a me, mentre condividevamo una bevanda calda e lei mi raccontava la storia. Ho amato ogni minuto di ascolto. Ho sentito sulla mia pelle ogni emozione, ogni sentimento vissuto dai due protagonisti. Un libro meraviglioso. Un ascolto sublime. Avete mai letto qualcosa di questa autrice? E voi, che rapporto avete con gli audiolibri? @Adelphi Edizioni  %23libros_libri_books  %23ioleggomolto  %23booktokitalia  %23adelphiedizioni  %23audible "
11/2/2025, 8:29:18 PM,284,15,0,1,"Ha tutto: Una storia accattivante Personaggi incredibili  E una ambientazione meravigliosa  @Neri Pozza editore  %23libros_libri_books  %23ioleggomolto  %23booktokitalia  %23collaborazione  %23giftedby "
11/2/2025, 7:19:38 PM,432,43,1,0,"Vardo dopo la tempesta… Donne o… streghe? @Neri Pozza editore  %23libros_libri_books  %23ioleggomolto  %23booktokitalia  %23neripozzaeditore "
10/31/2025, 3:26:50 PM,407,33,1,0,"Un thriller troppo… thriller! 😂🤣 Grazie di ♥️ @Fazi Editore per una %23collaborazione incredibile  %23libros_libri_books  %23ioleggomolto  %23giftedby  %23fazieditore "
10/30/2025, 8:57:23 PM,434,39,1,1,"Meglio tardi… che mai! @Fazi Editore  %23libros_libri_books  %23ioleggomolto  %23booktokitalia  %23fazieditore "
