TikTok User Statistics
Username,littlelordfp
Nickname,LittleLordF | BookTok 📚
Country,
Follower Count,3655
Heart Count,37600
Video Count,202
Following Count,65
Likes Rate,5.24%
Comments Rate,0.14%
Shares Rate,0.12%
Total Engagement Rate,5.5%
Earnings Min,$2.7
Earnings Max,$4.24
Average Views,8753
Average Likes,458
Average Comments,12
Average Shares,10
,
Videos
Date,Plays,Likes,Comments,Shares,Description
6/29/2024, 10:15:42 AM,55800,3974,24,65,"Il tema della solitudine affrontato nei libri %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23booktiktoker %23libri %23libritiktok %23book"
7/23/2024, 8:13:13 PM,24100,457,45,40,"Un libro che mi ha scavato dentro, irriverente, duro, pungente… %23l%23libridaleggereb%23booktokitalial%23libriconsigliatib%23booktokb%23booktiktokerl%23libril%23libritiktokbook"
9/21/2024, 5:12:44 PM,28600,779,18,25,"Mondi alternativi in cui non vorremmo vivere, libri che lo raccontano !!! %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23booktiktoker %23libri %23libritiktok %23book"
11/10/2025, 8:26:59 PM,1739,173,6,3,"Il disincanto di un’epoca che balla sull’orlo dell’abisso, desvritta con maestria da Isherwood📚 %23libridaleggere %23booktokitalia %23libriconsigliati %23BookTok @Adelphi Edizioni %23book"
11/5/2025, 8:13:19 PM,1448,130,14,1,"Lo yoga non come fuga, ma come resa al caos: Carrère cerca la pace e trova se stesso a pezzi. %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book @Adelphi Edizioni "
10/31/2025, 8:06:43 PM,1199,45,4,2,"Ecco le mie letture del mese di Ottobre: - Lincoln nel bardo 3/5⭐️ - Va’, metti una sentinella 2/5⭐️ - Il gabbiano Jonathan Livingston 2,7/5⭐️ - La storia di un matrimonio 3,3/5⭐️ - Via da Las Vegas 3/5⭐️ - Il desiderio mi brucia 2,7/5⭐️ - La sparizione 2,5/5⭐️ %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book"
10/30/2025, 8:05:02 PM,648,39,4,1,"Una discesa lucida e disperata nell’abisso dell’autodistruzione %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book"
10/26/2025, 10:07:15 AM,9271,530,9,19,"La solitudine, l’irrazionale, le scelte… l’animo umano descritto e vivisezionato da grandi scrittori  %23l%23libridaleggereb%23booktokitalial%23libriconsigliatib%23booktokbook"
10/21/2025, 7:55:18 PM,1437,86,8,0,"Profondo e delicato.  Un libro che parla di vita, di scelte, che sa mettere a nudo l’America conservatrice  %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book"
10/17/2025, 8:19:17 PM,859,78,8,0,"Il gabbiano Jonathan Livingston — la libertà come atto di coraggio e conoscenza di sé %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book"
10/13/2025, 7:59:03 PM,1816,146,13,3,"Nuovi libri si aggiungono  %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book"
10/11/2025, 7:21:37 PM,1154,73,9,0,"Tanta attesa, grande delusione %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book"
10/6/2025, 7:58:25 PM,1130,112,4,0,"Un romanzo corale, visionario, autentico, struggente !!! %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book"
10/1/2025, 8:04:23 PM,1168,123,4,0,"Ecco le mie letture del mese di settembre: - una vita violenta 4/5⭐️ - La settimana bianca 3/5⭐️ - Acque morte 3,2/5⭐️ - Il terzo uomo 2,7/5⭐️ - Jules e Jim 2,4/5⭐️ - Storia di una capinera 4,2/5⭐️ - Il garofano rosso 2/5⭐️ %23libridaleggere %23booktokitalia %23libriconsigliati %23booktok %23book"
9/29/2025, 8:02:19 PM,938,138,12,0,"Questo romanzo è un grido di libertà e dolore. %23%23libridaleggere%23%23booktokitalia%23%23libriconsigliati%23%23booktok%23%23book"
,
Mentions
@Adelphi,2
,
Hashtags
booktokitalia,13
book,13
libridaleggere,13
libriconsigliati,13
booktok,12
booktokitalial,2
l,2
booktiktoker,2
libritiktok,2
libri,2
libridaleggereb,2
libriconsigliatib,2
booktiktokerl,1
BookTok,1
booktokb,1
booktokbook,1
libril,1
libritiktokbook,1
