TikTok User Statistics
Username,littlereadingwitch
Nickname,LittleReadingWitch
Country,
Follower Count,217
Heart Count,9032
Video Count,137
Following Count,942
Likes Rate,4%
Comments Rate,0.14%
Shares Rate,0.01%
Total Engagement Rate,4.15%
Earnings Min,$0.16
Earnings Max,$0.25
Average Views,668
Average Likes,26
Average Comments,0
Average Shares,0
,
Videos
Date,Plays,Likes,Comments,Shares,Description
5/18/2025, 8:09:12 AM,459,45,0,0,"Avevo smesso di leggere e di trovarmi nei libri.  Forse perché la mia testa ha iniziato a funzionare diversamente, forse perché sono semplicemente un’idiota in blocco del lettore o forse avevo solo bisogno di tornare in un posto che mi fa sentire a casa.  Anche quando non so dove tornare, i libri saranno sempre il mio porto sicuro.  %23salonedellibro %23salto2025 %23booktok %23booktoker %23bookstagram %23bookstagrammer"
3/15/2025, 5:01:20 PM,451,48,2,0,"How life sounds without binge eating 💜 %23bed %23dca %23giornatamondialecontroidca %23taylorswift %23taylorsversion %23erastour"
1/3/2025, 8:27:05 PM,435,14,0,1,"Visto che “la vegetariana” e “convalescenza” non mi avevano devastato abbastanza, torno da Han Kang e dalla sua meravigliosa penna. Non vedo l’ora di scoprire meglio l’autrice vincitrice del nobel 2024 @Adelphi Edizioni  %23hankang %23corea %23letteraturacoreana %23letteraturaasiatica %23asia %23coreadelsud %23coreadelnord %23nobel %23letteratura %23scrittura %23nobelprize %23booktok %23bookstagram %23adelphiedizioni "
1/2/2025, 9:16:55 PM,338,7,0,0,"2 Gennaio è tempo di propositi per il nuovo anno.  Per il 2025 ho deciso di fissarne di parzialmente realistici e di non arrabbiarmi se non dovessi riuscire.  Ci vediamo a Dicembre per sapere quanti ne ho mantenuti! %23booktok %23bookstagram %23booktoker %23propositi %23buonipropositi %232025 %23libri %23tbr %23salonedellibro %23editoria %23gennaio %23gennaio2025 %23podcast %23librerie %23kindle %23audible %23audiolibri %23libricartacei %23fantasy %23romantasy %23manga %23animeedit %23mangatok %23animetok "
12/31/2024, 8:42:22 PM,423,18,1,0,""
12/25/2024, 11:35:33 AM,4171,104,3,0,"Non è stato proprio l’anno più semplice o più felice e probabilmente guardando indietro cercheró sempre più di dimenticarlo. Ma nel processo spero sempre di ricordare i momenti di gioia che mi hanno portato fino a qui. Buon Natale a tutti %23natale %23gracieabrams %23thatsmylife %232024 %23booktok %23booktoker %23taylorswift %23erastour %23salonedellibro %23amore %23dca %23ricovero"
12/24/2024, 1:02:34 PM,342,18,0,0,"Oggi in tenuta da battaglia perchè 1 - fa freddo 2 - ho i capelli di mer** Peró sono contentissima per le caselline e triste che sono finite @Il Saggiatore Casa Editrice ti ho amato tanto questo dicembre  %23booktok %23bookstagramespaña  %23calendario %23calendariodellavvento %23calendarioilsaggiatore %23dicembre %23natale %23vigiliadinatale "
12/23/2024, 2:06:16 PM,443,23,5,0,"Anna come va la lettura di Fangs? Così  %23manga %23bl %23yaoi %23vampiri %23trash %23mangatok %23booktok %23bookstagram %23booktoker %23animetok %23fangs %23fangsmanga "
12/22/2024, 11:55:35 AM,302,12,0,0,"Come al solito sempre in ritardo.  Scusate @Il Saggiatore Casa Editrice  %23booktok %23bookstagram %23calendarioavvento %23avvento %23adventcalendar %23dicembre %23natale %23christmas %23booktoker %23libri %23books %23lovebooks %2324booksofchristmas "
12/20/2024, 9:24:45 PM,65,9,0,0,"Finalmente!! %23bookworm %23BookTok %23booktoker %23libri %23books %23booklover %23taylorswift %23swiftie %23swifttok %23erastour "
12/20/2024, 2:14:13 PM,312,7,0,0,"Io comunque credo di aver sbagliato casella @Il Saggiatore Casa Editrice  %23adventcalendar %23booktok %23regalodinatale %23booktoker %23avvento %23ilsaggiatore "
12/19/2024, 8:37:07 AM,284,16,0,0,"Giorno 19 e sono molto triste che sta per finire!  @Il Saggiatore Casa Editrice  %23calendario %23calendarioavvento %23BookTok %23bookstagram %23dicembre %23natale %23libri %23bookstagrammer %23ilsaggiatore %23avvento %23booktoker "
,
Mentions
@Il,4
@Adelphi,1
,
Hashtags
booktoker,8
booktok,8
bookstagram,6
libri,4
natale,4
salonedellibro,3
dicembre,3
erastour,3
avvento,3
taylorswift,3
BookTok,2
manga,2
animetok,2
dca,2
calendario,2
bookstagrammer,2
adventcalendar,2
mangatok,2
calendarioavvento,2
books,2
ilsaggiatore,2
editoria,1
audible,1
letteratura,1
amore,1
podcast,1
letteraturacoreana,1
coreadelsud,1
adelphiedizioni,1
2024,1
booklover,1
yaoi,1
fantasy,1
libricartacei,1
gennaio2025,1
bl,1
corea,1
hankang,1
calendarioilsaggiatore,1
bed,1
christmas,1
gennaio,1
salto2025,1
thatsmylife,1
trash,1
ricovero,1
tbr,1
swiftie,1
swifttok,1
animeedit,1
bookworm,1
vigiliadinatale,1
regalodinatale,1
gracieabrams,1
nobel,1
kindle,1
calendariodellavvento,1
asia,1
buonipropositi,1
bookstagramespaña,1
giornatamondialecontroidca,1
librerie,1
audiolibri,1
2025,1
lovebooks,1
vampiri,1
fangsmanga,1
scrittura,1
taylorsversion,1
letteraturaasiatica,1
coreadelnord,1
romantasy,1
nobelprize,1
fangs,1
24booksofchristmas,1
propositi,1
