TikTok User Statistics
Username,logosandbooks
Nickname,Logos&Books🎧📚
Country,
Follower Count,3313
Heart Count,61400
Video Count,606
Following Count,568
Likes Rate,7.4%
Comments Rate,0.38%
Shares Rate,0.21%
Total Engagement Rate,7.99%
Earnings Min,$2.5
Earnings Max,$3.94
Average Views,5931
Average Likes,438
Average Comments,22
Average Shares,12
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/6/2024, 10:10:25 PM,23300,1309,13,15,"Qui per dirvi che non è vero che non vi piacciono i saggi, non avete solo trovato quelli giusti😌 @Adelphi Edizioni @effequ @Rizzoli @Il Saggiatore Casa Editrice @nottetempo edizioni  %23booktok %23booktokitalia %23books %23libri %23consigliolibri %23libridaleggere %23bookworm %23fyp %23neiperte %23virale "
11/7/2024, 7:17:22 PM,26000,1304,60,31,"Continuano i consigli librosi e dopo la preview di ieri sera non potevo che approfondire con 10 minuti di sproloqui😂 a voi piacciono i saggi?  %23booktok %23booktokitalia %23books %23libri %23consigliolibri %23libridaleggere %23libriconsigliati %23reading %23bookworm %23fyp %23neiperte %23virale "
6/28/2024, 4:51:09 PM,21900,2452,24,96,"Vi parlo di un saggio che mi ha LETTERALMENTE folgorata. È un must 🫶 @Giulio Einaudi editore  %23booktok %23booktokitalia %23libri %23consiglidilibri %23libridaleggere %23reading %23books %23bookworm %23fyp %23neiperte %23viral "
11/11/2025, 10:56:25 AM,1619,128,20,2,"Ero pronta a propormi per entrare nella giuria ma quando ho scoperto che devi rileggere 3 volte ogni titolo finalista mi sono ritirata 😂💀📚♥️ %23booktok %23booktokfyp %23bookerprize "
11/8/2025, 11:41:08 AM,4849,213,39,1,"Styling trend Barbour + Adelphi rivisitato in pregnancy edition 😂 Chiedo scusa per il cringe 🥶 %23booktok %23booktokfyp %23booktokitalia  %23neiperte %23viral "
11/7/2025, 12:38:29 PM,1639,138,23,3,"Ranking dei 6 titoli finalisti al Booker prize 🤓 ci aggiorniamo lunedì 📚 @Adelphi Edizioni @NN Editore  %23booktok %23booktokitalia %23bookworm %23consigliolibri %23neiperte "
11/5/2025, 5:54:12 PM,835,114,18,5,"Wrap up di ottobre tra rumori molesti e vuoti di memoria ✨ @Adelphi Edizioni @Giulio Einaudi editore @giulioperroneditore @Mondadori  %23booktok %23booktokitalia %23wrapup %23wrapupbooks %23viral "
11/2/2025, 11:53:00 AM,1057,144,18,3,"Wrap up di ottobre versione rapida.. poi ne parliamo meglio 🤓📚 %23booktok %23booktokitalia %23wrapup %23wrapupbooks %23fyp "
10/31/2025, 1:53:56 PM,790,91,27,4,"Ve lo consiglio io un titolo veramente spooky 💀 ringraziamo la nostra massima esperta di stregoneria per avercelo scovato @Alessia 🌱 Talee letterarie 💜 %23booktok %23booktokitalia %23saggi %23bookworm %23fyp "
10/30/2025, 11:03:56 AM,581,79,10,1,"Come sta andando la mia Booker Prize Challenge? 👀 %23booktok %23booktokitalia %23reading %23bookworm %23fyp "
10/24/2025, 7:00:19 PM,2371,194,16,7,"Vi mostro un po’ di nuovi arrivi in libreria, tra nuove uscite e un prestito in biblioteca: saggi interessanti ed un thriller📚🤓 -Un problema musicale di Oliver Sacks @Adelphi Edizioni  - Caccia alle streghe, guerra alle donne di Silvia Federici (Nero) - Unspeakable di Martina Stefanoni @Prospero Editore  - Cuore capovolto di Paola Barbato @Neri Pozza editore  %23booktok %23booktokitalia %23gifted %23nuoviarrivi %23books "
10/22/2025, 1:47:07 PM,906,102,14,4,"Vlog di una giornata cozy uggiosa e autunnale 🍂📚 %23booktok %23booktokitalia %23viportoconme %23cozyvlog %23fallvibes "
10/21/2025, 1:34:36 PM,1028,98,17,2,"Scusate per l’emotional overload ma era inevitabile 🥹 Grazie ancora di cuore @Andrea Zanni @Adelphi Edizioni ♥️ %23booktok %23booktokitalia %23unboxing %23gifted %23fyp "
10/20/2025, 10:32:37 AM,830,94,22,3,"Aggiornamento di lettura: tanti libri belli, una delusione & qualche difficoltà 🤓📚 @Adelphi Edizioni @Mondadori @Giulio Einaudi editore  %23booktok %23aggiornamento %23lettura %23bookworm %23fyp "
10/16/2025, 11:55:43 AM,1271,120,17,10,"Recensione di “Pensare senza parole” edito @Adelphi Edizioni che ringrazio ancora per la copia 📚♥️  %23booktok %23booktokitalia %23consigliolibri %23gifted %23neiperte "
,
Mentions
@Adelphi,7
@Giulio,3
@Mondadori,2
@Andrea,1
@effequ,1
@NN,1
@Neri,1
@nottetempo,1
@Il,1
@giulioperroneditore,1
@Alessia,1
@Rizzoli,1
@Prospero,1
,
Hashtags
booktok,15
booktokitalia,13
fyp,8
bookworm,7
neiperte,6
consigliolibri,4
books,4
viral,3
libridaleggere,3
gifted,3
libri,3
reading,3
wrapup,2
booktokfyp,2
wrapupbooks,2
virale,2
bookerprize,1
nuoviarrivi,1
aggiornamento,1
libriconsigliati,1
viportoconme,1
unboxing,1
lettura,1
fallvibes,1
consiglidilibri,1
cozyvlog,1
saggi,1
