TikTok User Statistics
Username,lollopop90
Nickname,Lollopop | Books&Co. 📚
Country,
Follower Count,1705
Heart Count,33500
Video Count,470
Following Count,629
Likes Rate,9.24%
Comments Rate,1.86%
Shares Rate,0.06%
Total Engagement Rate,11.16%
Earnings Min,$1.33
Earnings Max,$2.08
Average Views,762
Average Likes,70
Average Comments,14
Average Shares,0
,
Videos
Date,Plays,Likes,Comments,Shares,Description
12/31/2024, 9:13:09 AM,2123,127,35,1,"What a ride!!!  Le migliori letture del mio 2024 %23bookreview %23booktok %23booktokitalia %23bookdiscussion %23bookshelf %23books %23libri %23booktoker %23bookreview "
11/13/2025, 8:15:13 AM,275,43,4,0,"Bello ma non ci vivrei, anche perché soffro di vertigini e sugli alberi non ci salgo! %23booktokitalia %23booktok %23books %23libri %23recensione "
11/12/2025, 8:06:30 AM,646,85,42,2,"Aiutatemi a scegliere il mio libro per il retreat di lettura alla Baita di @barattoliandco  Il voto di @Gaia Lorusso vale doppio 😂 %23booktokitalia %23booktok %23books %23libri %23tbr "
11/11/2025, 8:00:12 AM,330,42,6,0,"Un libro sulla danza che non balla… %23libri %23booktokitalia %23booktok %23books %23graphicnovel "
11/10/2025, 8:03:28 AM,780,52,8,0,"Un bel mix di cose viste nell’ultimo periodo. Dalla più insignificante alla più devastante… %23booktokitalia %23booktok %23film %23serietv %23tvshow "
11/7/2025, 8:32:20 AM,447,66,17,0,"3/4 nel percorso per rileggere l’amica geniale. Al momento confermo solo amore infinito per questa storia. @Edizioni E/O  %23libri %23booktokitalia %23booktok %23books %23recensioni "
11/6/2025, 11:14:38 AM,483,67,15,0,"Che privilegio essere a pochi metri da Han Kang e ascoltarla! %23libri %23booktokitalia %23booktok %23books %23presentazione Grazie @Adelphi Edizioni per avercela portata in Italia!"
11/3/2025, 9:03:30 AM,1256,102,9,1,"Solo la m0rte ci impedirà di finire questo ben di Dio ma lo accetteremo per non avremo scelta! %23libri %23booktokitalia %23booktok %23books %23tbr "
10/31/2025, 8:08:35 AM,1338,101,13,0,"In questo mese ho iniziato a riappropriarmi del mio tempo e mi hanno accompagnato autori e autrici eccezionali! %23libri %23booktokitalia %23booktok %23books %23wrapup "
10/30/2025, 8:36:01 AM,853,69,2,0,"Mi sono perso %23anniernaux in Italia ma l’ho rievocata con le mie letture! %23libri %23booktokitalia %23booktok %23recensione  @L'orma editore "
10/29/2025, 8:43:26 AM,487,59,17,1,"%23invitedby @Iperborea Casa Editrice a questo incontro speciale con Ben Machell per il suo “Cacciatori di tenebre”, il libro perfetto per la %23spookyseason  %23booktokitalia %23libri %23booktok "
10/28/2025, 7:58:42 AM,444,51,8,0,"Ritrovare un amico dopo anni e ricordarsi quanto gli si vuole bene! È quello che mi è successo tornando tra le pagine di Jonathan Coe con La casa del sonno!  %23books %23libri %23booktok %23booktokitalia %23recensione "
10/27/2025, 8:03:09 AM,445,51,8,1,"E voi quale titolo vorreste leggere prima della fine? %23books %23libri %23booktok %23booktokitalia "
,
Mentions
@Iperborea,1
@L,1
@barattoliandco,1
@Gaia,1
@Edizioni,1
@Adelphi,1
,
Hashtags
booktokitalia,13
booktok,13
libri,12
books,10
recensione,3
tbr,2
bookreview,2
presentazione,1
booktoker,1
wrapup,1
film,1
spookyseason,1
recensioni,1
graphicnovel,1
invitedby,1
serietv,1
tvshow,1
anniernaux,1
bookdiscussion,1
bookshelf,1
