TikTok User Statistics
Username,macchinempatiche
Nickname,Macchine Empatiche 📚
Country,
Follower Count,1816
Heart Count,53900
Video Count,287
Following Count,365
Likes Rate,3.46%
Comments Rate,0.21%
Shares Rate,0.2%
Total Engagement Rate,3.87%
Earnings Min,$1.32
Earnings Max,$2.07
Average Views,5165
Average Likes,178
Average Comments,10
Average Shares,10
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/12/2024, 6:33:20 PM,17600,629,61,26,"“Le notti bianche” di Fëdor Dostoevskij (1848) 📖 %23libriconsigliati %23consiglidilettura %23letteraturarussa %23letteratura %23libritiktok %23dostoevsky %23classicidellaletteratura %23CapCut "
9/28/2024, 11:56:32 AM,22600,630,27,9,"Avrei potuto citarne altri mille 😊 %23libritiktok %23libriconsigliati %23consiglidilettura %23libri %23fumetti %23vitadalettrice "
11/10/2025, 2:03:39 PM,460,41,1,0,"Il libro è “Una stanza tutta per sé - Dove scrivono i grandi scrittori” di Alex Johnson, edito @L’ippocampo Edizioni 📖 Un’altra cosa che consiglio se vi interessano i dietro le quinte della letteratura, è la mia newsletter “Macchine Empatiche - Storie dentro e dietro ai libri” dove ogni mese diamo uno sguardo alle abitudini e ai processi creativi di un grande scrittore o di una grande scrittrice. La trovate su Substack 💌 %23libriconsigliati %23consiglidilettura %23libritiktok %23letteratura %23leggeresempre "
11/6/2025, 2:26:10 PM,1054,78,11,0,"Di quale autrice o autore leggeresti TUTTO?  A questo giro ho comprato (e iniziato a leggere): 📖 L’altra figlia 📖 Gli anni  di Annie Ernaux @L'orma editore  %23leggeresempre %23libritiktok %23letteratura %23leggerelibri "
10/29/2025, 8:47:34 AM,547,55,13,0,"Ieri sera Annie Ernaux è stata insignita del Premio Europeo Rapallo BPER Banca per “La migliore scrittrice europea” e ha incontrato lettrici e lettori a @Palazzo Ducale Genova 📚 @L'orma editore "
9/4/2025, 12:12:52 PM,372,30,3,0,"Wrap up delle letture di agosto… Poche ma buone, come si suol dire 😎 %23wrapupbooks %23libritiktok %23vlog %23leggerechepassione "
8/27/2025, 6:02:55 PM,525,23,11,0,"Qual è l’ultimo libro a cui hai dato 5 stelle? ⭐️⭐️⭐️⭐️⭐️ %23leggerechepassione %23leggeresempre %23libriconsigliati %23libritiktok %23consiglidilettura "
8/25/2025, 4:10:13 PM,834,80,1,1,"I must read di Jane Austen: 🌷 Orgoglio e pregiudizio  🌷 Emma 🌷 Ragione e sentimento Li sto rileggendo per preparare un approfondimento sulla tecnica narrativa di Jane Austen nella mia newsletter (link in bio), quindi… stay tuned 😉  %23janeausten %23consiglidilettura %23libridaleggere %23libriconsigliati %23libritiktok "
8/22/2025, 8:37:36 AM,513,35,0,0,"Leggere mentre fuori piove è extra piacevole 🌧️☺️ %23leggerechepassione %23leggeresempre %23bookworm "
8/19/2025, 5:17:41 PM,540,36,4,1,"Crescendo tendiamo a dimenticarlo, ma i libri per l’infanzia sono spesso meravigliosi 💝 %23libriperbambini %23libridaleggere %23libritiktok %23bookworm "
8/17/2025, 1:45:12 PM,565,30,2,0,"Basta una piccola cosa… Fare colazione fuori, leggere un buon libro, passare la sera al cinema, giocare con Giotto 🐕💖📚☕️ %23bookish %23bookworm %23libritiktok %23shortvlog "
8/14/2025, 3:34:48 PM,1133,73,4,1,"Stephen King often gets criticized for his endings, and he knows it 😂 I didn’t remember the cameo and those references in It Part Two %23stephenking %23bookish %23litterature "
8/12/2025, 11:17:33 AM,877,69,0,1,"📖 “Il vino della solitudine” di Irène Némirovsky @Adelphi Edizioni  %23consiglidilettura %23lettureconsigliate %23libritiktok %23letteratura %23libridaleggere "
8/7/2025, 11:24:58 AM,24700,694,13,105,"Sono alle prese con “Bozze non corrette”, un giallo in cui per scoprire l’assassino di un famoso scrittore bisogna calarsi nei panni del suo correttore di bozze e stanare tutti gli errori e i refusi. Una bella sfida sotto l’ombrellone, meno semplice di quel che potrebbe sembrare.  Per supporto psicologico, @Concetta Piro 🎬📚 e @laragazzafagiolo | BOOKTOK 📚 hanno messo su un gruppo di lettura in cui ci si sostiene e ci si confronta. Io sono rimasta indietro, ma è comunque bello sapere di non essere sola 😉 ✒️ Stefano Bartezzaghi, @Mondadori  %23librogame %23bozzenoncorrette %23libriconsigliati %23libritiktok "
,
Mentions
@L,3
@Palazzo,1
@Concetta,1
@Mondadori,1
@laragazzafagiolo,1
@Adelphi,1
,
Hashtags
libritiktok,11
libriconsigliati,6
consiglidilettura,6
leggeresempre,4
letteratura,4
leggerechepassione,3
libridaleggere,3
bookworm,3
bookish,2
libriperbambini,1
classicidellaletteratura,1
dostoevsky,1
litterature,1
bozzenoncorrette,1
leggerelibri,1
libri,1
janeausten,1
stephenking,1
librogame,1
vlog,1
CapCut,1
wrapupbooks,1
lettureconsigliate,1
shortvlog,1
letteraturarussa,1
fumetti,1
vitadalettrice,1
