TikTok User Statistics
Username,martina.ontherocks
Nickname,Sì, un’altra Martina 📚
Country,
Follower Count,3284
Heart Count,40900
Video Count,462
Following Count,465
Likes Rate,10.62%
Comments Rate,1.76%
Shares Rate,0.26%
Total Engagement Rate,12.64%
Earnings Min,$2.59
Earnings Max,$4.07
Average Views,1289
Average Likes,136
Average Comments,22
Average Shares,3
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/7/2024, 10:10:50 PM,3213,258,50,4,"Raro esemplare di questa Martina nel suo elemento naturale 🙂‍↔️ Ps: il primo video della rubrica è fissato sul profilo %23booktokitalia📚🧿 %23booktok %23leggeresempre %23booktokfyp %23booktokunderground %23libridaleggere %23libriconsigliati %23books %23libri %23leggotralerighe %23bookranking "
6/8/2023, 6:13:45 PM,1628,134,12,1,"E a voi perché piace leggere? %23booktokitalia %23booktok %23bookworm %23reading %23recensionelibri %23dentibianchi %23zadiesmith %23dostoevski %23trilogiadinewyork %23paulauster "
11/9/2025, 8:06:45 PM,549,95,28,4,"E comunque nelle stesse pagine si cita Frankenstein, non potevo scegliere meglio la mia lettura del periodo 🥹 %23booktokitalia %23libridaleggere %23libriconsigliati %23libri %23ticonsigliounlibro @Mondadori "
11/1/2025, 9:35:09 PM,2117,248,34,7,"Mese di letture glorioso ✨ @L'orma editore @Adelphi Edizioni @ABEditore @Giulio Einaudi editore @FeltrinelliTok  %23booktokitalia %23libridaleggere %23libriconsigliati %23libri %23ticonsigliounlibro "
10/30/2025, 7:03:01 PM,1264,143,8,3,"Repost dopo un anno di un video che mi piace ancora tanto 💓 %23booktokitalia %23libridaleggere %23libriconsigliati %23perte %23libri  "
10/28/2025, 6:13:06 PM,922,107,14,5,"Mentre guardi questo video probabilmente ho già iniziato a leggerlo 🧚🏻‍♀️ Grazie mille @Andrea Zanni @Adelphi Edizioni 💓 %23booktokitalia %23libridaleggere %23libriconsigliati %23libri %23libribrevi "
10/21/2025, 8:48:52 PM,1352,161,36,1,"Leggere libri belli funziona più della skincare su di me %23booktokitalia %23libridaleggere %23libri %23libriconsigliati %23neiperteee "
10/15/2025, 9:23:03 PM,1078,136,23,5,"Tre icone che mi hanno cambiato un po’ modo di guardare la vita ✨ %23booktokitalia %23libridaleggere %23ticonsigliounlibro %23libri %23perte "
10/10/2025, 9:00:33 PM,1445,141,23,3,"Devo cercare sinonimi di “affascinante” %23booktokitalia %23libridaleggere %23ticonsigliounlibro %23libriconsigliati %23libri  "
10/8/2025, 8:42:08 PM,688,73,17,1,"So’ soddisfazioni  %23booktokitalia %23perte %23libri %23booktokfyp "
10/6/2025, 9:22:12 PM,757,83,8,4,"Risposta a @simpatag  E ora mi è tornata la voglia di leggere Durastanti 🙂‍↕️ %23libridaleggere %23ticonsigliounlibro %23booktokitalia %23libri %23libriconsigliati @minimumfax "
10/5/2025, 11:12:33 AM,1177,141,18,5,"Me lo avevate richiesto in live e spero di avervi soddisfattə con libri diversi dal solito 📚 @L'orma editore @ABEditore @Giulio Einaudi editore @addeditore @Adelphi Edizioni  %23libridaleggere %23ticonsigliounlibro %23libriconsigliati %23libribrevi %23booktokitalia "
10/1/2025, 7:29:04 PM,567,60,24,1,"Consideriamolo un pre-wrap up.  Fatemi sapere se vi piace l’idea così lo rendiamo un appuntamento mensile ✨  %23libridaleggere %23ticonsigliounlibro %23libriconsigliati %23libri %23booktokitalia "
,
Mentions
@Adelphi,3
@Giulio,2
@L,2
@ABEditore,2
@Andrea,1
@simpatag,1
@FeltrinelliTok,1
@addeditore,1
@Mondadori,1
@minimumfax,1
,
Hashtags
booktokitalia,13
libridaleggere,11
libri,11
libriconsigliati,10
ticonsigliounlibro,7
perte,3
booktokfyp,2
booktok,2
libribrevi,2
recensionelibri,1
dentibianchi,1
dostoevski,1
paulauster,1
trilogiadinewyork,1
bookworm,1
bookranking,1
reading,1
neiperteee,1
booktokunderground,1
leggotralerighe,1
books,1
leggeresempre,1
zadiesmith,1
