TikTok User Statistics
Username,martinaisreading
Nickname,𝕸𝖆𝖗𝖙𝖎𝖓𝖆 🪐
Country,
Follower Count,27500
Heart Count,1500000
Video Count,1368
Following Count,92
Likes Rate,10.3%
Comments Rate,0.07%
Shares Rate,0.1%
Total Engagement Rate,10.47%
Earnings Min,$21.27
Earnings Max,$33.42
Average Views,69786
Average Likes,7187
Average Comments,48
Average Shares,72
,
Videos
Date,Plays,Likes,Comments,Shares,Description
8/26/2023, 4:58:33 PM,350700,33500,225,245,"Io un demone 👹 %23booktokitalia %23librichepassione %23leggeresempre %23booktok %23lettura "
9/15/2022, 3:45:04 PM,253200,31000,289,280,"Io vi conosco e so già che invece vorrete leggerlo di brutto 👹 %23libri %23lettura %23leggere %23leggeresempre %23booktok %23booktokitalia %23librichepassione %23lettori "
3/15/2022, 2:36:21 PM,395300,39600,59,509,"%23libridaleggere %23dollyalderton %23comfortbook spero di non essere in shadow"
11/13/2025, 12:07:07 PM,589,73,6,1,"A voi piace decorare la casa? 🏡 %23haulnatale %23sinsay %23tiger %23maisonsdumonde %23maisondumonde "
11/1/2025, 4:08:16 PM,2862,243,16,2,"Io euforica pazza %23librichepassione %23booktokita %23leggeresempre %23wrapup @Alessandra Nofi 🌷Books @kikibookspassion🐙🌈🪐 "
10/20/2025, 7:24:05 PM,5540,519,47,6,"Il mio umore in questo video 📈📉📈📉📉📈📈 %23librichepassione %23moving %23booktokita "
10/19/2025, 2:27:15 PM,4459,336,6,1,"AHAHHA non penso che lascerò questo altarino davvero ma mi faceva molto ridere %23librichepassione %23leggeresempre %23booktokita"
10/8/2025, 7:47:49 PM,1635,123,5,3,"Unboxing di un’amica e creator speciale speciale ♥️ %23candele %23unboxing %23librichepassione %23barattoliandco "
10/4/2025, 9:13:15 PM,4349,347,17,7,"Volevo farvelo vedere meglio ahah %23librichepassione %23booktokita %23unboxing %23alchemised "
10/3/2025, 4:02:52 PM,3265,293,15,3,"Voi cosa volete leggere ad Ottobre?! 🧡%23librichepassione %23booktokita %23booktok %23tbr"
10/1/2025, 1:28:20 PM,4098,336,10,2,"Va bene lo stessooooo %23librichepassione %23booktokita %23booktok %23wrapup"
9/23/2025, 9:57:14 PM,2321,149,2,0,"Ovviamente quel giorno non arriverà mai %23librichepassione %23booktokita %23booktok"
9/14/2025, 11:46:48 AM,6887,482,10,9,"Bozza of course %23booktokita %23librichepassione %23murakami"
9/13/2025, 5:21:01 PM,7258,439,5,7,"Still not over that ahahah ♥️ %23booktokita %23nathanhill %23librichepassione %23leggeresempre "
9/7/2025, 8:01:55 PM,4327,374,11,5,"Oggi ho incontrato NATHAN HILL! un evento meraviglioso ringrazio tantissimo @Rizzoli per l’invito e Nathan Hill per la gentilezza e la disponibilità 💖 %23vlog %23leggeresempre %23booktokita %23nathanhill"
,
Mentions
@kikibookspassion,1
@Rizzoli,1
@Alessandra,1
,
Hashtags
librichepassione,12
booktokita,10
leggeresempre,6
booktok,5
wrapup,2
nathanhill,2
booktokitalia,2
unboxing,2
lettura,2
maisondumonde,1
sinsay,1
candele,1
libridaleggere,1
maisonsdumonde,1
dollyalderton,1
moving,1
libri,1
tbr,1
vlog,1
tiger,1
alchemised,1
lettori,1
barattoliandco,1
murakami,1
haulnatale,1
comfortbook,1
leggere,1
