TikTok User Statistics
Username,melancholiaelf
Nickname,melancholiaelf
Country,
Follower Count,6005
Heart Count,152000
Video Count,226
Following Count,40
Likes Rate,5.5%
Comments Rate,0.18%
Shares Rate,0.09%
Total Engagement Rate,5.77%
Earnings Min,$4.45
Earnings Max,$6.99
Average Views,31538
Average Likes,1735
Average Comments,56
Average Shares,27
,
Videos
Date,Plays,Likes,Comments,Shares,Description
7/18/2025, 6:05:00 PM,171600,12200,335,353,"Guida di annotazione del C. Montecristo %23consiglidilettura %23libritiktok %23booktoker %23booktokitalia %23booktok %23annotatingbooks %23booktokfyp %23ilcontedimontecristo "
12/27/2024, 6:06:53 PM,153500,5128,185,27,"Vi auguro buone feste♥️ %23minivlog %23adayinmylife %23booktoker %23fyp %23booktokitalia %23libri %23booktok"
4/2/2024, 5:13:26 PM,111100,6238,174,22,"Domenica di pasqua🐰🍓 %23minivlog %23adayinmylife %23booktoker %23fyp %23booktokitalia %23libri %23booktok "
11/11/2025, 5:06:00 PM,4143,231,11,1,"Ti porto in una mia amara domenica🍄‍🟫 %23minivlog %23adayinmylife %23booktoker %23fyp %23booktok "
11/7/2025, 6:16:36 PM,900,86,6,0,"Le mie crush💘 %23anime %23fyp %23demonslayer %23jujustukaisen %23manga "
11/4/2025, 4:54:45 PM,3537,225,11,0,"Ti porto in una mia giornata🦇 %23minivlog %23adayinmylife %23booktoker %23fyp %23booktok "
11/2/2025, 5:02:11 PM,733,77,0,0,"Annotazione l’idiota✒️ %23booktokitalia %23booktok %23booktoker %23consiglidilettura %23annotatingbooks"
10/28/2025, 4:58:22 PM,6399,446,25,0,"Ti porto in una mia domenica☔️ %23minivlog %23adayinmylife %23booktoker %23fyp %23booktok "
10/24/2025, 5:00:28 PM,1277,84,9,1,"Ho finito l’idiota🦢 %23booktokitalia %23booktok %23booktoker %23consiglidilettura %23dostoevskij"
10/21/2025, 5:01:53 PM,4082,297,21,2,"Ti porto in una mia domenica🎐 %23minivlog %23adayinmylife %23booktoker %23fyp %23booktok"
10/17/2025, 5:02:08 PM,1147,79,5,0,"Reading vlog📖 %23booktokitalia %23booktok %23booktoker %23consiglidilettura %23dostoevskij "
10/15/2025, 4:59:48 PM,1999,192,14,0,"Ti porto in un mio lunedì🐿️ %23minivlog %23adayinmylife %23booktoker %23fyp %23booktok"
10/10/2025, 5:07:03 PM,2079,133,12,1,"Innamorata del principe🤴🏻 %23booktokitalia %23booktok %23booktoker %23consiglidilettura %23dostoevskij "
10/7/2025, 4:57:52 PM,8231,466,17,2,"Ti porto in una mia semplice domenica🦢 %23minivlog %23adayinmylife %23booktoker %23fyp %23booktok"
10/3/2025, 5:03:27 PM,2347,153,19,3,"Reading vlog l’idiota🖤 %23booktokitalia %23booktok %23booktoker %23consiglidilettura %23dostoevskij "
,
Mentions
,
Hashtags
booktoker,14
booktok,14
fyp,9
minivlog,8
adayinmylife,8
booktokitalia,8
consiglidilettura,6
dostoevskij,4
libri,2
annotatingbooks,2
demonslayer,1
anime,1
ilcontedimontecristo,1
jujustukaisen,1
libritiktok,1
booktokfyp,1
manga,1
