TikTok User Statistics
Username,melissabastaleggere
Nickname,niente libri del BookTok qui
Country,
Follower Count,58800
Heart Count,2000000
Video Count,616
Following Count,578
Likes Rate,8.31%
Comments Rate,0.24%
Shares Rate,0.21%
Total Engagement Rate,8.76%
Earnings Min,$44.77
Earnings Max,$70.35
Average Views,19496
Average Likes,1620
Average Comments,47
Average Shares,41
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/11/2025, 3:54:20 PM,5851,528,48,15,"Father rekcuF, Shungiku Uchida - Non adatto ai deboli di stomaco ❤️‍🩹 %23booktokitalia %23letteraturagiapponese %23libri %23libridaleggere %23recensionelibri @Marsilio "
11/7/2025, 5:27:37 PM,3131,371,14,2,"Ma quanto sono BELLI? 🥹 %23booktokitalia %23libridaleggere %23books %23libri %23booktok "
11/5/2025, 12:53:23 PM,16600,954,78,36,"Rifiuto, Tony Tulathimutte | Un capolavoro, perché non ne sta parlando nessuno? 🫠 Ringrazio tantissimo @Edizioni E/O per la copia 💜 %23booktokitalia %23tonytulathimutte %23libridaleggere %23recensionelibri %23consiglidilettura "
11/2/2025, 6:14:29 PM,10500,1176,23,8,"Domenica sera. %23booktokitalia %23sylviaplath %23virginiawoolf %23cesarepavese %23libri "
10/30/2025, 4:07:55 PM,5673,303,38,5,"Gli antropologi, Ayşegül Savaş | Mamma mia… 🫣 %23booktokitalia %23libri %23gliantropologiaysegulsavas %23recensionelibri %23leggere "
10/29/2025, 7:11:09 PM,24000,2201,46,40,"Vorrei avere soldi, spazio e tempo infinito 😮‍💨 %23booktokitalia %23libri %23libridaleggere %23bookhaul %23libreria"
10/18/2025, 10:56:13 PM,31100,2132,63,116,"Guess who traveled all the way from Italy to attend her concert and can’t go the one in Milan lol %23ethelcain %23ethelcainparis %23haydenanhedonia "
10/17/2025, 12:10:34 PM,8002,1097,9,46,"Una delle librerie più belle del mondo 🇬🇷 %23atlantisbooks %23santorini %23libreria %23libri %23booktok "
10/15/2025, 1:10:50 PM,11600,744,44,36,"Nella carne, David Szalay | Davvero nasciamo e ce ne andiamo essendo soli? La vita è solo questo? Che libro ❤️‍🩹 Grazie mille ad @Adelphi Edizioni per la copia 🫶🏻 %23booktokitalia %23nellacarnedavidszalay %23libri %23libridaleggere %23recensionelibri "
10/11/2025, 12:33:42 PM,71200,7542,76,72,"Palesemente nella prima foto non sembro io, continuava a farmi asiatica 🥲 %23miekokawakami %23festivaletteraturamantova %23meituelevatortrend %23elevatortrend %23meitu "
10/1/2025, 5:22:24 PM,35600,1540,70,90,"Hunchback, Saou Ichikawa | Se non arriva prima di subito in Italia, lo traduco io 😤 %23booktokitalia %23libri %23libridaleggere %23hunchbacksaouichikawa %23letteraturagiapponese "
9/26/2025, 5:15:47 PM,10700,858,56,29,"Amarsi in una casa infestata, Matteo Cardillo | Ha fatto un po’ malino ❤️‍🩹 Grazie ancora a @Mercurio per la copia 💙 %23booktokitalia %23libri %23libridaleggere %23amarsiinunacasainfestata %23consiglidilettura "
,
Mentions
@Mercurio,1
@Edizioni,1
@Marsilio,1
@Adelphi,1
,
Hashtags
booktokitalia,9
libri,9
libridaleggere,7
recensionelibri,4
libreria,2
letteraturagiapponese,2
booktok,2
consiglidilettura,2
santorini,1
haydenanhedonia,1
virginiawoolf,1
nellacarnedavidszalay,1
elevatortrend,1
meituelevatortrend,1
amarsiinunacasainfestata,1
miekokawakami,1
hunchbacksaouichikawa,1
meitu,1
festivaletteraturamantova,1
ethelcainparis,1
bookhaul,1
ethelcain,1
sylviaplath,1
tonytulathimutte,1
atlantisbooks,1
cesarepavese,1
gliantropologiaysegulsavas,1
books,1
leggere,1
