TikTok User Statistics
Username,michele_monteleone
Nickname,Michele Monteleone 📚
Country,
Follower Count,5696
Heart Count,33600
Video Count,74
Following Count,13
Likes Rate,4.61%
Comments Rate,0.09%
Shares Rate,0.27%
Total Engagement Rate,4.97%
Earnings Min,$4.19
Earnings Max,$6.58
Average Views,24862
Average Likes,1146
Average Comments,21
Average Shares,66
,
Videos
Date,Plays,Likes,Comments,Shares,Description
7/22/2024, 1:04:54 PM,112700,7291,110,401,"Il mio primo libro di Han Kang, autrice sud coreana, è stata una vera e propria rivelazione, uno dei romanzi più disturbanti e inquietanti che abbia letto nell'ultimo periodo. Consigliatissimo! 📚🪷💠 %23booklover %23libridaleggere %23bookaddict %23BookTok %23books %23bookstagram %23libri %23instalibri %23book %23bookphotography %23bookshelf %23instabooks %23libridaleggere %23ilovebooks %23bookstagrammer %23libribelli %23booktoday %23bookcover %23libridaleggereprimadimorire %23librichepassione   %23bookshelf %23bookworm  @Adelphi Edizioni "
8/8/2024, 3:28:53 PM,114600,2966,92,208,"libri fantasy per tre tipi di lettori... %23booklover %23libridaleggere %23bookaddict %23BookTok %23books %23bookstagram %23libri %23instalibri %23book %23bookphotography %23bookshelf %23instabooks %23libridaleggere %23ilovebooks %23bookstagrammer %23libribelli %23booktoday %23bookcover %23libridaleggereprimadimorire %23librichepassione   %23bookshelf %23bookworm "
4/13/2024, 12:57:45 PM,41600,1748,35,87,"I 3 libri più strani e affascinanti che abbia mai letto 📚 (Sotto le 200 pagine!) %23books %23booktok %23libri %23libridaleggere %23libriconsigliati "
10/14/2025, 10:52:16 PM,9335,477,4,54,"Uno dei romanzi più divertenti dell'anno!"
10/12/2025, 2:09:19 PM,4746,259,4,8,"Un epic fantasy poco conosciuto che dovreste leggere! 📚 %23books %23%23booklover %23libri %23libri %23BookTok "
10/9/2025, 4:01:10 PM,8322,446,2,33,"Un cosmic horror dal retrogusto lovecraftiano al livello del maestro di Providence! %23booklover %23libridaleggere %23bookaddict %23BookTok %23books                   "
7/25/2025, 8:22:32 PM,3229,170,4,3,"un grazie gigantesco a @Komorebi per i romanzi, se volete acquistare romanzi e fumetti da loro potete usare il mio codice sconto MANLEONE 📚 %23booklover %23libridaleggere %23bookaddict %23BookTok %23books %23bookstagram  %23libri                 "
7/15/2025, 4:36:45 PM,1686,69,1,1,"3 film indipendenti di fanatscienza che forse non avete visto e che dovreste recuperare!"
6/27/2025, 10:14:57 AM,3161,238,0,3,"Mid year book tag! Quali sono le vostre letture preferite di questa prima metà dell'anno, quali quelle che vi hanno deluso? 📚📚📚 %23midyearbooktag %23booklover %23libridaleggere %23bookaddict %23BookTok %23books %23bookstagram %23libri %23instalibri %23book %23bookphotography %23bookshelf %23instabooks %23libridaleggere %23ilovebooks %23bookstagrammer %23libribelli %23booktoday %23bookcover %23libridaleggereprimadimorire %23librichepassione   %23bookshelf %23bookworm "
5/20/2025, 3:08:43 PM,7606,373,23,4,"Ho riletto la bussola d'oro e la mia opinione sul libro è cambiata radicalmente. Voi lo avete letto? Vi è piaciuto? 📚 🐻‍❄️🧭 @Salani Editore  %23booklover %23libridaleggere %23bookaddict %23BookTok %23books %23bookstagram  %23libri %23instalibri %23book %23bookphotography %23bookshelf %23instabooks %23libridaleggere %23ilovebooks %23bookstagrammer %23libribelli %23booktoday %23bookcover %23libridaleggereprimadimorire %23librichepassione   %23bookshelf %23bookworm "
