TikTok User Statistics
Username,moquetterossa_
Nickname,moquetterossa
Country,
Follower Count,1535
Heart Count,48800
Video Count,124
Following Count,62
Likes Rate,6.48%
Comments Rate,0.01%
Shares Rate,0.25%
Total Engagement Rate,6.74%
Earnings Min,$1.15
Earnings Max,$1.8
Average Views,41462
Average Likes,2688
Average Comments,6
Average Shares,104
,
Videos
Date,Plays,Likes,Comments,Shares,Description
7/29/2024, 8:48:42 AM,394900,28800,55,1227,"Ricordo di averla letta alle medie e da quel giorno è stampata dentro di me💘📚 %23lettura %23libri %23BookTok %23booktokitalia %23fyp %23estrattolibro %23estratto %23pirandello %23citazioni %23citazionilibri "
7/20/2024, 11:32:35 AM,36200,1298,11,43,"@Giulio Einaudi editore @Adelphi Edizioni  %23libriconsigliati %23lettura %23booktok %23fyp %23booktokitalia %23libri %23moquetterossa %23mentalhealth "
1/9/2025, 5:07:22 PM,6396,178,0,5,"❤️‍🩹 %23libri %23libridaleggere %23libriconsigliati %23BookTok %23booktokitaliano %23booktokitalia %23fyp %23moquetterossa "
12/22/2024, 11:38:18 AM,1342,39,2,1,"%23trilogiadellacittadik %23kristof %23libri %23libriconsigliati %23libridaleggere %23BookTok %23booktokitalia %23booktokitaliano %23moquetterossa %23fyp "
12/16/2024, 9:39:18 AM,603,16,0,0,"@Adelphi Edizioni  %23libridaleggere %23libriconsigliati %23libri %23booktokitaliano %23booktokitalia %23BookTok  %23thrillerpsicologico %23follia %23mcgrath %23fyp %23moquetterossa "
12/13/2024, 10:55:04 AM,15300,658,3,19,"%23poesia %23citazionilibri %23frasi %23frase %23citazione %23libri %23BookTok %23booktokitalia %23booktokitaliano %23cortazar %23fyp %23moquetterossa "
12/4/2024, 1:54:36 PM,528,13,1,2,"@Adelphi Edizioni  %23libri %23libriconsigliati %23libridaleggere %23booktokitaliano %23booktokitalia %23BookTok %23fyp %23moquetterossa "
12/2/2024, 10:27:32 AM,455,12,2,2,"Per la quinta puntata di Incipit per la vita, Matteo Nascimben legge le prime righe del libro Mentre morivo di William Faulkner. @Adelphi Edizioni  %23incipitperlavita %23estratto %23citazioni %23mentremorivo %23williamfaulkner %23booktokitalia %23booktokitaliano %23BookTok %23citazionilibri %23libri %23moquetterossa %23fyp "
11/22/2024, 8:17:51 PM,119200,6438,9,161,"%23frasi %23frase %23citazioni %23citazione %23citazionilibri %23citazionelibri %23BookTok %23booktokitaliano %23booktokitalia %23fyp %23moquetterossa "
11/20/2024, 12:34:23 PM,1107,26,0,0,"%23libri %23libridaleggere %23libriconsigliati %23booktokitalia %23booktokitaliano %23BookTok %23mccarthy %23ilpasseggero %23fyp %23moquetterossa "
11/16/2024, 12:10:40 PM,1501,61,0,3,"Un estratto del discorso di Giovanni Marilli su cibo e letteratura nella sedi di Caffè Folcher e Storico Ribelle. Si parla di Banana Yoshimoto, del romanzo Kitchen, della sua relazione con gli Shojo manga e il Giappone degli anni '80. %23bananayoshimoto %23kitchen %23libri %23libridaleggere %23booktok %23booktokitaliano %23booktokitalia %23moquetterossa %23fyp "
11/13/2024, 10:58:19 AM,697,30,0,2,"%23frasi %23frase %23citazioni %23citazione %23citazionilibri %23citazionelibri %23errideluca %23libri %23booktok %23fyp %23moquetterossa "
11/10/2024, 8:14:34 PM,1172,37,0,2,"Un piccolo estratto del workshop di artwriting tenuto da Stefano Valenti in Studio Gariboldi. Un discorso su scrittura e riscrittura, e l’importanza di non avere mai di fronte una pagina o una tela bianca. Il prossimo appuntamento in Studio Gariboldi è martedì 26 novembre dalle 16 alle 19. Per ulteriori informazioni o per prenotare uno degli ultimi posti scrivere a press@studiogariboldi.com  %23artwriting %23laboratorioscrittura %23workshop %23booktok %23booktokitaliano %23booktokitaliano %23fyp %23moquetterossa "
11/8/2024, 3:21:00 PM,1078,26,2,2,"%23trilogiadellacittadik %23libriconsigliati %23libridaleggere %23libri %23libro %23booktok %23booktokitalia %23booktokitaliano %23agotakristof %23moquetterossa %23fyp "
,
Mentions
@Adelphi,4
@studiogariboldi,1
@Giulio,1
,
Hashtags
fyp,14
moquetterossa,13
booktokitaliano,12
booktokitalia,12
libri,12
BookTok,9
libridaleggere,7
libriconsigliati,7
citazionilibri,5
booktok,5
citazioni,4
citazione,3
frasi,3
frase,3
estratto,2
lettura,2
citazionelibri,2
trilogiadellacittadik,2
mentalhealth,1
mcgrath,1
follia,1
mentremorivo,1
williamfaulkner,1
pirandello,1
incipitperlavita,1
thrillerpsicologico,1
estrattolibro,1
cortazar,1
laboratorioscrittura,1
kristof,1
workshop,1
artwriting,1
kitchen,1
agotakristof,1
bananayoshimoto,1
poesia,1
ilpasseggero,1
errideluca,1
mccarthy,1
libro,1
