TikTok User Statistics
Username,pianoandbooks_
Nickname,Pier Legge Cose📚📖
Country,
Follower Count,2886
Heart Count,34900
Video Count,58
Following Count,130
Likes Rate,4.16%
Comments Rate,0.13%
Shares Rate,0.22%
Total Engagement Rate,4.51%
Earnings Min,$2.11
Earnings Max,$3.32
Average Views,16844
Average Likes,700
Average Comments,22
Average Shares,37
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/28/2025, 4:56:55 PM,98100,2872,106,192,"%23booktok %23booktokitalia %23tbr %23daleggere %23LibriCheFannoPensare "
1/29/2025, 10:21:51 AM,120500,6193,88,297,"Un libro di psicologia che stravolgerà la tua visione del mondo%23BookTok %23booktokitalia %23psicologia %23LibriCheFannoPensare %23tbr %23daleggere %23adelphi "
10/9/2025, 3:04:48 PM,683,59,2,0,"Un enorme grazie all'autore di questo piccolo gioiello @Marco Gonfia per avermene inviato una copia e avermi permesso di vivere ogni pagina. %234upage %23booktok %23booktiktok %23libri "
3/17/2025, 6:31:04 AM,899,54,4,2,"Soulmate x Amelie x Interstellar %23pianotok %23piano %234upage "
3/1/2025, 12:29:07 PM,939,32,6,1,"“A Shadow Lament” %23pianotok %234upage %234you %23piano %23pianomusic "
2/28/2025, 8:13:44 AM,1188,50,14,0,"%23BookTokItalia %23BookTok %23einaudieditore %23consiglidilettura %23tbr %234upage %234you %23LettureConsigliate "
2/26/2025, 5:45:39 PM,2294,75,22,13,"Grazie mille a @4 gatti in libreria 📚🐈‍⬛ per avermi taggato!  Ps. I crediti per solenoide vanno a @niente libri del BookTok qui  Taggo a mia volta@Valentina Battaini📚 @Mari📚 @giuliaceci_📚 @IlibriDiCornelius📚🖋 @libridivirgi | Booktok💫 @libri di marts🎧 @Luana_booktok @Andrea; booktok 💭 "
2/26/2025, 10:18:02 AM,868,31,4,0,"Lettura corrente 📚 %23BookTokItalia %23BookTok %234upage %234you %23LibriConsigliati "
2/24/2025, 10:26:01 PM,1271,55,2,1,"Cos’è la pace?📚 %23BookTokItalia %23BookTok %23aestheticvideos %234upage %234you %23perte "
2/24/2025, 6:00:17 PM,1498,77,3,1,"%23108Rintocchi %23BookTokItalia %23LibriCheEmozionano %23Giappone %23NuoviInizi %23LibriDaLeggere %23BookTok %23CapodannoGiapponese %23LibriConsigliati %23letturadelgiorno "
2/24/2025, 9:47:26 AM,1431,71,18,3,"Un libro che amo📚 %23booktok %23booktokitalia %23ConsigliDiLettura %23LibriDaLeggere %23perte %23booktokita %23LettureConsigliate "
2/24/2025, 8:06:54 AM,1501,40,8,1,"%23creatorsearchinsights %23booktok %23booktokitalia %23ConsigliDiLettura %23audible %23LibriDaLeggere %23audiolibro "
2/23/2025, 9:28:57 AM,2388,107,19,3,"Recensione superveloce📚 @Adelphi Edizioni  %23booktok %23booktokitalia %23ConsigliDiLettura %23LibriDaLeggere %23perte %23booktokita %23LettureConsigliate "
2/22/2025, 4:06:07 PM,2257,85,17,12,"Grazie mille a @Flavia | La stanza dei libri📚 per la menzione! A mia volta menziono @Valentina Battaini📚 @giuliaceci_📚 @Emily ❤️‍🔥 @Jennifer 🐈‍⬛ Books @Anormal | Book 📚🔍📖🍃 @Gabriele Gatto 📚🥀✒️ @laragazzafagiolo | BOOKTOK 📚  %23booktok %23booktokitalia %23booktag %23ConsigliDiLettura "
,
Mentions
@Valentina,2
@giuliaceci_,2
@Andrea,1
@4,1
@Gabriele,1
@libridivirgi,1
@Jennifer,1
@Mari,1
@IlibriDiCornelius,1
@Emily,1
@Anormal,1
@libri,1
@Marco,1
@Luana_booktok,1
@niente,1
@laragazzafagiolo,1
@Adelphi,1
@Flavia,1
,
Hashtags
4upage,6
booktokitalia,6
booktok,6
BookTok,5
4you,4
BookTokItalia,4
ConsigliDiLettura,4
LibriDaLeggere,4
perte,3
tbr,3
LettureConsigliate,3
LibriCheFannoPensare,2
daleggere,2
piano,2
booktokita,2
pianotok,2
LibriConsigliati,2
audible,1
pianomusic,1
aestheticvideos,1
108Rintocchi,1
adelphi,1
LibriCheEmozionano,1
libri,1
einaudieditore,1
CapodannoGiapponese,1
Giappone,1
letturadelgiorno,1
consiglidilettura,1
creatorsearchinsights,1
psicologia,1
audiolibro,1
booktag,1
NuoviInizi,1
booktiktok,1
