TikTok User Statistics
Username,quandostozitta
Nickname,quandostozitta
Country,
Follower Count,1169
Heart Count,16800
Video Count,121
Following Count,187
Likes Rate,7.65%
Comments Rate,0.14%
Shares Rate,0.46%
Total Engagement Rate,8.25%
Earnings Min,$0.89
Earnings Max,$1.39
Average Views,5109
Average Likes,391
Average Comments,7
Average Shares,23
,
Videos
Date,Plays,Likes,Comments,Shares,Description
2/25/2025, 2:50:32 PM,9013,531,13,15,"E adesso è anche in sconto del 20% grazie alla promo @Giulio Einaudi editore  . . . . . . %23paulauster %23einaudi %23promoeinaudi %23booktok %23libriconsigliati "
1/24/2025, 12:10:19 PM,7422,412,2,3,"C’è la colla su queste pagine  . . . . . . . %23libribellissimi %23libridaleggere %23booktok "
6/16/2024, 7:16:16 PM,20500,2144,11,245,"Sul finale anche il libro che ho scelto come souvenir ⛩️📚 %23quandostozitta %23bookworms %23bookhaolic %23bookstagram %23booknerd %23booklover %23bookaddict %23bookcommunity %23jimbochobooktown %23tokyo %23japan %23booktok "
10/21/2025, 10:22:22 AM,442,31,3,0,"Mai sazia di libri usati. Grazie mille a @bookbot.it .it per avermi dato la possibilità di curiosare sul loro sito e portarmi a casa questo succoso bottino di libri, con cui ho dato una bella sfoltatina alla mia wishlist. @bookbot.it è una piattaforma dedicata ai libri usati, dove puoi venderli e comprarli con facilità. L’obiettivo è dar loro nuova vita e favorirne la circolazione in modo semplice ed ecologico. E adesso mi metto in adorazione delle pagine ingiallite e usurate. Quanto amo i libri usati, quanto.  %23gifted  %23bookbot %23libriconsigliati %23booktok %23bookhaul "
10/9/2025, 5:16:24 PM,751,70,0,0,"Quattro libri di cui tre piuttosto deludenti. Male male questo settembre  I libri citati nel video: Rifiuto, Tony Tulathimutte La persecuzione delle sorelle Mansfield, Xenobe Purvis Yellowface, Rebecca F. Kuang Vengo io da te, Rebecca Kauffman %23libridisettembre %23wrapup %23libriconsigĺiati "
9/18/2025, 6:16:50 PM,1091,97,1,0,"Appunti? Direttamente sul libro. Pronta a farmi odiare dai fanatici del libro perfetto e intonso. %23booktok "
8/13/2025, 8:03:55 PM,6502,168,9,3,"Ha i giorni contati  %23booktok "
7/31/2025, 1:48:32 PM,1461,88,9,0,"La cosa che mi ha fatto sorridere oggi ✨ %23lookoftheday %23outfitoffheday %23vintage "
7/29/2025, 10:10:13 AM,1387,75,6,0,"Quasi nessuno conosce questo libro, tocca rimediare  %23booktok %23libriconsigliati %23libriperlestate %23classicidaleggere "
7/26/2025, 2:50:40 PM,756,49,1,1,"E tu dove andrai oggi? %23booktok %23libriconsigliati %23libriperlevacanze %23libriperlestate "
6/25/2025, 6:16:17 PM,1278,59,2,0,"Vi presento il minotauro santacrocese %23booktok %23libriconsigliati %23einaudi @Giulio Einaudi editore "
6/10/2025, 11:33:31 AM,848,40,1,0,"Domanda ingenua, risposta colpevole  %23booktok %23libriinlettura "
5/30/2025, 7:52:27 AM,1420,244,2,3,"Ogni sera a stessa storia %23gattiditiktok %23booktok "
5/29/2025, 8:33:22 AM,22700,1800,45,84,"Un minuto di cocente nostalgia  %23booktok %23millenial %23ilbattelloavapore %23leragazzine"
5/25/2025, 1:40:33 PM,1069,57,1,1,"Gli ultimi due me li sono portati a casa  %23booktok %23libriconsigliati "
,
Mentions
@bookbot,2
@Giulio,2
,
Hashtags
booktok,13
libriconsigliati,6
libriperlestate,2
einaudi,2
bookhaolic,1
jimbochobooktown,1
bookworms,1
libriinlettura,1
wrapup,1
booklover,1
classicidaleggere,1
promoeinaudi,1
ilbattelloavapore,1
libridaleggere,1
gattiditiktok,1
millenial,1
gifted,1
libriconsigĺiati,1
tokyo,1
lookoftheday,1
paulauster,1
leragazzine,1
bookhaul,1
vintage,1
bookbot,1
bookaddict,1
japan,1
libribellissimi,1
libriperlevacanze,1
quandostozitta,1
outfitoffheday,1
bookcommunity,1
libridisettembre,1
bookstagram,1
booknerd,1
